start,end,speaker
2.44,5.31,SPEAKER_01
6.68,9.4,SPEAKER_01
10.21,12.37,SPEAKER_01
12.65,16.86,SPEAKER_01
18.9,23.42,SPEAKER_01
23.44,26.86,SPEAKER_01
27.03,34.66,SPEAKER_01
36.63,38.2,SPEAKER_09
40.51,44.02,SPEAKER_09
44.19,47.04,SPEAKER_09
47.25,48.56,SPEAKER_09
49.15,52.04,SPEAKER_09
52.58,209.38,SPEAKER_09
209.65,305.97,SPEAKER_09
306.35,310.18,SPEAKER_09
307.17,307.8,SPEAKER_04
311.51,325.67,SPEAKER_04
326.02,332.05,SPEAKER_04
331.76,425.75,SPEAKER_09
425.94,437.08,SPEAKER_09
437.65,457.46,SPEAKER_09
457.97,474.99,SPEAKER_09
475.62,533.96,SPEAKER_09
536.82,547.03,SPEAKER_01
547.03,548.27,SPEAKER_00
565.75,566.96,SPEAKER_00
566.96,595.85,SPEAKER_07
596.58,650.55,SPEAKER_07
650.98,700.73,SPEAKER_07
701.34,722.57,SPEAKER_07
703.94,704.46,SPEAKER_00
723.16,851.26,SPEAKER_07
802.49,802.5,SPEAKER_00
802.5,802.98,SPEAKER_03
802.98,803.03,SPEAKER_00
851.49,900.5,SPEAKER_07
901.85,911.84,SPEAKER_09
913.17,996.45,SPEAKER_07
996.94,1026.94,SPEAKER_07
1027.47,1052.04,SPEAKER_07
1052.1,1055.87,SPEAKER_07
1058.67,1071.04,SPEAKER_01
1071.04,1072.99,SPEAKER_00
1072.99,1073.01,SPEAKER_01
1079.22,1084.18,SPEAKER_00
1089.08,1091.27,SPEAKER_00
1091.27,1091.3,SPEAKER_05
1091.3,1092.6,SPEAKER_00
1096.16,1098.66,SPEAKER_00
1097.19,1097.72,SPEAKER_05
1099.37,1099.94,SPEAKER_00
1105.43,1106.96,SPEAKER_00
1106.96,1108.01,SPEAKER_05
1108.67,1109.21,SPEAKER_05
1110.05,1110.56,SPEAKER_05
1112.68,1113.38,SPEAKER_05
1115.27,1115.38,SPEAKER_05
1115.38,1115.47,SPEAKER_06
1115.84,1115.97,SPEAKER_05
1115.97,1157.77,SPEAKER_06
1158.18,1262.11,SPEAKER_06
1262.62,1320.18,SPEAKER_06
1320.47,1389.77,SPEAKER_06
1390.18,1490.03,SPEAKER_06
1490.28,1531.34,SPEAKER_06
1533.73,1538.0,SPEAKER_04
1538.27,1547.76,SPEAKER_04
1548.23,1550.83,SPEAKER_04
1550.83,1612.94,SPEAKER_06
1550.89,1552.06,SPEAKER_04
1615.24,1633.02,SPEAKER_01
1633.02,1634.61,SPEAKER_00
1640.85,1642.61,SPEAKER_00
1648.72,1649.39,SPEAKER_00
1654.22,1654.46,SPEAKER_00
1662.32,1664.21,SPEAKER_03
1664.21,1667.7,SPEAKER_04
1668.56,1674.0,SPEAKER_04
1674.6,1676.04,SPEAKER_04
1676.04,1676.28,SPEAKER_03
1676.28,1676.29,SPEAKER_04
1676.29,1676.34,SPEAKER_03
1676.49,1676.55,SPEAKER_03
1676.55,1676.63,SPEAKER_04
1676.63,1677.27,SPEAKER_03
1678.5,1679.11,SPEAKER_03
1680.44,1682.2,SPEAKER_03
1683.9,1685.46,SPEAKER_03
1691.06,1691.53,SPEAKER_03
1692.0,1693.69,SPEAKER_03
1694.23,1694.8,SPEAKER_03
1694.8,1694.89,SPEAKER_04
1694.97,1695.5,SPEAKER_04
1696.37,1701.5,SPEAKER_04
1702.18,1710.26,SPEAKER_04
1710.73,1733.94,SPEAKER_04
1734.27,1734.76,SPEAKER_04
1735.3,1762.07,SPEAKER_04
1762.41,1762.76,SPEAKER_04
1763.06,1783.09,SPEAKER_04
1783.77,1786.37,SPEAKER_04
1786.64,1787.14,SPEAKER_04
1787.55,1795.89,SPEAKER_04
1796.46,1802.74,SPEAKER_04
1802.8,1808.14,SPEAKER_04
1808.68,1818.51,SPEAKER_04
1818.87,1819.27,SPEAKER_04
1819.76,1821.75,SPEAKER_04
1822.11,1825.35,SPEAKER_04
1825.65,1829.35,SPEAKER_04
1829.48,1833.15,SPEAKER_04
1833.38,1833.84,SPEAKER_04
1834.11,1842.04,SPEAKER_04
1842.56,1844.5,SPEAKER_04
1844.81,1855.34,SPEAKER_04
1855.64,1857.11,SPEAKER_04
1857.8,1867.38,SPEAKER_04
1867.87,1873.8,SPEAKER_04
1874.24,1876.11,SPEAKER_04
1876.35,1894.33,SPEAKER_04
1884.5,1885.05,SPEAKER_00
1885.05,1885.09,SPEAKER_01
1885.09,1885.1,SPEAKER_00
1885.1,1885.17,SPEAKER_01
1894.92,1910.31,SPEAKER_04
1910.96,1911.9,SPEAKER_04
1912.36,1927.78,SPEAKER_04
1928.51,1932.98,SPEAKER_04
1933.06,1933.8,SPEAKER_04
1933.99,1937.84,SPEAKER_04
1937.91,1941.04,SPEAKER_04
1941.18,1943.54,SPEAKER_04
1943.66,1946.98,SPEAKER_04
1947.29,1947.73,SPEAKER_04
1948.3,1960.92,SPEAKER_04
1961.21,1961.9,SPEAKER_04
1962.29,1962.66,SPEAKER_04
1963.25,1963.61,SPEAKER_04
1963.67,1994.45,SPEAKER_04
1966.98,1967.61,SPEAKER_00
1995.01,2000.39,SPEAKER_04
2000.51,2018.69,SPEAKER_04
2019.38,2021.49,SPEAKER_04
2023.5,2033.54,SPEAKER_09
2031.16,2031.87,SPEAKER_04
2032.54,2033.43,SPEAKER_04
2033.54,2033.55,SPEAKER_04
2033.72,2038.94,SPEAKER_04
2039.44,2063.83,SPEAKER_04
2063.93,2075.01,SPEAKER_04
2075.32,2075.76,SPEAKER_04
2076.33,2081.66,SPEAKER_04
2082.1,2085.22,SPEAKER_04
2086.47,2086.49,SPEAKER_04
2086.49,2086.66,SPEAKER_00
2086.66,2086.68,SPEAKER_04
2087.4,2087.84,SPEAKER_00
2092.78,2093.04,SPEAKER_00
2093.04,2093.22,SPEAKER_04
2093.22,2093.43,SPEAKER_03
2093.43,2094.44,SPEAKER_04
2095.2,2106.44,SPEAKER_04
2106.96,2108.55,SPEAKER_04
2109.07,2111.82,SPEAKER_04
2112.04,2126.11,SPEAKER_04
2126.65,2168.7,SPEAKER_04
2168.91,2169.3,SPEAKER_04
2169.95,2180.77,SPEAKER_04
2180.97,2184.2,SPEAKER_04
2184.53,2184.96,SPEAKER_04
2185.55,2195.82,SPEAKER_04
2198.27,2203.03,SPEAKER_01
2203.03,2204.51,SPEAKER_00
2212.8,2214.28,SPEAKER_00
2216.48,2216.97,SPEAKER_00
2216.97,2217.37,SPEAKER_08
2217.37,2217.39,SPEAKER_00
2218.47,2220.39,SPEAKER_08
2221.46,2224.41,SPEAKER_08
2227.83,2229.72,SPEAKER_00
2242.4,2245.98,SPEAKER_00
2245.98,2246.31,SPEAKER_08
2246.31,2246.33,SPEAKER_00
2249.15,2249.62,SPEAKER_08
2250.6,2251.16,SPEAKER_08
2251.8,2252.17,SPEAKER_08
2253.1,2271.57,SPEAKER_08
2272.22,2278.19,SPEAKER_08
2278.95,2289.29,SPEAKER_08
2289.83,2292.52,SPEAKER_08
2292.53,2315.74,SPEAKER_08
2317.34,2318.28,SPEAKER_08
2319.06,2319.63,SPEAKER_08
2319.9,2331.38,SPEAKER_08
2331.94,2366.65,SPEAKER_08
2367.21,2367.73,SPEAKER_08
