start,end,text
0.0,12.94," Okay, can everybody see recording? Did it make a sound for everybody? Okay, great. Cool."
12.94,20.48," So are there any questions before we start this round? Okay, timekeeping will be done"
20.48,26.08, in chat. I will give you timestamps time stamps at one minute seven minutes and eight
26.08,32.72, minutes um and if there are no dilemmas i would like to invite the first speaker of the proposition
32.72,48.32," to open the debate here here all right so you cannot hear me all right so everyone in brazil Todos no Team Brasil prefeririam não ter uma POI verbal, então a POI é no chat ou visualmente, por favor."
49.04,53.38," Então, meus pronomes são ele, ele e eu vou começar em 3, 2, 1."
53.48,59.28," Um par de coisas na minha fala. Primeiro, as definições e caracterizações e depois por que nós temos melhores relações sociais em nossa casa."
59.28,63.18," Primeiro de tudo, definindo família, não estamos falando apenas sobre família nuclear."
63.32,69.0," Estamos falando sobre avós, avós, cas wives, and not also not necessarily biological bonds."
69.0,72.0," For example, a step parent is part of your family as well."
72.0,75.0, So what is the comparative of having this debate?
75.0,83.0, The Prop. Trafetio looks like people maintaining closer relations to their family as their dominant unit of organization in society.
83.0,85.82," So they spend more time together, strengthen even more their bonds"
85.82,90.08, and their relationships stronger so people depend and think more about their family instead of other
90.08,93.9," institutions, and the family is the organization that people trust more on the outside of the house."
94.16,98.12," Having your side of the house, people get away from their family to look for a group that represents"
98.12,103.36," them and groups that have social common traits. They prioritize other groups such as friends,"
103.66,105.78," work, church, political parties, etc."
106.0,109.6, We believe that the most important metric is in which world we have better relations for
109.6,113.44, individuals. That's especially important in a modern world in which relations are even
113.44,118.76, times weaker. So why do we actually get some stronger bonds on our side of the house? First
118.76,122.96," of all, some framing. People live through a lot of challenges in their life. So they need some"
122.96,125.34, strong support system and strong social relations.
125.34,128.8," They go through diseases, financial struggles, everyday stress."
129.02,132.16, They need help to overcome all those issues and keep going with their lives.
132.48,137.46," Therefore, strong relationships are especially necessary in the status quo."
137.78,141.24," So what are the incentives that families, groups have in other side of the house?"
141.44,142.52," First of all, quick disclaimer."
142.94,148.08, Rational incentives aren't the ones that lead families. families have more incentives to take care of their members and
148.08,152.96, not abandon them family members take care of each other because they have biological souls
152.96,158.56, show bones towards them that are stronger than other common bones they have exp they have been
158.56,163.2, together for a long time and all of that but they're they trust people and they take care of
163.2,165.76, people not because of how they how
165.76,169.86, fun they are how interesting they are or how useful they are but just for the fact that they
169.86,174.84, are your kids your parents or anything like that for example when you're extremely sick having a
174.84,179.08, devastating disease we believe that the ones that are actually going to help them in all instances
179.08,183.9, are your family consideration for family members happens because of who they are parents don't love
183.9,186.6, their kids because they're useful or funny or anything.
186.6,190.32, They love them because they are their kids regardless of all these aspects.
190.32,197.28," That is why, for example, parents give up their dreams to take care of their kids if they have some sort of disease, deficiency or anything like that."
197.28,201.64, Because parents love their kids for things that are more than how useful they can be for them.
201.64,205.58, Families also have incentives to accept their members. Even if
205.58,210.8," they will behave differently from expected from your family, they are more incentivized,"
211.04,215.28," more likely to accept what you're doing, who you are, than in the comparative of other social groups"
215.28,221.16," because your family members only have you as part of your family. Therefore,"
221.42,229.2," there are high incentives for forgiveness in other friendships, for example. I'll explain that in a minute. That is why if you go outside a prison, for example,"
229.34,234.2, the only people you see coming in and out are mothers or parents in general. You're not seeing
234.2,238.38, friends for a simple reason that has to do with how these social groups work and how they're
238.38,242.58, different from families. Organization of social groups that are the dominant in your side of the
242.58,245.16, house is based on factors that change over time.
248.54,248.86," People's beliefs, personality, behavior, utility, and etc."
255.08,255.34, Who these people actually are and the fact that they might change and these things might change doesn't really matter.
261.66,261.98," These groups are built around things in common, and if those things in common change and don't exist anymore, the relations between these groups don't exist."
265.64,269.0, There's a huge standardization of behaviors in such groups in your side of the house. What happens is that people they need to maintain a
269.0,271.82, specific pattern in order to belong to these groups and be
271.82,274.68, accepted. Members of these groups don't really care about
274.68,277.08, who these people really are. They have no will for quite
277.08,279.86," little, don't have any incentives to actually protect"
279.86,283.98, you. You only care for people only care about you from the
283.98,294.54," time they see that you have behaviors that are common, the time that you have traits common, that are the traits that base the relations of social groups in your side of the house."
294.66,297.28, What happens is that families are based on things that are more definitive.
297.6,299.18, Your kids are your kids no matter what.
299.36,300.82, Your parents are your parents no matter what.
301.04,312.4," But in your side of the house, social relations between friends, work groups are change so before moving on poi no verbal pis but i'll take that oh i'm so sorry i"
312.4,318.16, forgot um surely under our side of the house um under the status quo despite this decline of
318.16,323.46, traditional family relationships they still this if this love is unconditional between family
323.46,325.04, members surely this is something that
325.04,330.56, has con like declined under your side of the house like this can exist without um in like people
330.56,335.44, seeking more individualism all right all right i got that so what happens says yes we get these
335.44,339.76, love in our side of the house however in your side of the house people are more dependent of other
339.76,344.32, relationships that are weaker we're talking about people who spend more of their time and be more
344.32,348.7," emotionally dependent of people that don't really care about them. However, in our side of"
348.7,352.98," the house, people are actually closer to their families and to this bond. They are more definitive"
352.98,357.94," than in the comparative. What happens is how individuals behave in ops world. In ops world,"
358.06,363.38," people look for a group to socialize and feel welcomed, etc. This is bad for individuals"
363.38,367.88, because they have to look for this specific bond that makes them together.
367.88,370.76, Individuals often have to change themselves to be accepted.
370.76,374.3," If the group is built there out something like,"
374.3,376.88," liking a soccer team, for example,"
376.88,379.24, people can't just stop liking this
379.24,380.76, or stop or changing themselves
380.76,382.78, and not bring that interest in this anymore
382.78,384.2, because they are breaking the bond
384.2,387.94, that was actually created. And the thing that bases this relation in your sort of house
387.94,392.74, but i saw that of the house people don't need to change themselves to feel accepted family is only
392.74,397.86, one and you this family can't be changed so what happens is that no matter if you move to another
397.86,402.8, place if you don't like things you used to like family is a more solid institution than any other
402.8,405.14, institution that is dominant in your sort of the house and family is the more solid institution than any other institution that is dominant in our side of the
405.14,411.12, house and family is the only place where people are more free to change and people will keep
411.12,415.66, loving you because the reason they love you is not what you like not what you're interested in
415.66,420.3, but actually who you are they're actually biological incentives in our side of the house
