start,end,speaker
2.98,8.59,SPEAKER_09
11.54,16.6,SPEAKER_04
19.56,19.57,SPEAKER_04
19.57,36.73,SPEAKER_05
36.9,56.17,SPEAKER_05
56.49,65.46,SPEAKER_05
65.71,118.86,SPEAKER_05
119.42,151.16,SPEAKER_05
151.37,171.38,SPEAKER_05
172.34,206.94,SPEAKER_05
207.21,265.85,SPEAKER_05
266.89,284.78,SPEAKER_08
285.66,384.36,SPEAKER_05
385.49,510.03,SPEAKER_05
510.03,510.63,SPEAKER_11
510.63,510.67,SPEAKER_05
520.79,521.03,SPEAKER_11
521.03,528.98,SPEAKER_09
528.98,529.16,SPEAKER_11
535.96,540.74,SPEAKER_11
551.52,552.03,SPEAKER_11
552.03,879.78,SPEAKER_01
630.46,630.72,SPEAKER_00
697.73,698.28,SPEAKER_00
756.64,757.08,SPEAKER_00
881.75,881.87,SPEAKER_04
883.77,892.9,SPEAKER_05
892.9,1045.27,SPEAKER_01
1047.68,1047.88,SPEAKER_11
1052.59,1052.61,SPEAKER_11
1052.61,1058.35,SPEAKER_09
1063.31,1064.2,SPEAKER_11
1065.15,1066.04,SPEAKER_11
1066.94,1073.37,SPEAKER_02
1077.23,1079.04,SPEAKER_02
1079.04,1081.16,SPEAKER_06
1081.38,1121.85,SPEAKER_06
1085.75,1085.99,SPEAKER_00
1122.22,1146.87,SPEAKER_06
1147.16,1149.2,SPEAKER_06
1149.49,1158.53,SPEAKER_06
1158.99,1159.95,SPEAKER_06
1160.47,1162.97,SPEAKER_06
1162.97,1164.79,SPEAKER_02
1167.46,1167.61,SPEAKER_10
1168.3,1168.32,SPEAKER_11
1168.32,1169.08,SPEAKER_02
1169.32,1169.35,SPEAKER_02
1169.35,1171.04,SPEAKER_11
1171.04,1171.78,SPEAKER_06
1173.72,1175.91,SPEAKER_06
1176.89,1179.61,SPEAKER_06
1179.85,1281.69,SPEAKER_06
1251.78,1252.05,SPEAKER_00
1282.87,1282.89,SPEAKER_06
1282.89,1294.83,SPEAKER_07
1295.44,1343.91,SPEAKER_06
1344.23,1400.81,SPEAKER_06
1401.52,1404.4,SPEAKER_06
1404.54,1464.43,SPEAKER_06
1465.71,1466.03,SPEAKER_06
1466.03,1479.02,SPEAKER_07
1479.02,1481.13,SPEAKER_06
1481.17,1574.97,SPEAKER_06
1574.97,1575.36,SPEAKER_11
1582.82,1583.02,SPEAKER_11
1583.02,1590.65,SPEAKER_09
1592.96,1594.03,SPEAKER_02
1594.03,1594.33,SPEAKER_08
1594.33,1594.4,SPEAKER_02
1594.94,1595.61,SPEAKER_08
1595.66,1595.68,SPEAKER_08
1595.71,1597.18,SPEAKER_08
1598.18,1602.18,SPEAKER_08
1603.0,1603.66,SPEAKER_08
1607.34,1608.54,SPEAKER_11
1608.72,1609.59,SPEAKER_10
1615.68,1617.3,SPEAKER_10
1618.39,1620.03,SPEAKER_10
1631.0,1631.03,SPEAKER_11
1631.03,1631.47,SPEAKER_10
1645.75,1646.04,SPEAKER_02
1646.04,1648.28,SPEAKER_08
1648.67,1649.16,SPEAKER_08
1649.73,1689.27,SPEAKER_08
1689.74,1792.88,SPEAKER_08
1793.15,1853.94,SPEAKER_08
1854.39,1861.01,SPEAKER_08
1861.33,1975.13,SPEAKER_08
1880.85,1881.46,SPEAKER_00
1975.55,2006.91,SPEAKER_08
2001.05,2001.88,SPEAKER_05
2007.5,2016.71,SPEAKER_05
2017.39,2019.24,SPEAKER_08
2019.63,2135.97,SPEAKER_08
2135.97,2136.91,SPEAKER_11
2146.09,2147.04,SPEAKER_11
2147.04,2152.74,SPEAKER_09
2156.44,2157.18,SPEAKER_11
2157.7,2158.24,SPEAKER_11
2159.32,2159.39,SPEAKER_11
2159.39,2164.08,SPEAKER_00
2164.08,2164.1,SPEAKER_11
2164.55,2164.98,SPEAKER_00
2164.98,2165.13,SPEAKER_11
2181.38,2183.03,SPEAKER_11
2183.03,2220.63,SPEAKER_00
2220.85,2354.06,SPEAKER_00
2354.38,2360.71,SPEAKER_00
2361.16,2375.76,SPEAKER_00
2376.35,2458.95,SPEAKER_00
2459.14,2492.76,SPEAKER_00
2493.51,2500.79,SPEAKER_01
2501.02,2616.8,SPEAKER_00
2617.39,2673.98,SPEAKER_00
2673.98,2675.19,SPEAKER_11
2683.78,2684.03,SPEAKER_11
2684.03,2690.75,SPEAKER_09
2695.2,2697.08,SPEAKER_11
2697.08,2697.09,SPEAKER_03
2698.41,2698.43,SPEAKER_11
2698.43,2699.52,SPEAKER_09
2699.9,2704.92,SPEAKER_03
2705.4,2709.68,SPEAKER_03
2717.09,2717.11,SPEAKER_11
2717.11,2717.41,SPEAKER_03
2717.41,2717.43,SPEAKER_11
2717.43,2717.5,SPEAKER_07
2717.77,2717.83,SPEAKER_11
2717.83,2720.03,SPEAKER_03
2720.03,2794.33,SPEAKER_07
2794.97,2838.78,SPEAKER_07
2839.3,2970.22,SPEAKER_07
2970.45,3026.87,SPEAKER_07
3027.41,3076.11,SPEAKER_07
3076.19,3085.1,SPEAKER_05
3082.35,3082.64,SPEAKER_07
3084.88,3200.0,SPEAKER_07
3200.48,3217.03,SPEAKER_07
3217.03,3217.92,SPEAKER_11
3229.52,3230.02,SPEAKER_11
3230.02,3240.12,SPEAKER_09
3242.93,3243.51,SPEAKER_02
3243.96,3245.21,SPEAKER_02
3247.07,3248.08,SPEAKER_02
3249.62,3249.63,SPEAKER_02
3249.63,3249.68,SPEAKER_08
3249.68,3249.77,SPEAKER_02
3249.77,3255.32,SPEAKER_08
3255.88,3257.33,SPEAKER_08
3258.05,3269.31,SPEAKER_08
3269.7,3273.68,SPEAKER_08
3274.66,3316.47,SPEAKER_08
3275.52,3275.99,SPEAKER_10
3279.97,3280.02,SPEAKER_00
