start,end,speaker
0.03,0.81,SPEAKER_04
2.22,7.35,SPEAKER_04
7.57,8.03,SPEAKER_04
8.72,16.97,SPEAKER_04
16.97,17.02,SPEAKER_06
17.02,17.13,SPEAKER_04
17.13,18.31,SPEAKER_06
25.85,26.63,SPEAKER_06
28.48,30.93,SPEAKER_06
40.99,41.04,SPEAKER_07
41.04,43.94,SPEAKER_09
44.72,45.34,SPEAKER_09
45.48,47.84,SPEAKER_09
48.16,59.19,SPEAKER_09
59.4,89.87,SPEAKER_09
89.99,91.85,SPEAKER_09
92.08,110.63,SPEAKER_09
110.88,111.36,SPEAKER_09
111.73,126.53,SPEAKER_09
126.71,154.52,SPEAKER_09
154.77,166.52,SPEAKER_09
166.82,169.24,SPEAKER_09
169.54,172.27,SPEAKER_09
172.46,181.67,SPEAKER_09
181.77,231.29,SPEAKER_09
195.09,195.48,SPEAKER_00
210.09,210.12,SPEAKER_00
210.12,210.19,SPEAKER_08
210.19,210.46,SPEAKER_00
231.64,233.75,SPEAKER_09
234.19,257.22,SPEAKER_09
257.49,306.85,SPEAKER_09
306.99,319.68,SPEAKER_09
320.17,328.98,SPEAKER_09
329.11,334.46,SPEAKER_09
334.63,375.47,SPEAKER_09
376.39,383.45,SPEAKER_02
383.99,389.73,SPEAKER_09
390.2,419.51,SPEAKER_09
419.76,440.16,SPEAKER_09
440.52,445.04,SPEAKER_09
445.23,449.24,SPEAKER_09
449.36,467.62,SPEAKER_09
467.81,529.3,SPEAKER_09
529.7,540.81,SPEAKER_09
543.71,544.1,SPEAKER_06
569.11,570.03,SPEAKER_06
573.51,574.93,SPEAKER_06
575.4,576.03,SPEAKER_06
576.03,579.65,SPEAKER_04
581.29,588.78,SPEAKER_10
596.39,597.96,SPEAKER_07
597.96,787.55,SPEAKER_02
657.36,657.65,SPEAKER_10
789.51,792.57,SPEAKER_09
793.07,799.62,SPEAKER_09
799.62,799.65,SPEAKER_02
799.65,799.67,SPEAKER_09
800.33,800.34,SPEAKER_09
800.34,919.03,SPEAKER_02
919.57,1083.96,SPEAKER_02
