start,end,text
0.0,7.76, final day of debates i started the recording okay hopefully not final date for debates uh
8.56,13.84, for all of us uh okay in that case i will start the debate uh i call upon
13.84,27.0," the first proposition speaker uh to open the floor for us here Hi, am I audible?"
27.0,31.0," Perfect. I'll step here, rise in the chat, please, if that's alright."
31.0,47.62," And my speech starts in 3, 2, 1. Panel, the question in today's debate is simple."
48.12,51.36," When Africa freed itself from colonial rule, it had a choice."
51.78,59.06, Prioritize a Western model of democratic statehood or correct the wrongs that those same Western countries had inflicted upon them.
59.44,65.68," Post-colonial leaders chose to imitate their oppressors, and Africans have been paying the price ever since."
65.68,71.04, The wording of the motion may be a mess but Africa didn't have to be. We're very proud to propose.
71.04,76.0," What is our stance on proposition? Four things. First, the clarification issued by the motions"
76.0,81.6," committee states that opposition have to defend the world that did exist during the time, i.e."
81.6,85.44," the status quo. To be absolutely clear, this is a world in which much"
85.44,90.8," of Africa lives in poverty, exploited by the West, and devastated by civil war. That is the world they"
90.8,96.02," must defend. Two, our burden is to defend a hypothetical world in which the majority of"
96.02,101.02, post-colonial African states reclaimed stolen land and money from colonial elites and redistributed
101.02,107.08," it among the African population. There are three types of program. A, there were cash transfers to individual people"
107.08,110.96," of an amount roughly equivalent to $1,000 in today's money."
110.96,114.06," B, land reallocation, particularly of foreign lands"
114.06,116.64, so that land ownership is allocated roughly equally
116.64,118.06, across the population.
118.06,120.2," And C, this looks like state reclamation"
120.2,122.56," of natural resource wealth, like oil wells"
122.56,124.98, and regular cash payments to the population
124.98,130.16, of the profits from these. Three three we think that in most cases a leader of the independence movement
130.16,134.48, would likely become a non-democratic ruler who would initially rule the country on a national
134.48,139.68, level and initiate this policy supported by a network of local community governments four
139.68,144.8, note that this motion covers an entire continent given this we think the burden on both sides
144.8,149.6," is that the policy works for the majority but but not for all countries. Having made that clear,"
149.6,154.72," first argument, where would these policies have been done well? Who is carrying out these policies?"
154.72,159.6," They are the immediate leaders of post-colonial African states. In almost all cases, these are"
159.6,163.76," the leaders of the revolutionary movements in these states, as they were the obvious and only"
163.76,169.36, candidates for colonial powers to hand over in reign soon. What assets would these leaders have been distributing?
169.36,173.2," We think the state would have owned some land and assets to begin with, but they would likely have"
173.2,177.6, had to take most land off predominantly white colonialists who owned it or the minority of
177.6,182.08, African land-owning elites who had gained it by collaborating with the colonizers. We think they
182.08,189.58, should have taken this land back without recompense or with relatively tokenistic payments. It was stolen of the people of African states.
189.58,193.88, We accept this might not have been easy and it might have even been violent in a few cases.
193.88,198.24, We think however that in most cases it would have been successful for three key reasons.
198.24,202.36, A. There would have been a lot more black Africans than white colonialists. By sheer
202.36,205.02," quantity they clearly win. B, they now control"
205.02,209.26," the levers of the state, including the army, so they have much more power. But C, we are supporting"
209.26,213.82, a world where many African states chose to view this. This means that even if the first few cases
213.82,218.28," where this policy was attempted were difficult and potentially bloody, white landowners in other"
218.28,222.64, African states who saw this would likely have realized their time was up. Given the colonial
222.64,228.8," powers who had just left, neither wanted to see their citizens die, nor themselves get embroiled in conflict, they likely would"
228.8,233.02," have paid these white landowners to leave peacefully, as the British did when they left"
233.02,238.94," Kenya. Why would these leaders allocate resources fairly? Three reasons. A, they have been literally"
238.94,243.18," fighting for their nations, and have recent experience of being oppressed, but B, within"
243.18,249.48," their legitimacy at that point in history, is heavily hinged on their willingness to fight for the rights of their people, and"
249.48,254.12, c within a core part of the majority of these independence movements were African intellectuals
254.12,257.0, who were arguing for the justice of this exact policy.
257.0,258.38," Second argument, the principle."
258.38,263.9, We think under our side there are three powerful principled obligations which the government
263.9,269.6, of the time also prioritized and could only be fulfilled by redistributive policies the first principal
269.6,275.44, obligation is that land and wealth are the correct form of reparation this land was stolen by white
275.44,279.84, colonizers whose descendants profited from it often by enslaving the descendants of its original
279.84,285.0," owners not only did the land have significant economic value, it also had unquantifiable cultural"
285.0,287.0, value to the people it was taken from.
287.0,290.0, These are historic religious sites or bureau grounds.
290.0,293.0," Given that, the criteria for reparations are clearly fulfilled."
293.0,298.0," A, the stolen property itself, i.e., the land, is unambiguous and of immense value."
298.0,300.0," B, the rightful owner is clear."
300.0,305.88," And C, unless opposition wants to defend colonialism, the illegitimacy of the current owner's possession"
305.88,307.1, is also clear.
307.1,310.16," Rather than redress this, opposition requires new states"
310.16,312.7, just to shed from the shackles of colonization
312.7,314.22, to start absolutely protecting the rights
314.22,316.18, of white colonialists.
316.18,318.4, The second principal obligation is that land and wealth
318.4,320.18, fits with the will of the people.
320.18,323.32," But for colonialism, communities looks much more like those"
323.32,329.84," which our redistributive policy would facilitate. Smaller, much more communal, predominantly locally led. Importantly,"
329.84,334.56, a lot of independence movements held up this model when they pushed for the end of colonialism.
334.56,339.28," People called for it, they fought for it, they desired it so deeply that men are willing to lay"
339.28,344.0, down their lives for it. The third obligation is that land and wealth preserves your right to life
344.0,349.06, and ought to be the most important. Food and money keep you alive. This is what you need to access any of
349.06,354.0," opposition's political rights. Look, we respect that OPP has some claim to be granting people"
354.0,358.5," rights, but they're obviously far less important than these because A, granting people a right to"
358.5,363.56," vote has no guarantee of improving their life, and B, freedom of speech and association are"
363.56,365.16, nebulous and often restricted
365.16,369.44, even in democratic countries. These are of no importance when compared to returning their
369.44,374.16," property, respecting their wishes, and protecting their lives. Before we move on to my third"
374.16,379.44," argument, I'll take your POI. Even if land reparations do occur, how can you assure that"
379.44,384.0," individuals have enough capital or even enough land to make a living off of it? Perfect,"
384.0,388.64, that's exactly what I'm going to explain in my third argument why do we massively reduce suffering and death in
388.64,393.44, post-clinical africa opposition stands for a world where literally millions of people died from
393.44,397.76, preventable poverty because they chose to prioritize westerners over their people there's
397.76,402.08, three ways in which we change this this directly responds to a pure while when they ask us why this
402.08,409.24," money is so important first way money is used to solve immediate issues like food and medicine. This is a simple impact, but it's incredibly"
409.24,413.78," important. In our world, people are given money that they can spend on food and medicine. They"
413.78,418.84," are given land that they can live on, grow things from, or sell. This allows them to escape extreme"
418.84,423.48, poverty. The second way is because they have money to invest. Knowing that you have a regular
423.48,426.38," monthly income from your stake and the local life,"
426.38,428.1, or that you have been able to make savings
428.1,429.62, from your initial payment of cash
429.62,431.52, allows you to invest in the future.
431.52,434.3, A community can collectively buy farming equipment
434.3,437.16, that makes it far more efficient to invest in a well.
437.16,439.34, The third way is because we give people control
439.34,440.58, over the land.
440.58,442.4, Africa has the potential to grow enough food
442.4,445.0, to feed itself three and a half times over.
445.0,449.0," Despite this, they have suffered more famine than anywhere else in the world."
449.0,455.0," That is because Western companies own their farmland over-planted to the point of soil degradation,"
455.0,458.0, and then sell the crops out of Africa to European buyers.
458.0,463.0," On our side, people control their own land. This improves food security in two ways."
463.0,465.2, A. They farm it in a less commercially aggressive
465.2,470.16," way, thus reducing the chances of crop failure. B, they have control over the products that are grown."
470.48,474.54," That means that even if there's a bad harvest or a drought, people are better able to adapt to help"
474.54,479.46," themselves. In a reduced harvest, you're able to keep the crops to grow and feed yourself, rather"
479.46,484.16," than be forced to sell them to Europe. And even in a truly dire year, you're better able to make the"
484.16,489.28," choice to switch to animal agriculture to save yourself yourself because the land is yours. On a wider level,"
489.28,493.92," within redistributive policies, reduce the risk of civil war. Civil wars typically occur when there's"
493.92,498.32," a combination of extreme poverty, limited opportunities, and the lack of trust in the state,"
498.32,502.4, and are even more likely to happen when there are multiple ethnic groups who in Africa were often
502.4,507.16, set against each other by colonial powers. Those conditions are why there have been countless
507.16,509.1," civil wars since the end of colonialism,"
509.1,512.0, and why there are 21 happening in Africa right now.
512.0,513.82," That's what opposition's policies led to,"
513.82,516.1," poverty, weak democracies and conflict."
516.1,518.82, Why would this be better with redistributive policy?
518.82,521.24," We explain why poverty is alleviated,"
521.24,523.34, but giving people land gives them stake in their nation.
523.34,529.52, It's much easier to abandon everything for a chance to be a soldier is a lot harder when you have a stake in a community
529.52,534.8, but needless to say this is about as big as an impact gets civil wars wreak unfold damage to
534.8,539.6, countries in the long run this running of the motion may be a mess but africa did not have to
539.6,540.56, we're proud to propose
543.52,570.0, thank you judges all set
570.0,578.04, excellent in that case thank the speaker for their speech and call upon the first speaker
578.04,605.0," said opposition to deliver theirs hi uh my name is iga i I'll be the LO. My pronouns are she, her, and I'd prefer POIs in the chat,, the African continent has been plagued by instability."
605.0,612.0," However, note that this occurred despite the existence of political and civil rights, not because of it."
612.0,618.0, Civil and political rights formed the last stronghold against the attempts at unbridled grabs for power.
618.0,629.96," My speech will be divided into three parts. Firstly, I'm going to analyze why proposition is unlikely to succeed in their reparations. Secondly, why they're likely to create more economic harms. And thirdly, why we're able"
629.96,635.64," to create a more stable society. But before that, I want to make a strategic note. It is not sufficient"
635.64,640.74," for proposition to just argue the benefits of reparations. The motion has a flip side, which"
640.74,645.24, requires proposition to defend the absence of political and civil rights.
650.72,656.88," In other words, a dictatorship. Because in order to win this debate, proposition has to prove why it is both legitimate and preferable to subject individuals to literal authoritarian rule."
657.26,662.14," Okay, moving on to the first part of my speech on why we think that land redistributions will"
662.14,665.2, simply not work. Note that this directly attacks the
665.2,670.08, Prime Minister's first argument on why they think land reparations will be done well. Note that even
670.08,675.52," if the proposition has some fiat to enact their policies, that doesn't guarantee that external"
675.52,680.72, factors will make it literally impossible for their policies to succeed. We tell you there are
680.72,689.6, three reasons as to why we are more likely to achieve civil and political rights than they are to achieve economic and land reparations firstly in terms of international
689.6,694.16, support when we look at for instance assistance for civil and political rights we've already seen
694.16,699.28, this happening where for instance in senegal other countries have provided independent observers to
699.28,703.6, ensure elections were free and fair this is because generally on the international stage
703.6,709.06," civil and political rights are right widely recognized But we say on the flip side, there's oftentimes a lot of"
709.06,714.34," backlash for land redistribution. Note that, for instance, the US has sanctioned Zimbabwe for the"
714.34,719.68," last 22 years, partly because of their forceful land redistribution policies. Note that this also"
719.68,730.44, offsets any economic benefits of such redistribution. The second reason as to why we're more likely to achieve our world is because of the concept of taking versus giving. Land reparations means
730.44,734.9," you have to actively take away someone's assets, which will likely spark aggressive opposition."
735.36,739.88," This is what we've seen in Ghana, where farmers literally hired private mercenaries to protect"
739.88,745.22," their own land. Comparatively, civil and political rights are merely given to people, and thus"
745.22,750.26, individuals don't have an incentive to fight for what has been taken from them. The third reason
750.26,754.72," here is that there are already blueprints for enshrining civil and political rights. For instance,"
754.9,760.2," you can copy existing constitutions and other democratic frameworks. However, land redistribution"
760.2,769.88," in such large, ethnically divided and unstable, have never been done before, and so it's far more complex to do so. What this means is that it is"
769.88,774.94," very unlikely to get economic and land reparations, while it is more likely to get civil and political"
774.94,779.88," rights, even if both sides have the same amount of fiat, we have substantially more external factors"
779.88,784.48," that help us. Moving on to the second part now, and why we think proposition is likely to create"
784.48,792.88," more economic harm, but before that that i'll take a poi there are 54 countries in the african continent"
792.88,798.32, do you think that the us is going to sanction all these 54 countries and derive themselves of great
798.32,804.0, economic opportunities look like if you look at sort of empirical evidence the west is more than
804.0,807.36, happy enough to sanction countries that don't follow democratic norms.
807.6,814.78," Like, I don't really understand this point. OK, let's move on to the second part now on why we think that proposition creates more economic harms."
815.1,819.4," We tell you they're likely to have four harms, firstly, of underutilized land."
819.62,830.0," This is what we meant in our POI, because even if proposition distributes land land properly it is not going to be properly used and this is for two reasons a there's limited capital so simply giving"
830.0,834.48, impoverished individuals land doesn't give them access to economic capital we saw this in South
834.48,838.8, Africa where black farmers couldn't get mortgages from banks so they still couldn't afford the
838.8,844.16, necessary machinery to work the land we tell you secondly uh there's oftentimes fragmentation of
844.16,845.34, land assuming that land will be distributed equally's oftentimes fragmentation of land. Assuming that
845.34,850.46," land will be distributed equally, you have large plots of land that we split up into many smaller"
850.46,855.62," plots. This is seen in Ethiopia, where half of all the plots of land were less than a quarter of a"
855.62,860.68, hectare panel that is literally tiny. You cannot live off of that. Note that this threatens food
860.68,865.82, security. These nations already face food shortages. So every time you waste
865.82,870.2," scarce land that could have been used to grow crops, you bring the countries closer to the"
870.2,876.78, brink of starvation. This is also what contributed to the famine in Ethiopia in 1984 after their land
876.78,881.0, redistribution. The second harm here is you're less likely to have foreign direct investment
881.0,888.58, because foreign companies are reluctant to settle into authoritarian regimes where individuals have absolutely no rights because they're afraid of for instance the
888.58,893.38, sanctions this means that job opportunities are lost in countries that already have high rates
893.38,897.76, of unemployment the third harm here is that you have no development aid because countries are
897.76,902.44, reluctant to give aid to dictatorships for instance after the United States made charges
902.44,909.5," of corruption against the government of Kenya, they halted the development aid. This means communities lose out on hospitals that could"
909.5,914.42," have been built. They lose out on schools. They lose out on food, for instance. The last harm"
914.42,918.5, here is you're likely to have poor economic policy. And this is caused by the dictator's
918.5,924.24, dilemma. Opposition might give people a bag of money. But if your country has hyperinflation
924.24,925.78," because of economic mismanagement,"
926.02,927.8, that money is literally useless.
928.26,930.16, Bad economic policy might happen
930.16,931.22, on either side of the house.
931.36,932.88, But the difference in our side of the house
932.88,934.78," is that when you have political and civil rights,"
934.9,935.82, you can correct that.
935.94,937.92," In a dictatorship-like propositions world,"
938.14,939.78, people who are critical of the government
939.78,942.0," will never be able to express their critics,"
942.28,943.5, their beliefs.
943.76,944.58," Look at Zimbabwe,"
944.72,945.7, where Robert Mugabe
945.7,947.2, literally caused hyperinflation
947.2,948.88, by just continuously printing money
948.88,951.98, and plunging the entire country into economic crisis.
951.98,953.84, What this argument shows you
953.84,955.88," is that even on the metric of the economy,"
955.88,958.64," which is propositions grounds, we still take the debate."
958.64,960.74," Note that this also tackles the principle argument,"
960.74,962.84, because we believe that the best form of reparation
962.84,969.86, is to give back the country a stable economy after the disruption and chaos caused by colonialism. They cannot do that. We can.
970.14,974.52," Moving on to the third and last part on why we can create, we can prevent violent conflict."
974.94,978.88," We're here, we're going to show you why the lack of civil and political rights will exacerbate"
978.88,983.62, conflict and lead to more unnecessary death. Why do we think this is true? We tell you this is for
983.62,985.32," two reasons. Firstly,"
989.74,993.68," citizens will turn to violence when they cannot voice their dissatisfaction peacefully. To illustrate, in the early 90s, the Nigerian government tried to make a deal with Shell"
993.68,998.72," about extracting oil from the Niger Delta. The local communities hated this plan, and a small"
998.72,1002.68, conflict emerged. But because we had democratic structures that recognized the voices of the
1002.68,1008.64," people, they were able to establish environmental regulations in propositions world you don't have these rights you would prevent"
1008.64,1013.44, citizens from being hurt entirely we tell you the small conflict would have escalated to far worse
1013.44,1018.24, to become far more violent but secondly we tell you in propositions world authoritarian leaders
1018.24,1025.98," are far more likely to stoke conflict to maintain control we saw this this happening in Kenya in 1992, when the president tried to purposely"
1025.98,1032.26," stoke ethnic conflict to ban opposition parties. Luckily, people were able to hold them accountable,"
1032.6,1037.12," and the president was later ousted from power. On the opposition side, they lacked that form"
1037.12,1040.94," of accountability. We tell you ethnic conflicts would have worsened, and many more would have"
1040.94,1050.02," died. Note that this also clashes with their third argument on reducing death and suffering. We tell you, even if initially our world is not a fully functioning democracy at"
1050.02,1055.16," first, enshrining civil and political rights is a prerequisite for that. It is the seeds that must"
1055.16,1060.5," be planted before the flower of democracy finally blooms. We tell you that in our world, we are able"
1060.5,1069.2," to create the basis for that. This is because, firstly, when you have the right to vote, you're more likely to be able to establish systems of elections. In many African countries,"
1069.2,1073.76," voter turnout has been comparable, if not higher than in the West. But secondly, we're able to have"
1073.76,1078.0, the establishment of opposition parties that can organize to pressure government reform.
1078.0,1081.68, What this ultimately means is that we are the side that is able to maintain stability.
1081.68,1088.48, We are the side that helps these people i'm so proud to oppose
1119.76,1122.8, thank you George is all set. Great. Can everyone hear me?
1122.8,1125.0, Yes.
1125.0,1126.0, Whenever you're ready.
1126.0,1149.84," Well, yeah, thank the previous speaker and go on the second speaker team proposition. 70% of all land is owned by Namibians of European descent. And we think it is outrageous that these countries are still in the modern day controlled and"
1149.84,1153.7, owned by the descendants of those who colonized and exploited them.
1153.7,1155.7, That's why we're so proud to propose this policy today.
1155.7,1158.24, I'm going to talk about a couple of things in this speech.
1158.24,1162.76," First of all, I'm going to address the clashes of whether this would work, then on principle,"
1162.76,1169.44," then on practical, and then I'm going to bring a new argument on long-term development for the African continent, both economic and political."
1169.44,1174.44," First of all, some above. I just want to flag where I could start here, that every single"
1174.44,1179.76," example opposition has given you of failure, of poverty, of terrible conflict that has"
1179.76,1184.16, devastated people's lives and livelihoods happened under their side of the house. We
1184.16,1185.0, were very clear
1185.0,1189.12," in our answer, according to the clarification from the motions committee, side opposition's"
1189.12,1193.8, burden is to defend the world as it exists today. They have to defend the status quo.
1193.8,1197.64, They have to defend what these countries chose to do. That's why when they talk to you about
1197.64,1202.32," Ethiopia, that's why when they talk to you about Ghana, they have to stand behind the"
1202.32,1205.44," failures there. But then, would this have worked? Because"
1205.44,1209.52, side opposition want to challenge us here. They tried to tell us first of all that these leaders
1209.52,1213.28, are going to carry out these policies badly and then they tried to say you're not going to be
