start,end,speaker
5.52,6.93,SPEAKER_09
6.93,6.97,SPEAKER_05
6.97,6.98,SPEAKER_09
10.14,34.86,SPEAKER_05
35.25,84.2,SPEAKER_05
84.52,125.11,SPEAKER_05
118.46,118.59,SPEAKER_08
118.59,118.61,SPEAKER_00
125.5,129.14,SPEAKER_05
129.43,264.16,SPEAKER_05
264.73,307.22,SPEAKER_05
307.54,308.91,SPEAKER_05
309.21,317.89,SPEAKER_05
317.94,344.03,SPEAKER_05
344.38,400.88,SPEAKER_05
401.32,428.96,SPEAKER_05
431.36,449.77,SPEAKER_05
449.99,463.65,SPEAKER_05
468.4,472.21,SPEAKER_09
503.97,504.96,SPEAKER_09
504.96,505.59,SPEAKER_10
507.99,510.62,SPEAKER_10
512.17,512.49,SPEAKER_10
514.6,514.99,SPEAKER_10
516.74,518.53,SPEAKER_10
520.95,521.84,SPEAKER_10
522.08,522.63,SPEAKER_10
524.37,524.89,SPEAKER_10
525.99,526.02,SPEAKER_10
526.02,528.29,SPEAKER_07
528.91,529.59,SPEAKER_07
529.99,534.65,SPEAKER_07
535.37,627.93,SPEAKER_07
628.68,634.67,SPEAKER_07
634.97,646.07,SPEAKER_07
646.5,803.69,SPEAKER_07
687.38,687.77,SPEAKER_09
804.24,831.77,SPEAKER_07
832.39,849.52,SPEAKER_07
849.72,891.28,SPEAKER_07
892.7,902.22,SPEAKER_05
903.18,1032.44,SPEAKER_07
952.54,952.78,SPEAKER_00
1034.11,1034.69,SPEAKER_00
1036.34,1041.02,SPEAKER_09
1085.65,1085.84,SPEAKER_00
1086.29,1086.65,SPEAKER_11
1089.51,1093.94,SPEAKER_11
1101.01,1103.03,SPEAKER_11
1103.03,1104.58,SPEAKER_01
1104.58,1104.67,SPEAKER_11
1104.84,1104.94,SPEAKER_11
1104.94,1110.07,SPEAKER_01
1110.57,1111.6,SPEAKER_01
1112.35,1114.44,SPEAKER_01
1114.84,1115.25,SPEAKER_01
1115.69,1158.08,SPEAKER_01
1158.28,1498.85,SPEAKER_01
1499.85,1499.86,SPEAKER_03
1499.86,1499.88,SPEAKER_01
1499.88,1500.03,SPEAKER_03
1500.03,1505.23,SPEAKER_01
1505.91,1614.45,SPEAKER_01
1621.3,1625.65,SPEAKER_09
1633.35,1634.04,SPEAKER_09
1634.04,1641.43,SPEAKER_03
1642.36,1681.66,SPEAKER_03
1681.89,1723.36,SPEAKER_03
1723.73,1729.41,SPEAKER_03
1729.65,1737.36,SPEAKER_03
1737.82,1739.64,SPEAKER_03
1739.91,1859.5,SPEAKER_03
1860.35,1868.57,SPEAKER_01
1869.58,1870.2,SPEAKER_03
1870.25,1889.58,SPEAKER_03
1889.91,1901.08,SPEAKER_03
1901.17,2051.14,SPEAKER_03
1908.63,1909.27,SPEAKER_00
2051.58,2069.01,SPEAKER_03
2069.16,2085.38,SPEAKER_03
2085.46,2087.03,SPEAKER_03
2087.05,2089.12,SPEAKER_03
2089.16,2089.19,SPEAKER_03
2089.21,2089.24,SPEAKER_03
2089.34,2089.41,SPEAKER_03
2089.9,2090.44,SPEAKER_03
2090.46,2090.47,SPEAKER_03
2092.97,2102.61,SPEAKER_03
2102.84,2132.04,SPEAKER_03
2132.04,2135.53,SPEAKER_02
2138.84,2143.31,SPEAKER_09
2191.05,2198.51,SPEAKER_08
2198.96,2199.86,SPEAKER_08
2211.3,2213.04,SPEAKER_08
2213.04,2214.22,SPEAKER_04
2214.33,2286.48,SPEAKER_04
2286.85,2400.33,SPEAKER_04
2400.94,2667.19,SPEAKER_04
2667.39,2715.3,SPEAKER_04
2719.69,2724.25,SPEAKER_09
2743.6,2744.63,SPEAKER_09
2747.03,2748.83,SPEAKER_09
2747.28,2747.69,SPEAKER_06
2749.66,2752.88,SPEAKER_06
2753.1,2755.08,SPEAKER_06
2755.47,2818.09,SPEAKER_06
2800.42,2800.88,SPEAKER_00
2818.31,2865.73,SPEAKER_06
2826.26,2826.78,SPEAKER_00
2866.2,2907.93,SPEAKER_06
2908.54,2912.59,SPEAKER_06
2913.21,2926.8,SPEAKER_06
2927.57,3049.43,SPEAKER_06
3001.62,3001.67,SPEAKER_00
3049.97,3122.02,SPEAKER_06
3122.41,3171.43,SPEAKER_06
3125.92,3126.21,SPEAKER_07
3134.85,3135.2,SPEAKER_00
3173.8,3181.49,SPEAKER_01
3175.8,3175.82,SPEAKER_06
3175.92,3175.99,SPEAKER_06
3181.98,3252.69,SPEAKER_06
3256.6,3261.12,SPEAKER_09
3257.19,3257.26,SPEAKER_06
3269.7,3270.09,SPEAKER_00
3275.2,3275.35,SPEAKER_02
3275.57,3275.6,SPEAKER_02
3275.6,3277.04,SPEAKER_09
3277.04,3279.67,SPEAKER_03
3280.06,3281.61,SPEAKER_03
3281.98,3282.89,SPEAKER_03
3283.05,3311.75,SPEAKER_03
3312.12,3327.61,SPEAKER_03
3327.68,3425.47,SPEAKER_03
3402.72,3402.99,SPEAKER_00
3419.82,3420.27,SPEAKER_00
3421.88,3421.91,SPEAKER_00
3421.91,3422.31,SPEAKER_02
3425.47,3425.59,SPEAKER_02
3425.59,3453.9,SPEAKER_03
3429.25,3429.6,SPEAKER_02
3446.36,3446.38,SPEAKER_00
3454.01,3455.04,SPEAKER_03
3461.46,3468.03,SPEAKER_03
3468.06,3468.11,SPEAKER_03
3468.43,3468.45,SPEAKER_03
3469.95,3477.58,SPEAKER_03
3477.61,3481.7,SPEAKER_03
3481.71,3506.03,SPEAKER_03
3485.48,3486.19,SPEAKER_00
3517.39,3539.04,SPEAKER_03
3539.04,3541.72,SPEAKER_02
3546.48,3550.4,SPEAKER_09
3559.09,3559.1,SPEAKER_09
3559.1,3643.95,SPEAKER_05
3644.71,3699.25,SPEAKER_05
3699.5,3704.36,SPEAKER_05
