start,end,text
0.0,7.0," Cool, sorry for the delay."
7.0,15.0," Panel, the issue in post-colonial states is a vastly unequal distribution of property,"
15.0,21.0," where the majority of land and economic resources is held by a small elite. An example of this is in Egypt,"
21.0,26.06, where 6% of the population owned 65% of the overall land in the
26.06,30.94," 1950s. This came to be during colonialism, where land was stolen from the indigenous population"
30.94,36.82," and given to white colonists or local elites that supported them. These theft, the theft and"
36.82,41.82, centuries of exploitation deserve redress. Getting your land back is getting your country back. How
41.82,50.18, do we do this? We implement a model similar to Egypt's immensely successful one in the 1950s. What land do we redistribute? We want to have a cap on how
50.18,55.88," much land individuals can own. If people own more, we expropriate them. And if land that is owned by"
55.88,60.0, the former colonial government will also be redistributed. Where does this land then go?
60.14,64.02, We want to have this proportional according to ethnicity to restore the original balance. If
64.02,67.92," your group makes up 10% of the population, you will get 10% of the land."
67.92,71.52," Additionally, poor farmers can apply for land and agricultural support,"
71.52,76.32, for example fertilizers and seeds. This will be done well because there is an immense desire
76.32,80.32, for land redistribution from the population. What else will we then do? We want to have other
80.32,89.12," redistributive policies such as the social aid system, cash transfer programs, and heavy taxation for beneficiaries from colonialism. We lobby for reparations from former"
89.12,94.0, colonial powers. Precedents to this include the UK paying 50 million pounds to Kenya as a redress
94.0,99.52, for the Mau Mau massacre or supporting agricultural programs in the 1980s. What then does the short
99.52,104.0, term on both sides look like? We're willing to bite the bullet. We're most likely ending up with
104.0,108.16," authoritarian governments in the short term on our side of the house. However, the rule of law still"
108.16,112.88," is possible. Look at Egypt or Namibia, where we have independent ports, and this is likely because"
112.88,117.84, countries are easier to rule if there's an order in some institutions and force their power. On
117.84,122.56," opposition, what you're likely to get is an incredibly unequal society where most people"
122.56,125.7, are too poor to access their political rights.
125.7,129.5," With that, two arguments in the speech. Firstly, on the quality of life."
129.5,133.52, The problem for the large majority of people in post-colonial states is that they
133.52,139.52, lack a baseline of survival. They can't put bread on the table for your family. That is
139.52,143.44, because they're exploited in large farms and work under slave-like conditions with very
143.44,149.46," little pay. Opposition is unlikely to change this meaningfully for two reasons. One, because large landowners are"
149.46,153.54, likely to lobby the government to prevent any kind of legislation that would end exploitative
153.54,158.26, labor. They can uniquely do this because of their economic importance. We expropriate them
158.26,162.9," at their weakest right after independence. Second, because there are fluctuations in how much you can"
162.9,169.64," actually buy with your wage. That is, your money can decrease in its value, especially in a semi-stable economic system,"
169.64,171.34, whereas land you can always use.
171.34,173.96, This means land is always better as a form of redress.
173.96,175.24, How do we then help people?
175.24,177.64, You can grow crops on the land that you receive.
177.64,179.82, You're likely to do this very well for three reasons.
179.82,183.62," One, because of the agricultural program, you receive seeds and fertilizers."
183.62,189.44," Second, because you already worked as a farmer prior to you receiving that land most people were in agriculture and thirdly"
189.44,194.72, because generally not that hard i can grow crops in my own garden there's no reasons why african
194.72,198.96, farmers wouldn't be able to do this we then tell you that you're they're likely to use the land
198.96,203.44, even better than large farms because one you're likely to work harder when you reap the benefits
