start,end,speaker
2.8,5.92,SPEAKER_03
27.6,29.01,SPEAKER_03
62.01,63.97,SPEAKER_03
63.97,66.6,SPEAKER_09
66.75,68.46,SPEAKER_00
68.83,68.85,SPEAKER_09
69.4,69.84,SPEAKER_00
69.47,70.2,SPEAKER_09
71.13,72.17,SPEAKER_09
72.24,74.48,SPEAKER_00
76.12,76.15,SPEAKER_09
76.15,83.44,SPEAKER_04
84.71,87.38,SPEAKER_04
87.6,87.63,SPEAKER_04
87.63,89.82,SPEAKER_08
91.05,91.07,SPEAKER_04
91.07,91.09,SPEAKER_08
91.09,93.86,SPEAKER_04
94.55,107.29,SPEAKER_08
107.86,117.18,SPEAKER_08
118.12,119.61,SPEAKER_08
119.73,133.29,SPEAKER_08
133.73,135.69,SPEAKER_08
135.71,139.13,SPEAKER_08
139.45,147.55,SPEAKER_08
147.59,159.08,SPEAKER_08
159.43,169.74,SPEAKER_08
170.43,172.41,SPEAKER_08
172.73,181.27,SPEAKER_08
182.1,185.99,SPEAKER_08
186.62,191.33,SPEAKER_08
191.97,197.03,SPEAKER_08
197.5,201.13,SPEAKER_08
201.4,213.72,SPEAKER_08
214.28,221.7,SPEAKER_08
222.54,225.77,SPEAKER_08
226.0,241.56,SPEAKER_08
241.92,251.16,SPEAKER_08
251.59,266.39,SPEAKER_08
266.57,284.29,SPEAKER_08
284.7,307.98,SPEAKER_08
308.13,309.74,SPEAKER_08
310.38,312.4,SPEAKER_08
313.06,321.79,SPEAKER_08
322.09,356.13,SPEAKER_08
356.48,373.05,SPEAKER_08
373.49,378.69,SPEAKER_08
379.31,406.74,SPEAKER_08
407.22,410.72,SPEAKER_08
411.27,417.67,SPEAKER_08
417.89,420.83,SPEAKER_08
421.65,440.05,SPEAKER_06
439.68,440.49,SPEAKER_00
441.7,442.09,SPEAKER_06
442.09,442.68,SPEAKER_08
442.68,442.7,SPEAKER_06
443.56,443.57,SPEAKER_06
443.57,452.96,SPEAKER_08
453.06,475.62,SPEAKER_08
475.74,478.18,SPEAKER_08
478.74,482.77,SPEAKER_08
483.01,492.04,SPEAKER_08
492.41,493.86,SPEAKER_08
494.32,503.14,SPEAKER_08
503.45,509.35,SPEAKER_08
509.62,527.09,SPEAKER_08
527.39,553.36,SPEAKER_08
553.45,560.7,SPEAKER_08
561.01,589.04,SPEAKER_08
589.04,590.76,SPEAKER_03
596.92,596.93,SPEAKER_03
596.93,601.08,SPEAKER_00
601.14,606.18,SPEAKER_00
607.94,609.34,SPEAKER_01
609.34,609.35,SPEAKER_03
611.72,611.97,SPEAKER_00
611.97,612.66,SPEAKER_03
614.92,615.34,SPEAKER_03
616.19,616.29,SPEAKER_03
616.29,616.36,SPEAKER_01
616.36,616.37,SPEAKER_03
616.37,616.39,SPEAKER_01
617.55,619.9,SPEAKER_01
620.25,631.71,SPEAKER_01
632.03,649.67,SPEAKER_01
650.41,661.63,SPEAKER_01
662.21,690.98,SPEAKER_01
691.32,698.55,SPEAKER_01
698.81,708.0,SPEAKER_01
708.19,709.71,SPEAKER_01
710.55,753.53,SPEAKER_01
753.6,788.9,SPEAKER_01
773.19,773.61,SPEAKER_00
789.19,831.18,SPEAKER_01
832.0,876.74,SPEAKER_01
877.24,900.31,SPEAKER_01
900.82,945.66,SPEAKER_01
946.63,958.26,SPEAKER_10
958.55,1024.98,SPEAKER_01
1025.83,1042.1,SPEAKER_01
1042.43,1084.35,SPEAKER_01
1084.76,1096.52,SPEAKER_01
1097.04,1113.97,SPEAKER_01
1113.97,1115.08,SPEAKER_03
1119.84,1125.07,SPEAKER_03
1186.19,1188.5,SPEAKER_03
1193.97,1194.85,SPEAKER_03
1195.14,1196.11,SPEAKER_03
1196.72,1197.04,SPEAKER_03
1198.73,1199.12,SPEAKER_03
1203.47,1204.23,SPEAKER_03
1205.67,1208.4,SPEAKER_03
1208.84,1209.16,SPEAKER_03
1218.1,1219.98,SPEAKER_03
1219.98,1224.3,SPEAKER_02
1224.68,1257.29,SPEAKER_02
1258.06,1262.18,SPEAKER_02
1262.89,1264.05,SPEAKER_02
1264.15,1277.11,SPEAKER_02
1277.77,1278.35,SPEAKER_02
1278.55,1316.2,SPEAKER_02
1293.97,1293.99,SPEAKER_03
1315.83,1315.84,SPEAKER_07
1316.42,1319.55,SPEAKER_02
1320.16,1333.75,SPEAKER_02
1334.17,1359.97,SPEAKER_02
1360.24,1364.0,SPEAKER_02
1364.56,1365.32,SPEAKER_02
1365.64,1414.29,SPEAKER_02
1414.38,1434.76,SPEAKER_02
1435.45,1437.66,SPEAKER_02
1437.92,1449.34,SPEAKER_02
1449.64,1466.92,SPEAKER_02
1452.33,1452.34,SPEAKER_00
1452.34,1453.63,SPEAKER_04
1467.03,1501.65,SPEAKER_02
1501.92,1509.33,SPEAKER_02
1509.72,1544.21,SPEAKER_02
1544.8,1555.7,SPEAKER_02
1555.84,1557.04,SPEAKER_02
1557.04,1558.34,SPEAKER_03
1562.49,1563.63,SPEAKER_03
1563.63,1563.67,SPEAKER_02
1564.24,1564.97,SPEAKER_03
1564.97,1567.03,SPEAKER_02
1567.28,1573.88,SPEAKER_02
1574.38,1596.09,SPEAKER_02
1596.59,1601.27,SPEAKER_02
1601.4,1614.78,SPEAKER_02
1614.87,1628.49,SPEAKER_02
1628.6,1639.5,SPEAKER_02
1639.99,1646.0,SPEAKER_02
1646.41,1662.0,SPEAKER_02
1662.18,1666.2,SPEAKER_02
1666.69,1678.3,SPEAKER_02
1678.72,1716.89,SPEAKER_02
