start,end,text
0.0,5.72, I'd like to invite the first speaker of the proposition to open this debate.
63.62,67.0," No, sorry, you're not audible. We're just changing our microphone, just give me a sec."
67.0,70.0," Okay, now we can hear you."
70.0,72.0, Can you hear me now?
72.0,76.0," Yeah, yeah, we can. Yeah, no, it's okay."
76.0,89.44," So, okay. you at all okay so since i am not able let me second timer realizing the job please and"
90.88,97.84, i will start my speech in three two okay the six decades since africa decolonized have been filled
97.84,104.4, with crippling poverty violent and even genocidal dictatorships and shamping offices we would rather
104.4,107.24, live in a world where af Africa had followed a different path.
107.86,110.8, So this house prefers a world in which post-colonial African states
110.8,114.32, had prioritized achieving economic and land reparations
114.32,116.96, over enshrining civil and political rights.
118.06,122.16," Before definition, post-colonial Africa covers 52 states."
122.16,126.64," This debate is not on the specific individual policies pursued in each state, but on the"
126.64,131.94, structural differences between pursuing economic reform or enshrining civil rights in a broad
131.94,132.94, postcolonial context.
132.94,139.66," This is a retrospective debate, but with the benefit of hindsight in how situations evolve"
139.66,142.76, when evaluating which options should have been prioritized.
142.76,148.0, Economic and land reparations are ways to transfer economic power to the masses of the country.
148.0,165.84," This looks like anything from seizing land or nationalizing corporations that were held by colonial masters, and distributing the land or wealth to the people all right to participate in democracy, like freedom"
165.84,170.96," of speech, right to vote, and right to fair trial through the constitution."
170.96,172.56, So three arguments from Kintra position.
172.56,175.76," First, how this leads to an immediate increase in prosperity."
175.76,178.1," Second, how this leads to state building."
178.1,182.24, And my partner will explain to you how we limit neocolonialism.
182.24,186.0, So first argument on how this leads to immediate increasing prosperity.
186.0,191.0," Why do economic rights matter to individuals? Firstly, day-to-day life improvement."
191.0,197.0," If you had given these people land to their name, they would have been able to utilize this land for survival."
197.0,201.0," For example, they would have been able to cultivate their land and feed their children."
201.0,205.44," This matters especially in post-colonial Africa, when during the 60s,"
205.44,211.44," 45% of child deaths in Africa was due to malnutrition, while at the same time it held the biggest"
211.44,216.82," level of agricultural exports in the world. On the comparative, what happened under opposition"
216.82,221.12, was giving those people freedom of speech to ask for food without giving them the benefit
221.12,222.12, immediately.
222.12,225.84, Second reason why economic rights matter is independence.
225.84,230.64," If you had given these people economic reparations, it would have enabled them to act independently"
230.64,235.92, by giving them options from ownership of land that would allow them to sell it or start trading or
235.92,240.96, open up a business to cash transfer that would give them stable income and control of their
240.96,245.88," future. On a principal level, we restore their autonomy because they are finally"
245.88,251.1, recognized as people who can make choices. This is something they were deprived of by colonialists.
251.1,256.62," On the comparative, opposition as a form of compensation gave these people rights they could"
256.62,262.68," not utilize to maximize their choices for two reasons. Firstly, lack of democratic institutions."
262.68,266.0," For example, the right to vote is meaningless in a one-party state. And secondly, lack of democratic institutions. For example, the right to vote is meaningless in a one-party state."
266.0,274.0," And secondly, lack of democratic traditions. For people in power, it was difficult to understand their powers derived from the people."
274.0,282.0," And for the people, this meant accepting the complex of democracy, like being on the losing side of elections and having to accept majority control."
282.0,285.28, This is complex for them to understand so third
285.28,290.88, reason why economic rights mother to individual is trusting the system because the outcome of having
290.88,295.52, day-to-day improvements and independence is that these people would have started to see immediate
295.52,301.04, change and tangible benefits to their lives on the comparative when rights didn't give them immediate
301.04,307.8, benefits they ended up doing the system that didn't give them what's promised in the chart piece.
308.12,309.16, So economic
310.32,312.4, so economic rights are the first priority.
312.96,316.68, Why immediately after the colonization is a narrow window in time
316.68,318.96, for the opportunity to get these rights.
318.96,319.6, Two reasons.
319.6,321.76," First, the momentum of the colonization."
322.0,325.6," When the colonization happened, there was a situation of political power"
325.6,330.4, so with new institutions in the way it would have made sense for a distribution of economic power
330.4,335.36, to have been part of that process as well. On the comparative what happened under opposition
335.36,340.48, by postponing land reparations was establishing a new state that reflected the older colonial
340.48,346.96," economic order. So when South Africa is now doing it during the colonization, but now it's"
346.96,352.4, targeting part of the elite instead. So initially it said it would happen in five years under
352.4,358.32," Parisians, but now the target has changed to 35 years later. So the second reason why now is the"
358.32,362.72," right time to do it, why after the colonization is the right time to do this, is that elites were"
362.72,369.6," at their weakest. Because right after the colonization, they had time to do this is that elites were at their weakest because the right because right after the colonization they had part of economic wealth but they didn't yet have"
369.6,375.24, the opportunity to establish their control over the new government so opposition allowed the
375.24,380.34, elites to establish political power without challenging economic power so pursuing economic
380.34,385.0, operations to start would have meant less powerfully to oppose this process.
385.0,397.0," So, for example, Ghana that prioritized political reform and only tried cross transfer programs 10 years after independence, at which point they had established political power and could make sure to get the majority of funds."
397.0,406.0," Well, in that case, it would have been much easier to have a successful cash transfer program immediately when elites power was not so much a trench in"
406.0,413.12, society now moving on to the second argument about state building where economic rights reparations
413.12,419.6, likely to create a more stable state than civil and political rights before all that argument
419.6,426.48, i will accept the poi you keep talking about how you will be achieving all these great impacts for vulnerable
426.48,431.36, people in the post-colonial states but you never explain to us how you're going to be doing these
431.36,436.56, things. How is the land going to be distributed and by whom? Who is going to be deciding who gets
436.56,449.5," the cash in that colonial state? Who is going to be leading? Okay, so well there are land reparations have a defined process of happening."
449.5,454.08, You have the new state that has been assigned the role of distributing the land to the people
454.08,455.08, as fairly as possible.
455.08,460.48," And since under our city we make it a priority, then all political capital, all the focus"
460.48,464.74," would be on how to give these cash transfer programs, how to distribute land to the weakest,"
464.74,465.76," to the most vulnerable. These things would be the how to give these cash transfer programs, how to distribute land to the weakest, to the most vulnerable."
465.76,468.58, These things would be the criteria for starting this.
468.58,475.68," And in fact, this was in our model from the get go about how this looks like nationalizing companies, for example, to distribute wealth to the masses."
475.68,482.98, Now moving on to my second argument about state building. Why economic rights are likely to create more stable states than civil and political rights?
482.98,486.66," Because to have stability in the system, you need to have people buying and support."
486.66,490.2, So when politicians promise that people's lives will become
490.2,494.24," better and actually they don't, the system loses credibility."
494.24,496.44, So what happened is people were expecting
496.44,498.42," change improvements in their day to day life,"
498.42,501.6," but when promise of meaningful rights never materialized,"
501.6,503.46, they lost faith in the system.
503.46,505.04," On the comparative, if you had given these"
505.04,508.48, people a piece of land the system wouldn't have been perfect but they would at least have done
508.48,513.28, to be improving was it important firstly this led to uprisings by the people who were disappointed
513.28,517.68, by the system which political leaders responded with martial law and violent oppression for
517.68,524.16, example in vongo mobutu had 33 300 000 civilians in that instance people neither had economic
524.16,525.68, prosperity nor did they enjoy the
525.68,530.24," rights they were promised to get. Secondly, when things go wrong, people needed someone to blame"
530.24,533.84," and because there were societies that were deeply ethnically divided, they started blaming each"
533.84,538.4," other, leading to incredibly bloody civil wars and even genocides. For example, in Rwanda,"
538.4,544.08, Tutsis controlled a lot more land than the Hutus and the fact that it was never redistributed led
544.08,549.2, to conflict which escalated to genocide. On on the comparative when you have a small business you don't want economic
549.2,554.08, activity to be interrupted by coffee so there is less chance of this happening so where are we
554.08,559.2, likely to create more accountability because we it's because we decrease the symmetry of power
559.2,564.16, between people and the government it's important because colonialism created ethnic divisions with
564.16,567.36, local elites that benefited from their regimes because not just the colonial masses that
567.36,571.68," pressured the people. For example in Rwanda, Belgium chose to rule over the Hutus and now"
571.68,576.96," we increase accountabilities from the Hutus to the Tutsis because now, because we give them land,"
576.96,580.24," they can actually have an influence in government because they're the ones that pay taxation,"
580.24,584.32," contribute to the state budget. So even if you buy the idea of democracy is better,"
584.32,585.1, you think the democracy is democracy is better you you
585.1,589.12, think the democracy is good on the other side you have more accountability so for more accountability
589.12,598.72, and better state building where you can vote so I'd like to thank the first speaker of the
598.72,605.98, proposition for their speech and assuming the panel is ready I would like to invite the first speaker of the opposition.
