start,end,speaker
0.03,1.11,SPEAKER_08
2.55,4.17,SPEAKER_08
4.23,5.31,SPEAKER_08
5.84,8.54,SPEAKER_08
14.07,14.86,SPEAKER_00
16.01,23.03,SPEAKER_08
23.03,23.32,SPEAKER_01
26.71,26.85,SPEAKER_01
28.94,34.03,SPEAKER_01
37.56,39.15,SPEAKER_01
38.13,38.46,SPEAKER_08
39.91,40.4,SPEAKER_01
40.4,40.41,SPEAKER_08
44.45,52.88,SPEAKER_08
53.88,57.56,SPEAKER_08
58.52,64.68,SPEAKER_08
65.25,65.74,SPEAKER_08
66.5,70.52,SPEAKER_08
71.48,79.28,SPEAKER_08
81.64,82.03,SPEAKER_08
82.28,82.79,SPEAKER_08
83.01,84.05,SPEAKER_08
84.37,87.04,SPEAKER_08
87.04,87.44,SPEAKER_01
87.44,87.46,SPEAKER_08
91.05,97.59,SPEAKER_00
100.18,102.14,SPEAKER_08
103.83,106.82,SPEAKER_08
107.17,108.15,SPEAKER_08
107.86,107.96,SPEAKER_01
108.84,110.04,SPEAKER_08
110.04,112.35,SPEAKER_07
112.86,115.32,SPEAKER_03
116.42,117.36,SPEAKER_09
124.57,125.07,SPEAKER_09
127.03,133.75,SPEAKER_01
135.89,136.74,SPEAKER_08
137.65,138.17,SPEAKER_08
139.92,148.77,SPEAKER_08
149.16,152.24,SPEAKER_08
152.67,162.62,SPEAKER_08
162.67,162.71,SPEAKER_08
162.82,163.36,SPEAKER_08
164.85,168.7,SPEAKER_08
170.59,179.72,SPEAKER_08
181.84,183.29,SPEAKER_07
183.29,183.31,SPEAKER_09
184.85,184.96,SPEAKER_07
184.96,188.02,SPEAKER_09
194.03,195.04,SPEAKER_09
195.04,197.87,SPEAKER_07
197.99,219.71,SPEAKER_07
219.91,224.91,SPEAKER_07
225.04,264.66,SPEAKER_07
264.9,312.78,SPEAKER_07
312.91,351.94,SPEAKER_07
352.14,389.03,SPEAKER_07
371.1,371.25,SPEAKER_00
386.37,386.47,SPEAKER_00
386.47,386.6,SPEAKER_10
386.6,386.65,SPEAKER_00
389.05,426.9,SPEAKER_07
427.54,431.34,SPEAKER_07
432.44,435.15,SPEAKER_07
435.27,490.52,SPEAKER_07
490.65,524.78,SPEAKER_07
525.05,568.45,SPEAKER_07
568.77,570.14,SPEAKER_07
570.54,577.48,SPEAKER_07
577.78,594.49,SPEAKER_07
594.62,595.79,SPEAKER_07
596.01,613.12,SPEAKER_07
613.13,620.17,SPEAKER_07
620.63,633.77,SPEAKER_07
634.13,654.04,SPEAKER_07
654.26,663.81,SPEAKER_07
664.01,668.97,SPEAKER_07
668.97,670.1,SPEAKER_09
679.44,681.06,SPEAKER_09
683.2,685.75,SPEAKER_09
689.56,691.97,SPEAKER_09
698.81,699.16,SPEAKER_09
700.31,701.19,SPEAKER_09
700.46,700.53,SPEAKER_10
700.55,700.65,SPEAKER_10
700.66,700.71,SPEAKER_10
704.85,705.68,SPEAKER_09
706.18,706.47,SPEAKER_09
712.63,714.97,SPEAKER_09
714.97,734.41,SPEAKER_02
733.3,733.65,SPEAKER_00
734.7,765.36,SPEAKER_02
762.58,762.92,SPEAKER_00
765.77,769.13,SPEAKER_02
769.53,793.66,SPEAKER_02
794.12,798.66,SPEAKER_02
798.94,865.28,SPEAKER_02
865.57,938.38,SPEAKER_02
883.81,883.96,SPEAKER_00
903.0,903.47,SPEAKER_00
938.82,943.53,SPEAKER_02
943.92,957.33,SPEAKER_02
957.65,970.53,SPEAKER_02
970.66,978.9,SPEAKER_02
972.18,972.71,SPEAKER_00
973.62,973.75,SPEAKER_00
976.45,976.65,SPEAKER_10
978.16,978.48,SPEAKER_10
979.1,990.0,SPEAKER_02
990.19,993.24,SPEAKER_02
993.83,1008.21,SPEAKER_02
1008.03,1008.6,SPEAKER_01
1008.6,1039.09,SPEAKER_02
1027.75,1028.19,SPEAKER_00
1035.46,1035.8,SPEAKER_00
1039.5,1043.83,SPEAKER_02
1044.12,1053.22,SPEAKER_02
1052.59,1052.88,SPEAKER_06
1053.32,1066.82,SPEAKER_02
1067.12,1115.2,SPEAKER_02
1115.54,1133.56,SPEAKER_02
1134.57,1141.46,SPEAKER_04
1141.03,1143.04,SPEAKER_02
1143.36,1167.53,SPEAKER_02
1168.08,1178.11,SPEAKER_02
1176.2,1176.76,SPEAKER_00
1178.43,1224.03,SPEAKER_02
1211.0,1211.27,SPEAKER_00
1224.03,1224.11,SPEAKER_09
1224.11,1224.14,SPEAKER_02
1224.4,1224.45,SPEAKER_02
1224.45,1225.66,SPEAKER_09
1231.43,1235.16,SPEAKER_09
1235.67,1237.39,SPEAKER_09
1240.46,1240.75,SPEAKER_09
1241.78,1243.79,SPEAKER_09
1264.0,1264.73,SPEAKER_09
1266.8,1269.18,SPEAKER_09
1289.16,1289.2,SPEAKER_09
1289.2,1310.61,SPEAKER_03
1310.91,1315.5,SPEAKER_03
1315.56,1331.4,SPEAKER_03
1331.59,1346.91,SPEAKER_03
1347.16,1416.6,SPEAKER_03
1417.21,1466.38,SPEAKER_03
1466.76,1496.17,SPEAKER_03
1496.88,1499.63,SPEAKER_03
1499.98,1590.2,SPEAKER_03
1590.52,1592.2,SPEAKER_03
1592.86,1644.57,SPEAKER_03
1645.44,1655.82,SPEAKER_05
1656.45,1682.79,SPEAKER_03
1683.09,1712.34,SPEAKER_03
