start,end,text
0.0,3.12, I'm just going to start that now.
3.12,4.68," OK, great."
4.68,8.52, So could I check that my panelists are here?
14.04,15.92, I am here.
15.92,17.2, Yes.
17.2,18.16, I see Jessica.
18.16,21.96, I believe we have one more judge.
21.96,23.32," Yes, I'm here."
28.0,32.0, Great. And I'm looking for
32.0,36.0, I think I'm looking for Evelyn.
36.0,40.0," Okay, well, we'll hold on for a moment."
44.0,46.0," It's possible the draw was updated. I'm going to go ahead and start the presentation. Matt, you can start."
46.0,49.0, It's possible the draw was updated.
49.0,52.0, I'm not seeing Evelyn's name on the draw anymore.
52.0,54.0," Oh, let me refresh."
54.0,56.0, That's totally possible.
56.0,57.0, You're right.
57.0,59.0, You're absolutely right.
59.0,61.0," Okay, great."
61.0,62.0, Then.
62.0,64.0, In that case.
64.0,66.52," Let's start with some quick introductions. So my name's Matt, I'll be the chair."
68.32,71.9, Happy to be judging this round. Congratulations to both teams and welcome to round eight.
71.9,75.26," If we could introduce ourselves, the judges,"
75.26,77.72," just name, if you're interested, pronoun"
77.72,79.92," in the order of the draw, that'd be awesome."
82.32,84.42," Hi, my name is Freddie."
84.42,88.0, I use he or they pronouns. Let's have a good debate.
88.0,98.0," Hi everyone, I'm Jessica and I'm on the panel. Congratulations on making it to the final round and I wish you all the best of luck for the round."
98.0,103.0," Great, thanks."
103.0,106.32, If we could have the proposition team introduce themselves
107.12,112.08," in speaking order. Yeah, so Vincent Gao is first prop in reply. He him."
112.96,117.12, Second speaker Anushka Chihar. Third speaker Max.
124.4,126.0," Opposition? Speaking first for opposition, Mike Papilla."
126.0,129.0," Speaking second, Maxwell DiLorenzo."
129.0,132.0," Speaking third, Nick Bracow."
132.0,135.0," And, replying, Mike Papilla."
135.0,137.0," Great, thanks."
137.0,144.0," I haven't judged at this world schools yet, so let me know if I'm missing anything major procedurally."
144.0,148.0," But final reminder to teams, please speak to time."
148.0,150.4," If you speak past eight minutes 15,"
150.4,151.9, I will simply stop flowing.
152.76,155.48, I will not be sending time signals in the chat.
155.48,158.42," If there is anyone who like really needs time signals,"
158.42,160.4," let me know and we can try to figure something out,"
160.4,162.96, but I'm traditionally pretty terrible at doing that.
164.88,168.56," Offer POIs, accept POIs, be good to each other, and enjoy the debate."
170.2,175.3, There are no further questions or concerns. I look forward to this round. I call this
175.3,178.52," house to order, and I'm happy to invite up the Prime Minister to begin the debate for"
178.52,183.12, Proposition side here. Just checking that I'm audible.
184.58,186.1," And POIs in the chat, please."
186.38,188.02, I'll just accept them when I see them.
193.92,197.48, Millions of ex-convicts serve a life sentence in the world of opposition.
198.04,202.58, These are people who care about justly applying the laws that they were unjustly convicted by.
202.72,210.08," Family members who care about their hometowns that see face police subjugation daily, and individuals who care about improving"
210.08,214.84, the police force but cannot in their world. These millions should not be barred by discrimination
214.84,219.06, and stereotype. They should be free to live the lives beyond a sentence that they've already
219.06,224.48," served. When punishment is levied outside the courtroom, every convict serves a life sentence."
225.44,227.92, Proposition has two arguments to make in the first speech.
227.92,229.68," Firstly, on ex-convicts themselves,"
229.68,231.46," and secondly, on reforming the force."
231.46,232.88," But before that, what is our stance?"
232.88,233.72, Three points.
233.72,236.34," Number one, we think it is likely that individuals"
236.34,238.82, with actively violent tendencies are filtered out
238.82,240.76, through existing selection systems.
240.76,243.56, This looks like psychiatric evaluation simulations
243.56,246.0, that put applicants in non-convicts and distress situations.
246.0,253.0," Training on de-escalation procedures, which we already have in place and mentioned, have increased in the aftermath of BLM."
253.0,258.0," Basic background checks that see if an ex-gang member, for instance, is still in contact with their gang and their agency."
258.0,265.52," Notably, a lot of this already exists for non-convicts so we are supporting a continuation of data second"
265.52,270.0, when individuals are new to the job and this also applies to non-convicts too they're likely going
270.0,274.72, to be put in low risk and low tier jobs such as community outreach divisions or being a patrol
274.72,279.6, or regular beat cop until they get promoted b cops are also often paired with senior officers
279.6,284.0, for instance so in our world there's already effectively a probationary period that screens
284.0,287.28," for things like bad behavior violent violent tendencies, and various reactions."
287.68,299.88," Thirdly and finally, in terms of the people who are likely to apply, we think it will and largely be lower level criminals who engaged in crimes of accusation and nonviolent crime, largely because A, statistically, this is the vast majority of crime."
