start,end,speaker
2.75,12.81,SPEAKER_00
15.27,19.66,SPEAKER_07
22.19,188.05,SPEAKER_07
188.52,194.14,SPEAKER_07
195.06,195.07,SPEAKER_07
195.07,204.54,SPEAKER_06
205.2,205.21,SPEAKER_06
205.21,364.73,SPEAKER_07
219.63,219.81,SPEAKER_00
365.43,511.02,SPEAKER_07
511.02,513.13,SPEAKER_04
517.98,524.25,SPEAKER_04
549.68,551.56,SPEAKER_04
551.56,551.57,SPEAKER_03
552.86,553.02,SPEAKER_04
553.02,553.23,SPEAKER_03
554.59,690.98,SPEAKER_03
690.29,690.86,SPEAKER_00
691.1,818.6,SPEAKER_03
752.84,753.28,SPEAKER_00
818.84,888.7,SPEAKER_03
889.23,893.92,SPEAKER_03
894.57,903.28,SPEAKER_07
903.92,1050.97,SPEAKER_03
1050.97,1051.83,SPEAKER_04
1051.83,1051.85,SPEAKER_03
1058.11,1060.46,SPEAKER_04
1060.46,1060.62,SPEAKER_00
1060.62,1065.13,SPEAKER_04
1077.69,1077.7,SPEAKER_04
1077.7,1085.97,SPEAKER_02
1085.97,1085.99,SPEAKER_01
1086.68,1086.88,SPEAKER_04
1088.5,1088.52,SPEAKER_02
1088.52,1138.87,SPEAKER_01
1139.04,1150.97,SPEAKER_01
1150.97,1152.75,SPEAKER_02
1154.75,1168.61,SPEAKER_06
1169.43,1355.55,SPEAKER_01
1355.87,1416.99,SPEAKER_01
1417.21,1482.67,SPEAKER_01
1483.09,1488.14,SPEAKER_01
1488.54,1587.97,SPEAKER_01
1587.97,1588.47,SPEAKER_04
1588.47,1588.49,SPEAKER_01
1595.92,1601.89,SPEAKER_04
1637.43,1639.35,SPEAKER_04
1641.28,1641.77,SPEAKER_04
1643.18,1643.55,SPEAKER_04
1645.06,1647.87,SPEAKER_04
1648.63,1648.65,SPEAKER_04
1666.23,1667.97,SPEAKER_04
1667.97,1702.28,SPEAKER_05
1702.35,1874.4,SPEAKER_05
1814.75,1815.33,SPEAKER_00
1848.23,1848.84,SPEAKER_04
1874.62,2024.91,SPEAKER_05
1938.8,1939.15,SPEAKER_00
2025.59,2038.11,SPEAKER_01
2036.78,2038.35,SPEAKER_05
2038.9,2167.71,SPEAKER_05
2171.54,2176.55,SPEAKER_04
2181.8,2182.47,SPEAKER_04
2182.8,2185.26,SPEAKER_04
2187.35,2188.03,SPEAKER_04
2199.13,2201.97,SPEAKER_04
2201.97,2213.22,SPEAKER_08
2213.69,2502.19,SPEAKER_08
2502.83,2521.16,SPEAKER_08
2521.39,2561.45,SPEAKER_08
2561.89,2570.09,SPEAKER_05
2566.18,2566.33,SPEAKER_08
2570.55,2586.16,SPEAKER_08
2586.45,2693.03,SPEAKER_08
2693.03,2695.2,SPEAKER_04
2702.26,2703.03,SPEAKER_04
2703.03,2708.37,SPEAKER_00
2708.37,2708.89,SPEAKER_04
2711.73,2713.46,SPEAKER_04
2719.07,2719.08,SPEAKER_06
2719.08,2720.97,SPEAKER_04
2720.97,2853.49,SPEAKER_06
2854.07,2857.8,SPEAKER_06
2858.03,2900.88,SPEAKER_06
2901.06,3000.46,SPEAKER_06
2929.92,2930.63,SPEAKER_04
3001.18,3018.97,SPEAKER_01
3019.09,3095.72,SPEAKER_06
3096.1,3214.03,SPEAKER_06
3120.24,3120.71,SPEAKER_08
3214.03,3216.2,SPEAKER_04
3222.13,3228.05,SPEAKER_04
3248.65,3250.71,SPEAKER_04
3251.67,3253.29,SPEAKER_04
3253.29,3253.31,SPEAKER_03
3255.07,3255.83,SPEAKER_03
3257.11,3443.24,SPEAKER_03
3443.59,3508.97,SPEAKER_03
3508.97,3510.27,SPEAKER_04
3514.91,3517.03,SPEAKER_04
3517.03,3520.49,SPEAKER_00
3521.57,3523.73,SPEAKER_02
3524.75,3524.97,SPEAKER_02
3524.97,3527.4,SPEAKER_04
3531.72,3532.96,SPEAKER_04
3532.96,3541.49,SPEAKER_01
3541.64,3681.4,SPEAKER_01
3682.88,3788.97,SPEAKER_01
3707.91,3708.18,SPEAKER_00
3788.97,3790.63,SPEAKER_02
3794.1,3800.97,SPEAKER_04
