start,end,text
0.0,7.72, So the motion before this house is this house would allow ex-convicts to apply to join the workforce.
8.24,12.22," And with that, I invite the first speaker of the proposition to open the case for the government side."
12.22,19.46," Hi, just another reminder, I'd prefer POIs in the chat, please. Thank you."
21.68,27.58, For too long have vulnerable communities been terrorized by the police. The murders of George
27.58,32.96," Floyd, Breonna Taylor, and many others have shown the depth of this issue. There is a fundamental"
32.96,38.34, disconnect between the communities that the officers have sworn to protect and the officers
38.34,43.18, themselves. It is time to bridge that gap and get a constructive police force that can actually
43.18,50.5," solve crime rather than perpetuate it. Before I move into some points of framing, what is our model? Note that this motion"
50.5,55.58, is simply about allowing ex-convicts to apply. What this means is that they will still go through
55.58,59.44," an application process. This looks like, for instance, having to meet general requirements,"
59.68,63.52," whether that be physical, whether that be about your education background or a psychological"
63.52,68.68, evaluation or just extra background checks in general. This also means you're likely to go through an interview
68.68,73.32, to see your character. So if you're someone who was convicted of racist hate crimes and your
73.32,76.9," general attitude hasn't changed, we think you probably still wouldn't be desirable for the"
76.9,81.72," police force. Secondly, who do we think is going to apply under this motion? We tell you for the"
81.72,88.22," most heinous crimes, think of, for instance, mass murder, your sentence is likely to be too long to the point in which by the time you've served your"
88.22,93.58," sentence, you're probably too old to apply to be part of the police force. Thus, we think it is"
93.58,97.62," generally ex-convicts who probably committed less serious crimes. This looks like for instance,"
97.88,102.98, petty theft or drug-related crimes in which they still have a lot of time after they've gone out
102.98,105.74," of jail. The third point of framing,"
106.06,110.28," why do we think convicts will apply? We tell you this is for two reasons. Firstly, in the status"
110.28,115.1," quo, as an ex-convict, you already have limited options once you've served time, largely due to"
115.1,120.42," social stigma. But secondly, we tell you as an ex-convict, you have incentives to probably want"
120.42,124.16," to help individuals within your community. For instance, it could be kids from your neighborhood"
124.16,126.76," or others who went to high school with you, so we think that there's general"
126.76,131.4," incentives for ex-convicts to want to apply. Before I move into our argumentation, I want to"
131.4,136.92," push two points of framing. Firstly, as side proposition, we believe in the principles of"
136.92,141.64," rehabilitation, that once individuals have paid their debts to society, whether that is through"
141.64,149.86," serving time in prison or facing other consequences, we don't think you should be further punished. The status quo is one in which ex-convicts are still punished"
149.86,154.36," even after they serve their time. We think that is simply unjust. But secondly, we think another"
154.36,159.04, problem with the status quo is that there's just a large disconnect between the police force and
159.04,163.16, the most disenfranchised communities. This tends to look like the most vulnerable communities to
163.16,167.52," committing crimes. This looks like, for instance, more impoverished neighborhoods and what we see happening"
167.52,173.12, is police who tend to implement aggressive and demeaning tactics this looks like racial profiling
173.12,177.84, the whole concept of stop and frisk where you search people you deem as suspicious usually
177.84,182.72, those individuals of color and honest and in general just being demeaning and aggressive in
182.72,185.36, your behaviors talking to individuals within
185.36,190.92, these communities in a condescending manner we tell you that is the problem we as proposition
190.92,197.64, aim to address before i move on i'll take a point on your side of the house ex-convicts are not only
197.64,201.66, just people that have committed a crime but have gone to prison for that crime these are not petty
201.66,210.04," crimes they have to be decently violent in most states. Look, I don't think this is true. In the status quo, oftentimes you likely overpunish someone."
210.26,214.28, You see oftentimes people who have committed drug-related crimes who end up going to prison
214.28,219.68," for way too long. We think that's just, we think your framing is not related to the reality. Okay,"
219.98,224.76," in our speech then, why do we think ex-convicts have valuable contributions to the police force?"
225.08,228.18," Firstly, what are the unique experiences of ex-convicts?"
228.28,229.58, We tell you there are three things here.
229.88,233.9," Firstly, they are more knowledgeable about the reasons why people commit crimes."
234.1,236.7, They have been put in a position where they had to commit crimes.
236.7,243.56," For example, as an individual who grew up impoverished, who are then forced to, for instance, deal drugs within your neighborhood,"
243.76,249.1, you're more likely to understand the psychological reasoning behind why one individual do that.
249.44,254.16," Secondly, we see oftentimes ex-convicts already come from high crime areas where communities are"
254.16,259.54, systematically disenfranchised and disproportionately targeted by police. What this means is they're
259.54,263.68, likely familiar with people already within the neighborhood. They understand the relationships
263.68,269.96," within these communities. Thirdly, we see convict what is what it's like to be on the other side of"
269.96,274.4, the law they've been in a position where they've been labeled as outcasts of society they've been
274.4,278.84, deemed evil by the public they've been told they don't deserve second chances where any last shred
278.84,283.82, of dignity has been destroyed we tell you these people fundamentally understand the mindsets of
283.82,288.04, criminals then why do we think then these skills are lacking in the average police officer?
288.26,289.82, We tell you there are three reasons to this.
290.12,298.52," Firstly, the average police officer have these work incentives to get as many convictions as possible, for instance, for promotion, because they want to get to a higher level."
298.9,302.02," Secondly, we tell you oftentimes there exists a toxic police culture."
302.26,309.02," This is the idea of being as tough on crime as possible. Look at, for instance, in the United States, where you have incarceration rates that continue to grow"
309.02,314.46," like almost exponentially. Thirdly, we tell you due to the current disconnect, as we've established"
314.46,319.0," in a problem push, you're just unlikely to be able to relate to committing a crime or what it's like"
319.0,323.46," to be a criminal to be put in that position. What this means is that for the average police officer,"
323.46,330.82," there is a massive disconnect, but also large incentives for you to treat the average person in a terrible manner."
331.16,335.62, Why do we think then that ex-convicts have very valuable skills? We tell you this is for three
335.62,340.36," reasons. Firstly, they're likely to be more empathetic. Note that even if there is a toxic"
340.36,348.4," police culture, the fact that you have different experiences from these other police means that you're less likely to buy into that toxic police culture this means you're less likely"
348.4,353.92, to charge someone with a small crime this means that you're more likely to be able to approach
353.92,358.32, people with an understanding instead of directly blaming them note that this is what allows for
358.32,363.2, more constructive solutions this is what changes in the tone on how you talk to individuals or
363.2,366.46, even how you treat individuals and such.
366.84,369.0," Secondly, we tell you you're more likely to have insider information."
