start,end,speaker
0.03,1.45,SPEAKER_00
3.09,14.05,SPEAKER_00
14.83,17.67,SPEAKER_00
17.8,19.67,SPEAKER_00
20.65,39.77,SPEAKER_00
41.36,62.67,SPEAKER_00
63.14,86.45,SPEAKER_00
87.54,98.6,SPEAKER_00
99.71,104.91,SPEAKER_00
105.62,127.37,SPEAKER_00
128.21,129.06,SPEAKER_00
129.38,129.93,SPEAKER_06
130.59,131.37,SPEAKER_00
132.11,143.79,SPEAKER_06
144.94,169.07,SPEAKER_00
169.74,211.24,SPEAKER_00
203.76,204.32,SPEAKER_04
211.66,257.29,SPEAKER_00
258.4,269.76,SPEAKER_02
270.94,296.36,SPEAKER_00
297.12,302.77,SPEAKER_00
302.87,337.8,SPEAKER_00
338.09,341.11,SPEAKER_00
341.36,352.13,SPEAKER_00
352.36,370.29,SPEAKER_00
370.88,390.48,SPEAKER_00
390.62,394.94,SPEAKER_00
395.34,407.11,SPEAKER_00
407.75,422.11,SPEAKER_00
428.71,432.52,SPEAKER_03
457.88,459.1,SPEAKER_04
459.1,459.12,SPEAKER_01
461.07,461.65,SPEAKER_04
462.24,462.25,SPEAKER_04
462.25,462.27,SPEAKER_01
462.27,462.29,SPEAKER_04
462.29,462.52,SPEAKER_01
463.03,463.06,SPEAKER_01
463.06,463.32,SPEAKER_04
463.32,467.23,SPEAKER_01
469.29,577.51,SPEAKER_01
576.8,577.83,SPEAKER_07
578.07,765.97,SPEAKER_01
659.2,659.4,SPEAKER_00
765.97,767.05,SPEAKER_04
770.88,773.02,SPEAKER_04
772.23,772.48,SPEAKER_01
773.02,774.49,SPEAKER_01
776.28,786.64,SPEAKER_07
786.74,787.57,SPEAKER_07
786.81,870.04,SPEAKER_01
870.24,965.62,SPEAKER_01
968.5,970.97,SPEAKER_03
970.97,972.69,SPEAKER_04
988.65,988.99,SPEAKER_04
1016.06,1018.39,SPEAKER_07
1018.83,1024.28,SPEAKER_07
1025.05,1053.72,SPEAKER_07
1054.03,1070.11,SPEAKER_07
1070.83,1074.04,SPEAKER_07
1074.92,1122.34,SPEAKER_07
1122.91,1128.8,SPEAKER_07
1129.61,1150.96,SPEAKER_07
1151.63,1166.08,SPEAKER_07
1167.11,1178.24,SPEAKER_07
1179.07,1197.62,SPEAKER_07
1198.68,1201.99,SPEAKER_07
1202.22,1207.67,SPEAKER_07
1207.64,1207.88,SPEAKER_04
1207.88,1213.09,SPEAKER_07
1213.83,1235.57,SPEAKER_07
1236.16,1242.84,SPEAKER_07
1243.38,1247.19,SPEAKER_07
1247.99,1282.99,SPEAKER_07
1283.64,1293.06,SPEAKER_07
1293.8,1312.23,SPEAKER_07
1312.37,1319.08,SPEAKER_07
1319.76,1375.75,SPEAKER_07
1376.24,1415.96,SPEAKER_07
1416.91,1425.29,SPEAKER_01
1426.53,1442.34,SPEAKER_07
1442.96,1453.02,SPEAKER_07
1453.58,1500.15,SPEAKER_07
1455.92,1456.02,SPEAKER_00
1500.66,1514.04,SPEAKER_07
1514.04,1515.96,SPEAKER_04
1515.96,1515.98,SPEAKER_07
