start,end,text
0.0,7.6," industrial unions are better for unions' rights, workers' rights, and within this I'm going to be"
7.6,13.84, using the sub-point of why workplace unions are less effective for the representation of workers.
14.7,19.02," But before I define what these industrial unions would look like, let our stance to the opposition"
19.02,24.6," be clear. We do not deny that both workplace and industrial unions cannot exist together,"
24.7,28.0, and we do believe that both of them are important for the workforce.
28.0,46.0," However, fundamentally, we will explain to you why industrial unions can create industry-wide change, and this makes mass political action easier, and therefore industrial unions would be more preferable. So a workplace union is a union that only involves the workers of one specific company."
46.0,53.0, And so these unions would then therefore tend to focus on directly negotiating with the management of that individual company.
53.0,63.0," And later in my speech, I'm going to highlight how this in itself is problematic for the wellbeing of the workers and how it's less effective in implementing change for them."
63.0,66.08," And by contrast, an industrial union is a union"
66.08,72.24, with workers from the entire industry. And industrial unions more often will try and focus
72.24,77.12," on trying to implement industry-wide standards for workers' rights, rather than just negotiating"
77.12,83.28, with individual companies. And it's this meaningful mass change that truly positively affects the
83.28,85.78," lives of workers, and this is why we find it more"
85.78,91.52, preferable. A burden of proof in this debate is that we will prove to you that industrial unions
91.52,96.84, are more effective in protecting the rights of workers and overall improving the efficiency
96.84,103.28, of the industry as a whole. And so this leads me on to our argument on why industrial unions are
103.28,105.72, better for the rights of workers.
105.72,111.5," So to provide a mechanism for the workplace union, we think that it works by having the"
111.5,114.18," workers, like I said, negotiate with a company."
114.18,120.9," But ultimately with this mechanism, it's the management making the decisions, not the workers."
120.9,128.0, We find this detrimental as it inhibits the abilities for workers to deal with the issues that they find.
128.0,132.0," Sorry, was that a point? Yes. I'll take your point."
132.0,139.0," On your side of the house, there is still a collective bargaining aspect where leadership of the union is directly negotiating with companies,"
139.0,146.8, but they're directly negotiating with every company at once how is this more effective well we we find that the fact that
146.8,152.16, they're negotiating with the um the whole industry as a whole we find it we find it like more
152.16,157.92, preferable because we'd see industry change rather than if you're just negotiating with a specific
157.92,166.1, management position you might be implementing change for a smaller group whereas what we find more preferable is change for entire
166.1,173.84, industry which is more impactful and so we find it detrimental in workplace unions for the workers
173.84,178.3, to deal with the issues just with their management and achieve rights for the following reasons.
178.92,184.52, The first is that workers are still working for a company and therefore would might be hesitant in
184.52,185.36, bringing up ideas
185.36,190.42, and complaints because at the end of the day their earnings depend on the company and their bosses
190.42,196.38, so we find it less them less likely to bring up their concerns or issues as we believe that
196.38,203.8," this industrial change is more effective to implement for the rights of workers. Two, we see"
203.8,206.52," a conflict, I'll take your point in at the end of"
206.52,212.32," this argument, we see a conflict of interest between the managers and workers. Their rights"
212.32,217.36, clash with the policies of the company so we might see bias that is much less present with
217.36,222.56, industrial unions which overall provide a fairer solution to representing workers' rights.
223.3,226.76," Also three, it's unclear what the checks and balances are"
227.82,230.5, with workplace unions to ensure that the company
230.5,232.3, actually listens to the rights of workers.
232.3,235.0," Whereas in industrial change, we see change"
235.0,237.02, that is more likely to be implemented
237.02,239.36, for the rights of most workers.
239.36,243.3," And four, we see conflict between companies' objectives"
243.3,244.7," and the workplace unions,"
244.7,250.28, because companies will want profits and therefore we believe that wages will might will be less likely to arise.
250.88,257.16, And therefore we think it's less likely for the rights of workers to be achieved under their side and I'll take your point now quickly.
258.02,269.68," If a worker is so scared of their employers that they're not going to create a workplace union, what incentive do have to unionize against the entire industry which includes the company that they are so afraid of"
270.8,274.32, well um this is actually going to lead into my related point but we think that when you're
274.32,279.92, tackling a whole uh industry as a whole different factions of the entire industry could come
279.92,283.52, together and therefore they can implement meaningful change together it's that sense
283.52,289.1, of togetherness that is really um that provides workers with confidence to tackle um the industry
289.1,294.62, as a whole rather than just trying uh trying to defeat this their objective um through the company
294.62,300.54, as on their own basically on the flip side to provide a mechanism for industrial unions and
300.54,308.66," why they're more preferable on us out of the house. There are lots of different sectors within a company. So we see workers, cleaners and many different people."
308.98,312.8," And they belong to different industries, but they exclusively have different problems."
313.56,318.48," The issues that can arise from this, if they're blended together, are significant."
318.6,319.46, I'll explain this now.
320.06,324.04, Industrial unions are better set up to deal with the issues of the workers.
324.86,329.76," In a workplace union, specific areas of the job make up a minority, so it's unlikely"
329.76,333.52," that issues may be taken seriously due to limited resources of workplace unions,"
333.52,337.52, and it's more efficient for them to focus on the majority within a company.
338.16,340.8, We find it preferable that industrial unions represent all.
341.44,345.48," Within industrial unions, no thank you, they create forums for specific minorities"
345.48,349.84," within an industry, like I said, to unite under different factions so they have a stronger voice"
349.84,353.92, and make it more likely for issues to be dealt with. And this actually pressures the government
353.92,359.54, to make change because any disruption within the industry is important to the government as it
359.54,363.84, could cause economic disruptions and therefore the government has an incentive to intervene
363.84,369.28, to act in the best interest of the individuals and the economy so it's more likely that the government will listen
369.28,374.08, to these issues and additionally the government versus company we're going to additionally with
374.08,378.96, the government versus the company we see um we're going to explain who's the better actor to
378.96,383.92, initiate change it's the obligation of the government to incentivize to protect its citizens
383.92,387.04, um as this has positive feedback connection with trade unions.
387.12,392.7, So it's more likely to enact change and also personally detached from the workers.
392.84,399.34," So it will not be held back by biases. And this versus the company who is more likely to be profit orientated,"
399.62,403.68," whilst workers are the core of the company, it's ultimately the incentive to make more money."
403.9,410.14, And so it's more likely for conflicts of interest to occur between companies so therefore industrial unions as a
410.14,415.24, whole provide a more weighed balance to implement meaningful change that positively affects the
415.24,458.9," lives of the workforce and this in itself provides a more sustainable future for Industries as a whole. Proud to propose. Thank you. Thank you, Speaker, for the five remarks. I now invite the first speaker from side opposition. All right. Am I audible?"
460.82,461.56," Yes, you are."
462.14,467.14," Okay, perfect. And I prefer my POIs to be verbal. So if you can unmute yourself, that would be great."
468.86,485.3," The claim coming from Proposition 1 was incredibly simplistic. It seemed like their team line was just like teamwork makes the dream work. And if there's industrial change, then we're going to solve all issues that workers face. The biggest problem with their side is that they neglect the fact that workers have"
485.3,489.46," very different interests, very different grievances, and work in companies that have"
489.46,494.86," completely different conditions. They never proved to us how in a industry that was so different,"
495.16,498.82," how they were going to get collective change together. Instead, what was likely to happen"
498.82,502.92, on their side of the house is that you got diluted change and change that only occurred
502.92,508.7," at the least common denominator. They never provide you a single reason why they get unity on their side of the house,"
508.8,513.9, as opposed to fragmentation. We argue that workplace unions are going to be far more
513.9,518.58, representative and meet the direct needs that people ask for themselves. That's why we're so
518.58,523.8, far ahead on side opposition. I'm going to forward two substantive arguments for side
523.8,528.66," opposition, but before that, some framing and then rebuttal. First, on the level of framing, I think we largely"
528.66,532.5," agree with side proposition's framing that on our side of the house, there's less emphasis on"
532.5,536.76," industry-wide unions, and there's more smaller unions that exist at a company-based level."
536.92,541.0," But I want them to clarify in their next speech what industrial-level change actually means,"
541.14,548.74, because their entire case is very unclear. What kind of change occurs? Are they lobbying the government for legislative change or are they working with different companies? I
548.74,553.28, think side proposition needs to clarify this. I can clarify this for themselves because at the
553.28,557.2," end of the day, what they need on their side of the house is still for management and CEOs of"
557.2,561.38, companies still abide in the changes that occur across the industry. That's something that they
561.38,568.2, need to clarify. Moving on to some responses to their arguments. They make a couple points. The first argument that they make is that people are less
