start,end,speaker
0.47,1.43,SPEAKER_01
1.87,3.91,SPEAKER_01
4.44,6.04,SPEAKER_01
6.04,7.89,SPEAKER_02
21.34,22.02,SPEAKER_02
22.02,22.04,SPEAKER_03
23.79,24.97,SPEAKER_02
23.91,24.6,SPEAKER_03
24.97,25.02,SPEAKER_03
25.02,25.36,SPEAKER_02
25.36,25.38,SPEAKER_03
26.96,28.11,SPEAKER_03
28.11,28.13,SPEAKER_02
32.63,34.03,SPEAKER_03
34.03,75.56,SPEAKER_06
76.05,208.18,SPEAKER_06
164.31,164.82,SPEAKER_00
208.64,254.03,SPEAKER_06
251.08,251.67,SPEAKER_00
254.56,294.36,SPEAKER_06
294.38,316.52,SPEAKER_06
316.69,345.46,SPEAKER_06
345.82,428.45,SPEAKER_06
428.67,437.73,SPEAKER_06
439.88,439.89,SPEAKER_00
439.89,454.42,SPEAKER_05
455.12,524.57,SPEAKER_06
524.81,533.03,SPEAKER_06
533.03,535.39,SPEAKER_03
535.39,535.41,SPEAKER_06
539.05,540.59,SPEAKER_02
540.59,540.72,SPEAKER_01
540.72,542.78,SPEAKER_02
553.53,554.76,SPEAKER_02
558.96,559.23,SPEAKER_02
559.27,559.59,SPEAKER_02
565.04,566.05,SPEAKER_02
566.31,566.86,SPEAKER_02
567.03,593.07,SPEAKER_08
593.15,601.93,SPEAKER_08
602.43,664.64,SPEAKER_08
607.89,608.12,SPEAKER_00
665.06,759.47,SPEAKER_08
752.59,752.67,SPEAKER_00
752.67,752.72,SPEAKER_02
752.72,752.93,SPEAKER_00
759.76,868.91,SPEAKER_08
831.7,832.19,SPEAKER_00
870.24,883.49,SPEAKER_06
883.1,1011.64,SPEAKER_08
897.14,897.63,SPEAKER_00
1011.79,1055.04,SPEAKER_08
1055.04,1056.36,SPEAKER_02
1062.4,1066.62,SPEAKER_02
1081.67,1083.27,SPEAKER_02
1083.27,1083.29,SPEAKER_03
1084.52,1084.54,SPEAKER_02
1084.54,1085.21,SPEAKER_03
1086.27,1100.8,SPEAKER_07
1101.09,1159.04,SPEAKER_07
1159.23,1197.73,SPEAKER_07
1198.14,1249.79,SPEAKER_07
1252.61,1304.06,SPEAKER_07
1304.47,1346.77,SPEAKER_07
1347.33,1473.94,SPEAKER_07
1474.01,1481.98,SPEAKER_07
1482.7,1491.85,SPEAKER_08
1492.68,1587.02,SPEAKER_07
1587.02,1589.47,SPEAKER_03
1594.41,1595.04,SPEAKER_02
1595.04,1598.35,SPEAKER_01
1599.56,1600.68,SPEAKER_00
1602.24,1602.78,SPEAKER_01
1603.54,1607.8,SPEAKER_00
1613.28,1613.38,SPEAKER_00
1614.48,1614.97,SPEAKER_00
1614.97,1615.54,SPEAKER_05
1615.54,1615.56,SPEAKER_00
1616.23,1637.43,SPEAKER_05
1637.88,1641.36,SPEAKER_05
1641.56,1646.66,SPEAKER_05
1646.85,1663.13,SPEAKER_05
1663.53,1690.91,SPEAKER_05
1669.2,1669.78,SPEAKER_00
1691.33,1748.77,SPEAKER_05
