start,end,speaker
0.4,1.2,SPEAKER_01
2.63,7.68,SPEAKER_01
7.71,9.8,SPEAKER_01
10.31,13.18,SPEAKER_01
16.99,19.22,SPEAKER_02
23.01,26.63,SPEAKER_07
26.86,27.3,SPEAKER_07
31.4,32.53,SPEAKER_02
32.9,34.03,SPEAKER_02
34.03,35.87,SPEAKER_04
36.35,41.12,SPEAKER_04
42.13,42.15,SPEAKER_04
42.15,43.4,SPEAKER_01
44.55,51.55,SPEAKER_01
51.55,51.57,SPEAKER_02
56.04,57.34,SPEAKER_02
58.28,59.92,SPEAKER_02
60.41,62.11,SPEAKER_02
67.55,68.22,SPEAKER_02
70.48,70.5,SPEAKER_02
70.5,75.68,SPEAKER_04
76.96,76.98,SPEAKER_04
78.03,80.27,SPEAKER_00
80.27,80.29,SPEAKER_10
81.27,83.97,SPEAKER_04
83.97,84.05,SPEAKER_09
84.05,84.07,SPEAKER_04
85.82,93.65,SPEAKER_01
94.08,94.63,SPEAKER_01
95.0,98.8,SPEAKER_01
98.92,101.31,SPEAKER_01
101.58,102.97,SPEAKER_01
102.97,103.15,SPEAKER_02
112.25,113.03,SPEAKER_02
119.13,120.32,SPEAKER_02
129.88,130.04,SPEAKER_02
130.04,138.46,SPEAKER_04
138.9,147.06,SPEAKER_04
144.68,146.0,SPEAKER_00
147.08,148.45,SPEAKER_04
148.6,170.97,SPEAKER_04
152.8,152.99,SPEAKER_00
171.4,175.16,SPEAKER_04
175.41,185.82,SPEAKER_04
186.13,226.31,SPEAKER_04
186.35,186.65,SPEAKER_00
215.09,215.1,SPEAKER_06
215.1,215.51,SPEAKER_02
226.65,256.01,SPEAKER_04
256.23,279.68,SPEAKER_04
279.89,306.55,SPEAKER_04
283.01,283.09,SPEAKER_06
283.09,283.23,SPEAKER_00
306.99,307.85,SPEAKER_04
308.39,328.98,SPEAKER_04
329.18,343.13,SPEAKER_04
343.22,358.24,SPEAKER_04
344.42,344.52,SPEAKER_09
359.06,375.69,SPEAKER_04
363.7,363.84,SPEAKER_06
366.72,367.11,SPEAKER_00
373.47,373.73,SPEAKER_00
375.9,411.11,SPEAKER_04
413.97,471.6,SPEAKER_04
428.57,428.98,SPEAKER_07
465.97,466.41,SPEAKER_06
471.74,621.77,SPEAKER_04
621.77,621.82,SPEAKER_02
622.03,622.06,SPEAKER_04
622.06,623.93,SPEAKER_02
630.51,634.11,SPEAKER_02
655.98,657.03,SPEAKER_02
657.03,657.68,SPEAKER_04
659.34,662.93,SPEAKER_04
664.55,707.14,SPEAKER_04
707.35,788.28,SPEAKER_04
733.28,733.33,SPEAKER_06
733.33,733.6,SPEAKER_00
788.58,960.94,SPEAKER_04
913.54,913.73,SPEAKER_07
961.84,1039.83,SPEAKER_04
1040.07,1114.47,SPEAKER_04
1114.88,1160.96,SPEAKER_04
1160.96,1161.5,SPEAKER_02
1165.6,1165.98,SPEAKER_10
1165.98,1169.28,SPEAKER_02
1176.59,1179.36,SPEAKER_02
1180.02,1180.03,SPEAKER_01
1180.03,1180.4,SPEAKER_02
1180.4,1180.42,SPEAKER_01
1181.1,1191.93,SPEAKER_10
1187.71,1188.45,SPEAKER_02
1191.93,1191.96,SPEAKER_02
1196.77,1203.12,SPEAKER_08
1204.3,1204.32,SPEAKER_10
1204.33,1205.34,SPEAKER_10
1209.68,1214.07,SPEAKER_02
1219.71,1223.69,SPEAKER_02
1231.1,1231.11,SPEAKER_02
1231.11,1243.48,SPEAKER_05
1239.38,1239.69,SPEAKER_06
1243.79,1248.22,SPEAKER_05
1248.38,1265.17,SPEAKER_05
1265.45,1279.68,SPEAKER_05
1267.14,1267.58,SPEAKER_06
1273.32,1273.44,SPEAKER_10
1279.97,1292.4,SPEAKER_05
1292.72,1294.24,SPEAKER_05
1294.41,1356.31,SPEAKER_05
1335.54,1335.94,SPEAKER_00
1349.85,1349.96,SPEAKER_10
1349.96,1350.03,SPEAKER_00
1352.78,1353.12,SPEAKER_02
1356.41,1375.6,SPEAKER_05
1375.83,1383.21,SPEAKER_05
1376.68,1376.76,SPEAKER_06
1383.39,1414.04,SPEAKER_05
1393.42,1393.45,SPEAKER_10
1399.74,1400.03,SPEAKER_10
1414.41,1465.69,SPEAKER_05
1425.01,1425.12,SPEAKER_00
1425.83,1426.58,SPEAKER_00
1426.81,1427.47,SPEAKER_00
1465.86,1494.06,SPEAKER_05
1494.45,1539.76,SPEAKER_05
1540.26,1551.59,SPEAKER_05
1551.81,1595.24,SPEAKER_05
1562.03,1562.22,SPEAKER_02
