start,end,text
0.0,2.0," Okay, let's begin with introductions."
2.0,4.0," Yeah, let's begin with introductions."
4.0,6.0," Hello everyone, my name is Abhishek. I'll be your chair for this round."
6.0,10.0," Preferred to pronounce he, they'll prefer if you refer the panel as a collective."
10.0,16.0, I'll now ask my panelists to introduce themselves and order listed in tab.
16.0,22.0," Hi, I'm Alexander. They, them."
22.0,37.16," Yep. Hi everyone. I am Dilla. Samuel Kudusi, I'm the panelist for this round."
37.16,42.24," My personal preference is he, him, they, them, but I prefer to refer to the panel as a whole."
42.24,44.16," That's it, good luck for the round."
44.16,46.32," Sure, that's it good luck for the round sure uh that's wonderful uh"
46.32,50.32, i now i now invite the teams to introduce themselves and state the speaker orders
50.32,51.44, sudden side proposition
55.92,67.24," might as well first he may my speaking second number five next speaking third, he, him, please."
68.1,70.36, And team up.
75.56,78.24," Hello, my name is Vinayak Menon. Pronouns are he, him. I'm going to be giving the one and the reply."
80.08,81.18," Hi, I'm Abby. I'm the two."
94.0,134.8," Hi everyone, I'm Miles. PronounsE-M. I'll be doing the three. It's wonderful. Some housekeeping before we begin. Please time yourself. Okay, we have a volunteer here. So volunteer, you're also maintaining time. No notice beyond 8.15. B, I heavily request all teams to take POIs. They're highly encouraged. And please set your POI preference before beginning your speech. That being said and on my prime minister When Neil Parrish, an MP in England, was exposed for watching pornography in the House of Commons"
134.8,139.52," a couple of months ago, he refused to resign and vowed to stay in Parliament. If it hadn't been"
139.52,147.04," for the existence of this policy, he would have remained in power for years upon years. Democracy without this policy is hypocrisy."
147.04,148.48, Proud to propose.
148.48,149.52, How does this work?
149.52,152.64, We believe this is going to work the same way it does in the UK right now.
152.64,155.28, A recall petition can be signed by constituents.
155.28,159.12," If this petition meets a minimum significant threshold, probably around 20%,"
159.12,162.0," if it's a figure we're willing to adjust, an election is held."
162.0,165.26," The politician is allowed to stand again if they wish, and if they"
165.26,169.68," win this election, they're secure for a reasonable period of time so that the opposition party cannot"
169.68,175.0," gain this system. To be clear, we will set this rate as we currently do in the United Kingdom."
175.42,180.94," That is to say, we will achieve a good trade-off between stability and accountability. We're not"
180.94,184.8," going to replace them every single day, but we will give voters a reasonable chance to might"
184.8,186.38," push people out. When will these recalls, but we will give voters a reasonable chance to unite to push people out."
186.38,188.28, When will these recalls take place?
188.28,190.08, We think voters are reasonable people.
190.08,193.38, It's unlikely going to be when politicians legitimately change their stance because of
193.38,194.38, new situations.
194.38,196.52, We think it's going to happen in two cases.
196.52,200.74," One when new relevant information comes out about politicians, maybe for example, large"
200.74,204.3, scandals that large numbers of people in the constituency can unite against.
204.3,208.4, But also when elected officials start putting their personal interests in front of everyone else
208.4,212.88, we need to come to lobbying instead of protecting the interests for example over fulfilling
212.88,217.12, promises i want to bring two arguments first principal claim as to why we need this so thank
217.12,221.04, you for democracy second of all as to why politicians make better decisions and my partner
