start,end,speaker
0.03,0.72,SPEAKER_03
1.67,2.04,SPEAKER_03
2.44,14.04,SPEAKER_03
14.04,16.25,SPEAKER_01
20.52,23.18,SPEAKER_00
26.49,27.15,SPEAKER_06
27.59,28.04,SPEAKER_06
29.97,29.98,SPEAKER_06
29.98,66.21,SPEAKER_07
66.64,141.07,SPEAKER_07
141.48,148.8,SPEAKER_07
148.94,170.81,SPEAKER_07
170.96,219.3,SPEAKER_07
219.42,247.11,SPEAKER_07
247.77,263.11,SPEAKER_07
263.16,281.34,SPEAKER_07
282.03,331.84,SPEAKER_07
332.32,351.64,SPEAKER_07
352.74,360.35,SPEAKER_10
361.0,484.07,SPEAKER_07
484.63,526.97,SPEAKER_07
526.97,528.02,SPEAKER_00
528.02,528.03,SPEAKER_07
533.84,533.97,SPEAKER_00
533.97,535.47,SPEAKER_01
535.47,535.49,SPEAKER_00
535.81,538.65,SPEAKER_01
542.61,548.03,SPEAKER_01
548.03,548.13,SPEAKER_00
548.13,548.18,SPEAKER_01
548.18,548.2,SPEAKER_00
560.62,561.97,SPEAKER_00
561.97,565.68,SPEAKER_09
565.97,567.64,SPEAKER_09
567.94,569.09,SPEAKER_09
569.73,570.36,SPEAKER_09
570.96,571.33,SPEAKER_09
571.77,665.31,SPEAKER_09
665.67,667.5,SPEAKER_09
667.91,759.19,SPEAKER_09
759.79,776.35,SPEAKER_09
776.53,777.73,SPEAKER_09
778.0,781.14,SPEAKER_09
781.41,825.57,SPEAKER_09
826.16,881.38,SPEAKER_09
881.77,901.02,SPEAKER_09
901.46,922.1,SPEAKER_09
922.4,967.31,SPEAKER_09
969.25,978.11,SPEAKER_07
978.7,1070.02,SPEAKER_09
1070.02,1071.49,SPEAKER_00
1081.06,1082.6,SPEAKER_00
1082.9,1084.32,SPEAKER_00
1087.07,1092.47,SPEAKER_01
1103.59,1105.04,SPEAKER_00
1105.04,1106.12,SPEAKER_05
1106.47,1106.51,SPEAKER_00
1106.51,1106.54,SPEAKER_03
1106.54,1106.59,SPEAKER_00
1106.59,1107.03,SPEAKER_03
1107.03,1107.37,SPEAKER_01
1107.37,1107.57,SPEAKER_05
1108.67,1125.41,SPEAKER_05
1126.88,1137.37,SPEAKER_05
1137.64,1152.54,SPEAKER_05
1153.3,1163.04,SPEAKER_05
1163.39,1200.87,SPEAKER_05
1201.26,1208.47,SPEAKER_05
1208.65,1210.53,SPEAKER_05
1210.85,1232.87,SPEAKER_05
1233.59,1233.63,SPEAKER_05
1233.66,1243.63,SPEAKER_05
1244.09,1329.39,SPEAKER_05
1329.75,1353.1,SPEAKER_05
1353.2,1457.73,SPEAKER_05
1459.57,1466.84,SPEAKER_09
1468.39,1477.34,SPEAKER_05
1477.88,1519.86,SPEAKER_05
1520.37,1531.88,SPEAKER_05
1532.1,1594.33,SPEAKER_05
1594.55,1627.54,SPEAKER_05
1627.54,1627.93,SPEAKER_00
1627.96,1628.03,SPEAKER_00
1628.55,1628.59,SPEAKER_00
1628.59,1628.65,SPEAKER_05
1628.65,1629.11,SPEAKER_00
1641.97,1642.96,SPEAKER_00
1642.96,1643.18,SPEAKER_10
1643.18,1643.23,SPEAKER_00
1643.23,1648.72,SPEAKER_10
1649.04,1650.02,SPEAKER_03
1650.96,1651.25,SPEAKER_10
1651.25,1654.27,SPEAKER_03
1651.28,1651.32,SPEAKER_10
1654.69,1656.7,SPEAKER_03
1659.05,1660.02,SPEAKER_03
1660.02,1662.05,SPEAKER_00
1734.83,1738.21,SPEAKER_00
1744.15,1751.82,SPEAKER_04
1744.43,1744.77,SPEAKER_00
1772.38,1775.5,SPEAKER_04
1776.5,1777.22,SPEAKER_01
1792.19,1794.7,SPEAKER_04
1795.7,1796.81,SPEAKER_04
1797.91,1797.94,SPEAKER_04
1797.94,1801.23,SPEAKER_03
1798.08,1798.53,SPEAKER_04
1802.47,1805.98,SPEAKER_04
1806.74,1807.17,SPEAKER_04
1809.01,1809.71,SPEAKER_04
1810.35,1811.06,SPEAKER_04
1812.27,1812.81,SPEAKER_04
1814.04,1814.28,SPEAKER_04
1814.75,1952.74,SPEAKER_04
1953.04,2065.94,SPEAKER_04
2066.07,2102.4,SPEAKER_04
2102.47,2119.19,SPEAKER_04
2119.73,2130.94,SPEAKER_07
2132.07,2146.48,SPEAKER_04
2147.0,2170.53,SPEAKER_04
2170.78,2298.1,SPEAKER_04
2298.81,2305.04,SPEAKER_04
2305.04,2305.44,SPEAKER_00
2318.5,2321.96,SPEAKER_00
2321.96,2322.47,SPEAKER_01
2325.63,2330.92,SPEAKER_01
2335.16,2340.95,SPEAKER_06
2341.32,2345.01,SPEAKER_06
2345.01,2345.03,SPEAKER_00
2356.54,2357.01,SPEAKER_00
2359.11,2359.12,SPEAKER_00
2359.12,2362.51,SPEAKER_06
2362.95,2362.99,SPEAKER_06
2362.99,2449.89,SPEAKER_08
2450.69,2526.02,SPEAKER_08
2526.18,2580.66,SPEAKER_08
2581.42,2693.62,SPEAKER_08
2694.26,2751.97,SPEAKER_08
2751.97,2752.02,SPEAKER_06
2752.02,2752.71,SPEAKER_09
2756.85,2766.47,SPEAKER_09
2764.46,2765.46,SPEAKER_08
2765.52,2766.52,SPEAKER_08
2766.52,2766.54,SPEAKER_09
2766.54,2850.02,SPEAKER_08
2850.49,2859.97,SPEAKER_08
2859.97,2861.58,SPEAKER_00
2872.31,2875.13,SPEAKER_00
2878.7,2880.96,SPEAKER_01
2880.32,2880.51,SPEAKER_03
2880.53,2880.63,SPEAKER_03
2880.96,2882.3,SPEAKER_03
2882.3,2882.31,SPEAKER_01
2882.47,2882.48,SPEAKER_01
2882.48,2886.31,SPEAKER_03
2886.48,2888.32,SPEAKER_03
2888.56,2890.48,SPEAKER_03
2890.74,2896.08,SPEAKER_03
2896.49,2900.03,SPEAKER_03
2900.03,2901.64,SPEAKER_00
2974.99,2977.03,SPEAKER_00
2977.03,2983.53,SPEAKER_02
2987.34,2989.22,SPEAKER_02
2989.76,2990.38,SPEAKER_02
2990.67,2991.18,SPEAKER_02
2991.38,2997.81,SPEAKER_02
2997.93,3028.52,SPEAKER_02
3002.99,3003.81,SPEAKER_00
3029.16,3046.14,SPEAKER_02
3046.59,3073.68,SPEAKER_02
3074.15,3080.65,SPEAKER_02
3081.24,3082.98,SPEAKER_02
3083.53,3141.3,SPEAKER_02
3141.84,3211.53,SPEAKER_02
3211.66,3217.67,SPEAKER_02
3217.79,3289.76,SPEAKER_02
3290.34,3296.36,SPEAKER_02
3297.52,3297.59,SPEAKER_02
3297.59,3297.61,SPEAKER_08
3297.61,3297.64,SPEAKER_02
3297.64,3306.7,SPEAKER_08
3307.31,3323.63,SPEAKER_02
3324.3,3364.65,SPEAKER_02
3364.87,3406.52,SPEAKER_02
3406.86,3466.7,SPEAKER_02
3467.02,3471.93,SPEAKER_02
3472.11,3481.29,SPEAKER_02
3481.5,3486.03,SPEAKER_02
3486.03,3487.49,SPEAKER_00
3500.83,3503.03,SPEAKER_00
3503.03,3503.74,SPEAKER_01
3505.81,3510.03,SPEAKER_01
3510.03,3511.16,SPEAKER_00
