start,end,text
0.0,6.92," Now, on the motion, this House prefers a world in which post-colonial African states had"
6.92,12.4," prioritized achieving economic and land reparations over enshrining civil and political rights,"
12.4,16.24, I would like to welcome the first speaker of the proposition to open this debate.
16.24,17.24, Thank you.
17.24,24.32," When it comes to POIs, I'll just put them in the chat, please."
24.32,26.26," If everybody's ready. I'm sorry. When it comes to POIs, I just put them in the chat, please."
28.0,29.5, Everybody's ready? I'm sorry.
40.14,40.42," After the end of apartheid in 1994, it was thought that the Beers, a Dutch mining company that has done horrendous human rights violations in all of Africa, would be called to account for its crimes."
46.0,53.0," But this didn't happen, and the Beers survived untouched because of its stranglehold on the economy. It controlled 85% of companies of the Johannesburg Stock Exchange, and the new government could simply not risk an economic collapse."
53.0,62.0, This imbalance of power in terms of money and land is keeping Africa under the strong grip of neo-colonialism and keeps democracy as only a pretty word on a paper.
62.0,69.06," That's why redistribution should have been a number one priority for post-colonial Africa. Three substances which will show you why that's the case. First,"
69.06,72.48," an economic ability, second, a bargaining power on an international level, and third,"
72.48,76.74," and our second, a boundary conciliation. Before that, let's use your points of frame. First of"
76.74,80.52," all, this debate takes place in terms of post-colonial Africa, so 60s and 70s of the"
80.52,84.54," last century. In opposition's world, that's when African states have priorities ensuring"
84.54,88.24," civil and political rights, such as rights to vote or rights to protest and the mechanisms for this"
88.24,92.8," were usually either work of civil society groups or protests as such, so think protests that were"
92.8,97.2, part of the anti-apartheid movement in South Africa. Now opposition may have gotten these
97.2,101.28," rights to some extent, however most of these rights still exist solely in paper. Take for"
101.28,109.36," instance Angola's constitution that stands for freedom of protest and speech, but then their government kills protesters just like it did last year when people protested in"
109.36,116.24," the political alternatives through 45-year rule of the governing party. Now that being said,"
116.24,120.48, what is the alternative are economic and land reparations? So these are things such as land
120.48,125.28," redistribution quotas and important experts. So these are quotas and things like food and raw materials,"
125.28,128.16, experts from the colonized nations
128.16,131.44," to their ex-colonized, ex-colonized power."
131.44,133.5," And lastly, these are things such as unconditional cash"
133.5,135.32, transfer to the victims of the colonial rule.
135.32,137.16," Now, why is our alternative likely to be successful?"
137.16,138.04, Two reasons.
138.04,139.54," Firstly, it's because new national governments"
139.54,142.5, need to legitimize themselves because the popularity
142.5,144.62, and success of ruling parties is based on a narrative
144.62,150.08," taken back from the colonizers. Hence, if there is a strong preference for redistribution of capital, the"
150.08,153.68, government is highly incentivized to go through with it. The second reason why it's likely to be
153.68,157.04, successful is simply because the West has an incentive to have good relations with newly
157.04,162.16," founded countries so they can still have access to Africa's raw materials and labors, but also so"
162.16,165.54," they don't side with the USSR, with whom the West is currently"
165.54,170.38," at that time in the Cold War with. And lastly, it's likely to assume that on proposition,"
170.96,174.48," the political situation would at first stay the same. So meaning undemocratic governments,"
174.58,178.94," for instance, are in power and are unlikely to lose the next election. However, this is a trade-off"
178.94,182.48," we're willing to make because in the short term, we enable better economic stability of the people"
182.48,187.92," in Africa, but in the long run as well, we can assure them all with political rights why that's the case i'll be moving on to my first"
187.92,192.56, substantive first on the economic stability so to contextualize there are two things firstly as a
192.56,196.88, consequence of colonization when black people are often banished from their land the land is today
196.88,202.96, highly unequal redistributed among races so this looks like namibia where white people own 70 of
202.96,205.12, land second thing you have to notice is that many of
205.12,209.52," these countries' key industries are agriculture and mining resources, meaning economical branches"
209.52,214.48," directly dependent on land ownership. That being said, what are the two consequences of people not"
214.48,220.4," receiving land and money in the status quo? First, on the individual level, it's impossible to access"
220.4,224.64," social mobility because these people have no land, meaning they cannot grow their food, they cannot"
224.64,228.48," sell it, they cannot rent their land that they cannot exploit the other resources the land"
228.48,233.36, has to offer but moreover there is no social mobility because there is no money for further
233.36,238.0, higher education for these people meaning these people are generally stuck in one exploitative
238.0,243.76, job which is being a farmer on another man's land that is the sole reason 4654 african countries
243.76,245.44, are still in the bottom half of this
245.44,250.16, global social mobility index list the second consequence then on not receiving land or money
250.16,254.72, is simply on a country level of economic uncertainty and poverty this is so because the
254.72,259.44, whole economy is structured in a way that money eventually goes to the hands of the rich or white
259.44,263.92, elite because they're the only one big employer only one big landowner what is the comparative
263.92,268.4, we bring you we tell you if we had a focus first on a problem redistribution of both land and money
268.4,272.16, none of these things would happen to the same extent what would happen instead would be
272.16,276.64, redistribution of land which would enable people to have capital to achieve social mobility or with
276.64,279.92, cash transfer programs people could afford themselves with land or education and as a
279.92,284.56, result of both of these things the impact here would be economic stability because people would
284.56,287.68, have bigger purchasing power because locals would have more control over
287.68,291.58," the production of goods and their prices, and social mobility overall would be provided"
291.58,295.6, a long-term possibility for the development of secondary and tertiary sector as people
295.6,297.32, have more capital for education.
297.32,300.9, Now to preempt opposition that is going to tell you all about how important political
300.9,308.8," rights are, we agree, but we believe that access to land and money is the logical prerequisite for achieving political rights because otherwise these rights"
308.8,312.52," exist solely on paper for two reasons. First, they have some leverage in lobbying. We believe"
312.52,316.64," that since the rich elite have the most capital, they can threaten the firing workforce and"
316.64,320.74," control prices of key products. Hence, people have no real recourse in a country with such"
320.74,325.06," big economic inequality. But moreover, secondly, people may have right"
325.06,328.62," on opposition, however, they're less likely and less able to practice them if they're"
328.62,333.56," working multiple jobs or survive and don't have capital for education. So to conclude,"
333.56,338.42," if we're way on metric of logical order, on proposition would give people economic stability,"
338.42,341.62," people have their own land and education, which nobody can take away from them or use"
341.62,347.62, it to manipulate them. And only then people should and can have access to successful protests and gain their rights.
347.86,350.34," That being said, I'm going to my second substantive report."
350.56,351.48, Are there any to your wise?
352.66,357.72," Thomas Sankara, the liberation leader of Burkina Faso, was ousted in a coup initiated by France"
357.72,360.18, after trying to implement economic reparations.
360.98,366.16," OK, I can name you a few examples where there was also coups and civil wars when people"
366.16,367.5, tried to gain some rights.
367.5,371.16," We believe that on both sides of the house, there will be some certain extent to people"
371.16,373.02, being dissatisfied.
373.02,375.52, We believe that this is quite not the debate.
375.52,378.42, Second substantive bargaining power on an international level.
378.42,383.12," So during colonialism, colonized nations modeled African economies after their own needs."
383.12,388.88, So this looked like Britain forcing Ghana to massively produce their cocoa so they can export it to Britain for their beloved Cadbury
388.88,394.7, chocolate factory. And that's the reason why 60% of Ghana's exports was solely basically cocoa.
395.14,399.44," And generally, the West prevented product diversification by forcing Africa to specialize"
399.44,404.54, in producing only a few products. So this prevented local economic growth and made African
404.54,405.0," economies completely dependent on the West for any other products. Now, in opposition, only a few products, so this prevented local economic growth and made African economies"
405.0,407.68, completely dependent on the West for any other products.
407.68,412.52," Now in opposition, after colonialism, Africa prioritized ensuring political rights."
412.52,417.96, This means that all economic plans were characterized by the governments of newly independent nations
417.96,420.34, hastily taking loans from the West.
420.34,424.76," This allowed the West to impose their own conditions and structural adjustment programs,"
424.76,426.0, which is today known as neocolonialisms.
426.88,432.06," This program includes removing any obstacle to trade, privatization, devaluing their current currency, etc."
432.32,435.84, This is detrimental because this enables Western exploitation.
436.24,438.9," Firstly, with conditioned loans, so Africa stays dependent on the West."
439.16,445.46," So this looks like, for instance, Angola, which in order to get a new loan, the imf conditioned it to sell 195 of their own"
445.46,449.86, businesses including their old company and their diamond firm but moreover this looks like with
449.86,454.72, flooding african markets with cheap products and ruining the local economies which for instance
454.72,460.38, looks like europe that has successfully ruined south africa south africa's poultry market by
460.38,464.6, selling meat for 30 cheaper than the price of local farmers what is the comparative that we
464.6,465.0, bring again?
465.28,468.7," We tell that on proposition, Africa could develop their own economy"
468.7,471.82," because people would have their own land to farm and they can sell their crops,"
472.2,475.34, lessening their dependence on West and giving them more bargaining power.
475.84,479.66," Moreover, due to quotas on imports, they would have more power over the food prices"
479.66,481.64, and they wouldn't allow Western market flooding.
481.98,483.86, So what is the overall impact of this substantive?
484.56,486.28," Firstly, it's more bargaining power"
486.28,488.06, in international institutions
488.06,490.96," because they aren't as dependent on foreign commodities,"
490.96,493.28," nor Western corporations creating jobs for them anymore,"
493.28,494.54, so they can bargain more
494.54,496.92, in terms of setting their own tariffs and trade conditions.
496.92,498.78," But moreover, there would be significant"
498.78,500.16, product diversification
500.16,502.18, as people are able to make money off of their own land
502.18,504.18," or with the help of cash transfers,"
504.18,508.72, more local businesses would be popping up that the IMf could no longer condition to shut down and would grow
508.72,512.88, with the purchasing power these businesses would grow so all in all but i want you to remember from
512.88,517.28, my speech we firstly have to give these people land and some money we have to give them economic
517.28,522.64, stability we can have to give them some bargaining power so neocolonialism doesn't happen and that's
522.64,527.84, when we can actually have maybe some rights but but after so proud to stand on side proposition.
533.6,537.36," All right, I thank the speaker for that speech. Can I check if the panel is ready?"
537.36,538.56," If you are, just give a thumbs up."
542.4,550.0," All right, to open this debate for the opposition, can we have the first speaker of the opposition?"
550.0,571.0," Okay, just a reminder, my pronouns are she, her, and I would like pure eyes in chat. I will count myself down in 3, 2, 1."
