start,end,speaker
3.22,8.82,SPEAKER_02
49.26,51.03,SPEAKER_02
51.03,55.04,SPEAKER_01
56.04,57.64,SPEAKER_01
57.64,57.71,SPEAKER_03
58.98,59.67,SPEAKER_03
67.72,68.04,SPEAKER_02
68.04,130.19,SPEAKER_01
107.07,107.29,SPEAKER_00
130.46,161.15,SPEAKER_01
161.81,355.25,SPEAKER_01
355.67,360.75,SPEAKER_01
361.98,367.35,SPEAKER_07
367.35,367.64,SPEAKER_01
367.64,367.65,SPEAKER_07
367.65,524.96,SPEAKER_01
525.47,566.04,SPEAKER_01
569.6,573.43,SPEAKER_02
581.36,581.71,SPEAKER_03
583.62,584.29,SPEAKER_03
595.89,596.48,SPEAKER_02
598.74,599.21,SPEAKER_02
600.02,600.06,SPEAKER_02
600.06,602.18,SPEAKER_05
602.97,876.5,SPEAKER_05
876.77,881.09,SPEAKER_05
881.53,966.95,SPEAKER_05
969.38,973.9,SPEAKER_01
974.16,990.68,SPEAKER_05
990.96,1101.02,SPEAKER_05
1101.02,1103.32,SPEAKER_02
1106.59,1110.88,SPEAKER_02
1162.3,1163.51,SPEAKER_03
1164.83,1166.41,SPEAKER_02
1167.71,1169.72,SPEAKER_02
1171.29,1171.54,SPEAKER_02
1188.32,1191.96,SPEAKER_02
1191.96,1272.47,SPEAKER_06
1272.78,1454.59,SPEAKER_06
1455.35,1463.09,SPEAKER_05
1462.69,1462.72,SPEAKER_06
1462.72,1462.74,SPEAKER_07
1462.74,1462.98,SPEAKER_06
1462.98,1463.03,SPEAKER_07
1463.03,1463.13,SPEAKER_06
1463.09,1463.11,SPEAKER_07
1463.13,1464.04,SPEAKER_07
1464.04,1464.06,SPEAKER_06
1464.06,1464.09,SPEAKER_07
1464.09,1464.21,SPEAKER_06
1464.21,1464.49,SPEAKER_05
1464.22,1506.6,SPEAKER_06
1506.85,1685.03,SPEAKER_06
1685.03,1686.54,SPEAKER_02
1686.54,1686.55,SPEAKER_06
1697.47,1700.96,SPEAKER_02
1700.96,1708.03,SPEAKER_06
1708.03,1709.3,SPEAKER_02
1719.34,1720.25,SPEAKER_02
1723.98,1726.41,SPEAKER_03
1734.46,1734.49,SPEAKER_02
1734.49,1810.6,SPEAKER_08
1810.95,1818.57,SPEAKER_08
1818.99,1861.44,SPEAKER_08
1861.88,1867.38,SPEAKER_08
1867.72,1972.82,SPEAKER_08
1921.06,1921.35,SPEAKER_00
1945.8,1946.24,SPEAKER_02
1973.22,1982.08,SPEAKER_08
1982.4,2008.7,SPEAKER_08
2009.19,2071.23,SPEAKER_08
2009.37,2009.79,SPEAKER_00
2035.92,2036.07,SPEAKER_00
2036.08,2036.13,SPEAKER_00
2071.79,2076.04,SPEAKER_06
2076.33,2114.7,SPEAKER_08
2115.11,2143.04,SPEAKER_08
2143.39,2222.03,SPEAKER_08
2222.03,2224.07,SPEAKER_02
2228.17,2233.72,SPEAKER_02
2255.34,2256.57,SPEAKER_02
2258.28,2261.72,SPEAKER_02
2262.87,2263.95,SPEAKER_02
2268.33,2270.97,SPEAKER_02
2270.97,2290.54,SPEAKER_04
2290.66,2446.21,SPEAKER_04
2446.96,2495.44,SPEAKER_04
2495.79,2602.75,SPEAKER_04
2603.25,2620.58,SPEAKER_05
2620.97,2762.03,SPEAKER_04
2762.03,2764.43,SPEAKER_02
2768.78,2773.67,SPEAKER_02
2776.27,2777.13,SPEAKER_02
2779.09,2780.07,SPEAKER_02
2781.13,2783.06,SPEAKER_02
2784.84,2785.55,SPEAKER_02
2786.95,2787.16,SPEAKER_07
2787.88,2787.97,SPEAKER_02
2787.97,2799.59,SPEAKER_07
2799.98,2819.0,SPEAKER_07
2819.73,2820.18,SPEAKER_07
2820.57,2890.25,SPEAKER_07
2890.72,2891.28,SPEAKER_07
2892.47,2961.59,SPEAKER_07
2951.32,2952.01,SPEAKER_00
2961.93,2999.66,SPEAKER_07
2999.9,3014.48,SPEAKER_07
3014.65,3102.43,SPEAKER_07
3103.12,3239.07,SPEAKER_07
3239.24,3239.85,SPEAKER_07
3240.05,3289.04,SPEAKER_07
3289.04,3291.16,SPEAKER_02
3294.76,3298.27,SPEAKER_02
3302.92,3303.36,SPEAKER_03
3303.36,3303.85,SPEAKER_02
3303.97,3304.05,SPEAKER_02
3304.09,3304.16,SPEAKER_02
3304.16,3304.97,SPEAKER_03
3304.97,3305.02,SPEAKER_02
3306.94,3306.99,SPEAKER_02
3306.99,3307.33,SPEAKER_05
3307.97,3310.16,SPEAKER_05
3310.4,3324.69,SPEAKER_05
3325.17,3335.66,SPEAKER_05
3335.83,3377.28,SPEAKER_05
3377.68,3445.72,SPEAKER_05
3446.33,3572.03,SPEAKER_05
3572.03,3574.58,SPEAKER_02
3577.82,3582.48,SPEAKER_02
3620.46,3622.98,SPEAKER_02
3622.98,3704.31,SPEAKER_06
3704.62,3869.97,SPEAKER_06
3869.97,3871.34,SPEAKER_02
3871.34,3871.38,SPEAKER_06
