start,end,text
0.0,56.24," Okay, looks like that's working. So without any further ado, I'll call upon the first proposition speaker to open up this debate. Thank you. Okay, great. I think I didn't specify this, but I prefer POIs to be in the chat. Thank"
56.24,73.8, you very much. The biggest purpose of the justice system is to reintegrate criminals. The best way we do this
73.8,80.06," is when we give them a front row seat to justice. Two points on framing, and we'll then continue"
80.06,86.54," to two substantive arguments. First, how will this application process look like? We think that"
86.54,92.16, ex-convicts are going to be subject to an application process like happens in the status
92.16,98.24, quo. Note that ex-cons to leave jails must have completed a process of rehabilitation and
98.24,106.4, retributive justice that society consented to collectively through mechanisms of law over 80 percent of people in jail in the united
106.4,112.96, states today are in there for violent crimes and crimes of context as a result we think that it is
112.96,120.16, unlikely for murderers to get in to these places especially because to get in ex-cons will have to
120.16,130.4, go through background checks and interviews like in the status quo obviously with the consideration that they have extenuating circumstances because of this condition
130.4,135.6, characterizing murderers in the police force would be extremely uncomparative for side opposition
135.6,140.4, to the second we think that there are two scenarios we must clash in this debate first where
140.4,145.18," individuals apply and don't get accepted but But second, a condition where they do and enter."
145.3,147.74, Not clashing here would be damning for side opposition
147.74,152.32, because their material couldn't be impacted on either way.
152.5,155.42, We think there are three conditions you should weigh on in this route.
155.42,158.9," On ex-cons, on institutions, and on societal narratives."
159.18,161.06, My third word will speak about.
161.82,166.74," But first, first argument here will prove to you that this measure is necessary to"
166.74,172.54, improve the miserable conditions of ex-cons in the status quo and uniquely improves these conditions.
172.72,177.72," There's two prongs here. First, on necessity, we tell you that in the status quo, ex-cons are"
177.72,182.66," largely discriminated against. In the status quo, the reason ex-cons can't join the police"
182.66,191.46, in the first place is because there exists a narrative and stigma that they're all extremely violent but the principled reason for the justice
191.46,197.4, system to exist is reintegration and therefore they have an obligation to extend mechanisms
197.4,204.02, for reintegrations that are lacking in the status quo and counter this stigma this means that even
204.02,205.74," if this measure is ineffective,"
205.9,209.7, it is principally legitimate and therefore creates a condition in which the government
209.7,216.04," best fulfills its mutual obligations towards citizens, towards ex-comvicts. The impact here,"
216.16,221.74," panel, lies in the idea of safeness. Crimes don't always occur in vacuums. Criminals are not"
221.74,231.06, inherently bad people who intend to commit crimes due to contextual conditions of injustice. Everyone has a right to be recognized as dignified enough to
231.06,237.4," apply for a job, and this dignity tends to materialize in beneficial things for ex-convicts."
237.58,243.54," In Portugal, drug addicts were given jobs at the peak of their addiction, and for that reason,"
243.54,246.52," they reintegrated effectively into society,"
246.52,253.46," they picked themselves up, and 98% of them ended up quitting jobs. We think the mechanisms for"
253.46,258.42, people to reintegrate have to be proposed by the government. This narrative is especially
258.42,266.4," significant because it humanizes conflicts, it gives them tools to achieve the very things that they have and"
266.4,271.76, in here in their human condition and it limits justifications of violence against them simply
271.76,276.88, because they are ex-convicts note in the status quo this causes conditions of unpunished police
276.88,282.64, brutality for instance that cannot continue to go unchecked because this mechanism is separate from
282.64,285.84, effectiveness palin you must weigh it significantly
285.84,292.24, because we proved two things one why this improved the police force but two why in principle this was
292.24,297.6, so beneficial because it dignified criminals and it helped them materialize their humanity yet
297.6,303.36, further if ex-cons can join we think this measure creates three significant benefits one convex are
303.36,305.04, re-indicated because the institution
305.04,309.28, that oppressed them allowed them to enter it no this creates a unique tipping point towards
309.28,314.88, breaking the stigma because the institution in charge of protecting you as an individual
314.88,321.52, tells you it's okay the institution you charge you with your life with the institution your trust
321.52,326.1, is telling you that ex-cons are trustworthy as well. Panelists is a unique
326.1,331.14, voting condition because this debate's biggest impacts lie on ex-cons on our side. We clearly
331.14,336.78," benefit from them the most because even if they're rejected from this job, they have marginally better"
336.78,342.46," conditions for them in day-to-day society due to this destigmatization. But second, ex-cons are"
342.46,345.26, likely to be less stigmatized because police officers are
345.26,349.02," constantly in contact with them. They know that they're people, they have seen successful"
349.02,353.48," conditions of rehabilitation. We think for this reason, it's likely that this job is beneficial"
353.48,358.24," for them. And for this reason, we think that if you want ex-cons to be better off, you vote"
358.24,363.82," proposition. I'll take your POI before I go into second. Yeah, what does the speaker think is the"
363.82,365.7, main reason why these ex-cons would
365.7,371.5, want to join the police force? We tell you that ex-cons on both sides of the house are disenfranchised
371.5,376.22, and lack opportunities. We think that's the mechanism on why they want to apply. We tell
376.22,381.72," you that for that reason, giving them additional benefits to go in is significant, but we also"
381.72,390.64, think that there is a measure of reivindication. These people want to show society that they are worthy of respect and are therefore also likely to join
390.64,394.88, in the first place. We'll prove to you in this second substantive why this measure improves
394.88,399.98, the police force. We tell you that allowing ex-convicts to apply creates four beneficial
399.98,405.24," conditions. One, society now perceives the police as open to change and adjusting to the changing"
405.24,411.3, needs and narratives of societal behaviors. This occurs separately than if people want to apply
411.3,416.62, or not apply. These benefits aren't contingent and therefore opposition can apply them as so.
416.86,421.54," Even if this measure is ineffective, it still incentivizes an institution like the police to"
421.54,425.6, begin adjusting systems that have been historically oppressive.
425.6,430.28," Simply, panel, the condition of the justice system becoming more malleable is beneficial"
430.28,434.68," because it can marginally better serve society when it's open to feedback,"
