start,end,speaker
0.03,1.03,SPEAKER_02
4.13,33.04,SPEAKER_02
42.94,62.03,SPEAKER_02
62.05,63.03,SPEAKER_02
63.13,63.31,SPEAKER_02
63.35,65.07,SPEAKER_02
71.97,82.43,SPEAKER_02
83.21,97.03,SPEAKER_04
97.03,120.06,SPEAKER_02
120.33,334.07,SPEAKER_02
289.22,289.34,SPEAKER_05
334.11,334.14,SPEAKER_02
334.36,334.39,SPEAKER_02
334.78,334.8,SPEAKER_02
335.54,346.04,SPEAKER_02
350.12,350.86,SPEAKER_02
351.5,351.96,SPEAKER_02
352.36,374.03,SPEAKER_02
377.37,377.39,SPEAKER_02
377.41,378.03,SPEAKER_02
386.96,458.04,SPEAKER_02
394.21,394.3,SPEAKER_00
458.22,499.48,SPEAKER_02
499.73,507.6,SPEAKER_00
507.72,516.42,SPEAKER_00
517.08,529.82,SPEAKER_00
531.44,533.62,SPEAKER_00
534.01,538.09,SPEAKER_00
538.23,548.43,SPEAKER_00
548.99,554.63,SPEAKER_00
555.08,560.04,SPEAKER_00
560.4,571.86,SPEAKER_00
572.23,584.48,SPEAKER_00
579.37,579.94,SPEAKER_01
584.95,600.41,SPEAKER_00
599.53,599.55,SPEAKER_01
599.55,600.21,SPEAKER_06
600.76,616.49,SPEAKER_00
616.93,622.35,SPEAKER_00
622.41,646.48,SPEAKER_00
646.97,657.03,SPEAKER_00
657.41,670.07,SPEAKER_00
670.49,692.72,SPEAKER_00
693.31,695.62,SPEAKER_00
695.87,698.99,SPEAKER_00
699.25,700.9,SPEAKER_00
700.97,702.2,SPEAKER_00
702.32,720.69,SPEAKER_00
721.05,729.91,SPEAKER_00
730.35,738.75,SPEAKER_00
739.16,749.96,SPEAKER_00
749.2,749.65,SPEAKER_03
750.43,764.57,SPEAKER_00
762.43,762.51,SPEAKER_01
763.93,764.27,SPEAKER_01
765.3,773.8,SPEAKER_00
774.19,779.22,SPEAKER_00
779.54,782.49,SPEAKER_00
782.69,787.03,SPEAKER_00
787.5,799.21,SPEAKER_00
787.54,787.6,SPEAKER_01
787.6,787.64,SPEAKER_06
787.64,788.09,SPEAKER_01
789.0,789.63,SPEAKER_01
799.84,812.97,SPEAKER_00
812.28,812.75,SPEAKER_06
813.57,819.7,SPEAKER_00
819.99,831.38,SPEAKER_00
831.75,849.72,SPEAKER_00
850.31,885.83,SPEAKER_00
886.14,901.49,SPEAKER_00
902.74,904.04,SPEAKER_00
904.23,911.99,SPEAKER_00
912.34,921.9,SPEAKER_00
921.98,938.06,SPEAKER_00
938.47,959.29,SPEAKER_00
960.03,985.85,SPEAKER_00
974.04,974.53,SPEAKER_01
986.04,992.47,SPEAKER_00
992.92,999.76,SPEAKER_00
1000.2,1046.03,SPEAKER_03
1042.32,1042.33,SPEAKER_00
1050.53,1050.9,SPEAKER_03
1052.96,1091.03,SPEAKER_03
1091.69,1128.87,SPEAKER_03
1129.54,1146.03,SPEAKER_03
1146.32,1146.77,SPEAKER_03
1150.38,1150.53,SPEAKER_03
1150.67,1195.81,SPEAKER_03
1195.84,1217.98,SPEAKER_03
1218.24,1243.2,SPEAKER_03
1236.51,1236.6,SPEAKER_06
1243.31,1243.97,SPEAKER_03
1243.97,1254.87,SPEAKER_04
1253.02,1398.16,SPEAKER_03
1398.36,1500.64,SPEAKER_03
1408.62,1409.01,SPEAKER_00
1443.42,1443.55,SPEAKER_00
1500.64,1500.67,SPEAKER_04
1501.03,1501.05,SPEAKER_03
1501.05,1501.89,SPEAKER_04
1501.99,1545.12,SPEAKER_04
1545.41,1610.78,SPEAKER_04
1611.05,1647.1,SPEAKER_04
1647.15,1647.17,SPEAKER_04
1647.49,1654.03,SPEAKER_04
1654.03,1670.15,SPEAKER_02
1670.15,1740.28,SPEAKER_04
1670.17,1670.32,SPEAKER_02
1711.92,1712.34,SPEAKER_00
1713.03,1714.02,SPEAKER_00
1740.45,1752.65,SPEAKER_04
1752.85,1765.46,SPEAKER_04
1753.19,1753.31,SPEAKER_06
1765.85,1777.56,SPEAKER_04
1775.08,1775.47,SPEAKER_06
1777.8,1814.01,SPEAKER_04
1784.9,1785.09,SPEAKER_00
1814.38,1824.17,SPEAKER_04
1824.24,1860.42,SPEAKER_04
1828.79,1828.86,SPEAKER_00
1829.03,1829.04,SPEAKER_00
1829.04,1830.09,SPEAKER_06
1848.28,1848.45,SPEAKER_00
1848.47,1848.62,SPEAKER_00
1849.13,1849.77,SPEAKER_00
1855.71,1855.96,SPEAKER_02
1860.42,1860.45,SPEAKER_02
1860.45,1860.85,SPEAKER_04
1860.85,1876.01,SPEAKER_02
1876.01,1883.62,SPEAKER_04
1883.75,1934.38,SPEAKER_04
1895.72,1895.94,SPEAKER_00
1918.87,1919.49,SPEAKER_00
1934.6,1994.12,SPEAKER_04
1990.07,1990.18,SPEAKER_01
1990.32,1990.34,SPEAKER_01
1994.79,2003.36,SPEAKER_01
2003.57,2007.21,SPEAKER_01
2007.67,2009.86,SPEAKER_01
2010.38,2012.43,SPEAKER_01
2012.7,2018.33,SPEAKER_01
2018.62,2018.99,SPEAKER_01
2019.39,2019.68,SPEAKER_01
2020.49,2021.03,SPEAKER_01
2021.35,2022.06,SPEAKER_01
2022.53,2023.02,SPEAKER_01
2023.56,2025.3,SPEAKER_01
2025.64,2031.19,SPEAKER_01
2031.6,2036.49,SPEAKER_01
2036.91,2038.85,SPEAKER_01
2038.97,2044.52,SPEAKER_01
2040.49,2040.91,SPEAKER_00
2044.64,2060.25,SPEAKER_01
2060.4,2074.27,SPEAKER_01
2069.11,2069.63,SPEAKER_00
2071.56,2071.57,SPEAKER_00
2071.57,2071.88,SPEAKER_06
2071.88,2071.91,SPEAKER_00
2075.03,2106.89,SPEAKER_01
2106.91,2117.98,SPEAKER_01
2118.62,2121.83,SPEAKER_01
2122.69,2126.91,SPEAKER_01
2127.06,2127.88,SPEAKER_01
2128.2,2139.12,SPEAKER_01
2139.38,2143.44,SPEAKER_01
2143.71,2148.32,SPEAKER_01
2148.44,2150.19,SPEAKER_01
2150.26,2158.11,SPEAKER_01
2158.36,2164.05,SPEAKER_01
2164.65,2171.39,SPEAKER_01
2171.54,2195.81,SPEAKER_01
2180.4,2180.69,SPEAKER_00
2196.7,2221.27,SPEAKER_01
2221.79,2238.45,SPEAKER_01
2239.28,2272.82,SPEAKER_01
2247.66,2247.93,SPEAKER_06
2273.18,2274.24,SPEAKER_01
2274.7,2304.45,SPEAKER_01
2279.71,2280.06,SPEAKER_00
2304.65,2352.25,SPEAKER_01
2352.44,2355.0,SPEAKER_01
2355.38,2356.03,SPEAKER_01
2356.12,2375.71,SPEAKER_01
2366.94,2367.0,SPEAKER_00
2367.0,2367.05,SPEAKER_06
2367.05,2367.19,SPEAKER_00
2375.96,2377.23,SPEAKER_01
2377.68,2379.3,SPEAKER_01
2379.95,2395.59,SPEAKER_04
2395.79,2417.04,SPEAKER_01
2417.63,2420.58,SPEAKER_01
2421.27,2440.93,SPEAKER_01
2441.3,2462.79,SPEAKER_01
2463.06,2483.86,SPEAKER_01
2484.12,2484.55,SPEAKER_01
2485.14,2486.29,SPEAKER_01
2487.19,2490.8,SPEAKER_01
2491.2,2495.4,SPEAKER_01
2495.56,2496.11,SPEAKER_05
2497.48,2521.73,SPEAKER_05
2521.85,2769.27,SPEAKER_05
2525.41,2525.68,SPEAKER_00
2529.81,2530.72,SPEAKER_00
2594.01,2594.38,SPEAKER_00
2637.49,2637.69,SPEAKER_00
2644.95,2645.59,SPEAKER_00
2679.61,2680.3,SPEAKER_00
2686.63,2686.99,SPEAKER_00
2715.83,2715.84,SPEAKER_00
2715.84,2715.98,SPEAKER_06
2715.98,2716.33,SPEAKER_00
2751.13,2751.48,SPEAKER_00
2764.58,2764.85,SPEAKER_01
2769.59,2781.1,SPEAKER_01
2781.1,2781.93,SPEAKER_05
2781.93,2781.94,SPEAKER_01
2781.94,2781.98,SPEAKER_05
2782.18,2782.2,SPEAKER_01
2782.2,2783.9,SPEAKER_05
2783.78,2783.87,SPEAKER_01
2783.9,2783.97,SPEAKER_01
2783.97,2788.56,SPEAKER_05
2784.37,2785.08,SPEAKER_01
2788.73,2791.04,SPEAKER_05
2791.92,2792.03,SPEAKER_05
2792.24,2792.27,SPEAKER_05
2792.4,2792.47,SPEAKER_05
2792.49,2792.51,SPEAKER_05
