start,end,text
0.0,10.0, Medicine has evolved from beating sick people with rocks to a vaccine that eradicated entire diseases
10.0,16.0, and managing us to come back from the deadliest epidemic in the last 100 years in a matter of months.
16.0,22.0, We tell you that the new rise of distrust caused by new age wellness and other practices undermining science
22.0,29.4, have brought smallpox back to the United States after it being eradicated for a hundred years. We tell you that we hear in this debate that human
29.4,33.72, lives and the preservation of our mental health. In this speech I'm going to bring you a frame
33.72,37.88, and then two arguments. Let's begin with the frame. We tell you that the definition of
37.88,41.54, the new age wellness here is things that are not without sign of the people backing them.
41.54,47.68," We tell you that those things could look like, I don't know, all of the things mentioned in the info slide, but also like mental oils, et cetera,"
47.68,51.78," psychology books, and without the psychologist's backings, and selling"
51.78,56.5," books. No, thank you, not that. We tell you that those alternative methods often do not work,"
56.5,59.92," because they firstly are not tested by actual medicines, actual scientists,"
59.92,63.52," actual companies, et cetera. Secondly, they are usually based on belief. They are"
63.52,66.16," based on you believing that it can help you,"
66.16,68.4," and then when in the luckiest case, it does help you,"
68.4,70.0, you believe it further.
70.0,72.72, We tell you that the burden of proof of opposition in this debate
72.72,75.12, is that the damages have been worse than the benefits.
75.12,76.64," In our speeches, we have the arguments."
76.64,79.52," I will bring you the first two about physical and mental health,"
79.52,81.84," and in our second speech, we also will tell you about scams."
81.84,83.2, Thor and I will go on.
83.2,88.16, Things like medication and mindfulness have hundreds of studies backing its science.
88.16,91.46, This means that view-based wellness is not about things that don't have scientific
91.46,95.92," backing, but rather this new prevalence focused on things like self-care and self-improvement."
95.92,96.92, It does have scientific backing.
96.92,97.92, How do you engage?
97.92,101.72," We tell you that even if some parts of them do, it is how you interpret those things."
101.72,105.52, We tell you that you cannot have physical determined impacts from meditation.
105.52,112.08," It can help you in some ways, but we tell you that people are less likely to connect them with actual medicine"
112.08,116.0," and other practices that connect them to crystals, etc. And this is what's important in my speech."
116.0,122.32," Okay, moving on to the first argument, trust in actual medicine, how it can cause physical harms on the side of position."
122.32,125.44," First, we tell you that trust in scientific medicine"
125.44,126.8, decreases on their side.
126.8,129.92, We tell you that alternative medicine seems very untrustworthy.
129.92,131.68," Firstly, it is also sold by big pharma,"
131.68,133.68, which legitimizes the rise of those uses.
133.68,135.4," Secondly, it is also not banned,"
135.4,137.4, which you usually do when things are negative to you
137.4,138.88, or which can cause horrible harm.
138.88,141.64," Therefore, we tell people that it is not that bad as it might seem."
141.64,144.2," And thirdly, we tell you that the advertising by those big companies"
144.2,147.6," is very strong, very effective, and done in a very large amount."
147.6,157.6," Since this type of sale is made mostly mainly based on quantity over quality. We tell you that those people, or since those medicines and those methods don't cost a lot,"
157.6,167.0," those companies are relying on people buying a lot of different ones and buying a lot of ones over and over again. Therefore, they are relying on people more. Secondly, we tell you that those who are presented also are very persuasive."
167.0,171.0, We tell you that the influence can come from parents or friends or through social media.
171.0,173.0, All the things that are very persuasive for the average user.
173.0,179.0, We tell you that especially the suspect group here is children who are very much influenced by social media
179.0,181.0," or what their parents are going to rule them up with, etc."
181.0,188.64," And lastly, we tell you that there are also social bubbles forming in Facebook or Telegram where those people constantly have reaffirmation that those things actually do"
188.64,192.88," work and if they don't, they will get proof of things working and even if they don't work,"
192.88,197.12," they won't get that actual scientific proof that they might cause harm to you, etc. We say that"
197.12,202.08," this causes snowball effect because even if it works one single time, you're more likely to be"
202.08,205.8," leaving the system. We tell you that they can work in some cases. First, you might just get lucky."
205.8,211.2," There might be environmental cases or things that make the disease go away naturally,"
211.2,212.4, or the issues go away naturally.
212.4,213.6," And secondly, there are other things."
213.6,216.8," For example, you can get vitamins or things from your food that can fix the diseases."
216.8,220.2," You still connect them to the alternative medicine, or going for the new age products."
220.2,224.6, We tell them that now you're more susceptible to the other reasonings behind them.
224.6,227.0, You're more susceptible to those advertisements.
227.0,231.0, You're more likely to be persuaded by your parents or your friends or social media.
231.0,234.0," Therefore, now you're a lot easier of a target."
234.0,237.5," Therefore, we tell you that even if in some cases they don't work on you,"
237.5,241.5, you're still more likely to believe on them and you can still believe that they might work in the future.
241.5,249.32," And lastly, we tell you that companies also really like pop up, like spread pop up on the topic, they really want you to have this trust in"
249.32,253.68," scientific medicine because they want you to use the alternative ones instead, they"
253.68,258.14," get profit from you using them. And this means that most people are not going to be, or most"
258.14,262.26, users are not going to trust actual medicine less or like scientific medicine less because
262.26,268.08," first they don't have that much resources, they're probably going to buy only a single medicine either it being scientific or alternative"
268.08,269.28, for a disease you have.
269.28,271.44," Secondly, you either don't believe in it or not."
271.44,275.2, We say that this has two major causes or negative impacts for your health.
275.2,278.72," Firstly, you suffer for a longer time period, a longer period of time."
278.72,284.08, We say that you actually have this experimental time or period as you only get sick you try
284.08,286.8," those crystals, you try out new ways of doing it,"
286.8,293.0," even if you return to scientific science in the end, you still have this period of time where you suffer and you don't get help."
293.0,296.7, We tell you that this is very critical as some diseases are very treatable at the start.
296.7,302.3," For example, cancer is completely treatable in the first stage, but as it evolves further, it is no longer treatable."
302.3,305.8," And if you, during that first stage stage don't seek help from science,"
305.8,308.6," but you try to use crystals or alternative medicine or medication,"
308.6,310.8, then you might not be able to be cured at all.
310.8,314.0," And secondly, if you don't seek help at all because you don't trust actual medicine,"
314.0,317.2," then you cannot actually have those like external explanation problems,"
317.2,321.0, or any symptoms and issues that you may have made up in the never-before-known-case.
321.0,322.8," And secondly, side effects."
322.8,328.0, We tell you that a lot of those issues or a lot of those alternative medicines can actually cause your health to go worse.
328.0,333.0, We tell you that drinking MMS or having different solutions that are promoted through those systems are a very bad thing.
333.0,337.0," We tell you that all of those cases can cause that, but we tell you that some will."
337.0,340.0, And you're more likely to use them due to the snowball effect.
340.0,346.5," Even if those safer versions of meditation or crystals might work, you're more likely to use more radical ones in the future as well."
346.5,356.3," And secondly, we tell you that you can also mistreat your body by not eating different things or distracting your immune system and destroying it,"
356.3,360.5, which means that you're also more susceptible to different diseases that are not connected to the current one.
360.5,368.68," Therefore, we tell you that a lot of action issues return to you and you will have a worse physical health in the long run and in the short term when you use those."
368.68,371.68," Now moving on to the second argument, we tell you about mental issues."
371.68,377.68, First we tell you that the approach of those new age wellness medicines is very individualistic.
377.68,382.68, We tell you that these look like either self-help books or beliefs that doctors are only there
382.68,385.76," to harm you, only you yourself can fix"
385.76,390.9," those issues. Or like the third one, your actions or things causing your illness, for"
390.9,394.42, example you not meditating is why you have a cough or why you have depression. We tell
394.42,399.56," you that this kind of result in massive harms in two different ways. Firstly, when you actually"
399.56,403.7, cannot do anything about those issues and you think that you are the problem. We tell
403.7,409.6, you this looks like people having depression or people having anxiety etc but they still think that they can change it on
409.6,413.84, their own but at the same time they're not even able to. We tell them that this is a very bad
413.84,418.72, situation for those people because they would be stuck in that internal loop of making themselves
418.72,422.88, feel miserable because they cannot fix it and it's their fault. We tell you it can cause further
422.88,427.76, damage for example and it can also cause further damage like anxiety or depression which can come from the
427.76,431.82," medicines you actually are using to cure it. Secondly, we tell you that isolation is also a key point here."
431.82,440.2, We tell you that those are people who won't seek help with anything now. Those are people who believe that they are the sole reason that they're sick and they are the sole answer to those problems.
440.2,446.0," We tell you that by having this individualistic approach, you are less likely to talk about your mental issues."
446.0,449.0, And also you're overall analyzing every single other issue in your life.
449.0,454.0," We're talking about you getting fired, but you're less likely to talk about that to your significant other or to your friends"
454.0,458.0," because you think it's on you, it's your fault, etc. and you are the one who's supposed to get over it."
458.0,462.0, This means that we create harms on every single level.
462.0,465.0, First we can tell you that those issues are less likely to be solved
465.0,472.0," as if you catch your partner cheating, you're less likely to confront them because you think it's your issue that you should overcome."
472.0,477.0, We tell you that this means that you additionally will blame yourself eternally for those issues
477.0,481.0, because you are the sole reason for it and as those issues don't get solved you have the end of the match.
481.0,488.32, And lastly we tell you that those effects also happen by affecting other people around them. If my significant other who uses those methods
488.32,491.48," does not tell me about their problems, I'm less likely to tell all of my problems on"
491.48,495.42," the spot. Therefore, we mean that those mental issues are going to deepen in the world and"
495.42,499.12, we have less help and less people seeking for support for all those reasons and propositions.
499.4,512.0," The current reality is one where humans face issues on a daily basis. Issues like anxiety, depression, and insecurity."
512.0,517.0," Issues that may seem small, but made your life all the much more bleak."
517.0,522.0," We think that new age wellness culture provides people with a breath of fresh air,"
522.0,526.38," accessible personalized solutions to your problems, but not only solutions"
526.38,529.78," to your problems, but also active improvements to your life."
531.04,533.42," With that, we are so proud to oppose."
533.96,539.46," Before I go into my arguments about new age wellness being good, and even if the culture"
539.46,546.4," itself isn't good, the fact that the ideas that it promotes is good, I would like to go"
546.4,553.98," into two pieces on framing. Firstly, what does the implementation of new age wellness culture"
553.98,559.72, look like? Note that this frame is completely going to cut down that entire two arguments.
560.48,566.0," Firstly, we think that this new age wellness culture and the rise of it means that there's massive competition."
566.0,571.0, So only the best forms of this culture will arise and become accessible.
571.0,577.0," For example, if they're really scammy crystals, they're not really going to gain traction and get support from the public."
577.0,585.04, The ones that are going to rise will look much more like the meditation that actually actually helps people.
590.3,590.7," But secondly, we think that this culture exists in a sea of counter-narratives."
594.18,594.46, We think that there are two counter-narratives that this culture has to contend with.
600.0,600.7," Firstly, the fact that hospitals feel that this culture is a threat to their scientific legitimacy."
603.46,607.0, So we think that these hospitals and scientific institutions will also have an incentive to promote their own medicines.
607.0,612.0, What that means is not that many people are going to be washed away into this new age wellness culture.
612.0,616.0, People will still continue to opt into hospitals to some extent.
616.0,617.0, No thank you.
617.0,622.0," But secondly, we think that the degree to which people opt in will not be extreme."
622.0,625.76," This is for two reasons. Firstly, we think that it is simply"
625.76,630.68, counterintuitive to human nature to buy all of these claims that these new wellness culture
630.68,637.88, promotes. Because people probably won't believe that one healing crystal will solve 14 days
637.88,642.94, spent in depression. People won't think that one crystal is enough to solve your whooping
642.94,650.38," cough, or if you're vomiting, people are not likely to buy into stupid things. Secondly, we think that other generations find these new"
650.38,655.5," ideas kind of skeptical, so parents will still make their children go to hospitals if they're"
655.5,661.24, suffering from COVID-19. So the implication of this is simple. Individuals will still opt into
661.24,665.14," hospitals if they really, really need to, if they have a physical illness."
665.56,671.92, Notice that this cuts a large chunk out of their entire case. Note also that this doesn't
671.92,676.88," undercut our argument, and our argument will stand independent of this. But the second"
676.88,681.2," piece of frame, what does the absence or what does the world that opposition has to depend"
681.2,688.14," look like? At the point in which we do not get any characterization from our proposition side, we think that it is reasonable to"
688.14,692.18, assume that no such narratives of self-help will exist on that side of the
692.18,697.82," house. With that said, onto my first argument. The New Age wellness culture in and of"
697.82,702.86," itself is good. There are five reasons for this. Firstly, no thank you. We think that the"
702.86,709.86," benefits of New Age wellness culture will allow, that people will be allowed to choose and be able to pick and choose between"
709.86,714.32," the benefits of wellness culture. Because of the rise of this culture, there are simply"
714.32,718.8, more videos and more tips available on the internet. What that means is that people can
718.8,723.66," pick and choose what best fits them. Obviously, if you do not find healing crystals effective,"
723.92,728.94," that means that you can simply opt into other means, such as yoga, that will actually help you maintain your"
728.94,734.36, mental stability. The second reason is that you can uniquely solve micro-issues that you
734.36,739.56, don't have to tell anyone or that you won't tell anyone on proposition well. This looks
739.56,744.26, like being self-conscious before your WSDC speech. This looks like being anxious about
744.26,745.08, your exams. This looks like being anxious about your exams.
750.02,750.44, This looks like being anxious about whether your boyfriend is caring about you anymore.
754.68,759.4," Note that these are not huge issues, so that you won't want to bother your parents with or you bother your friends with, and can only be solved by yourself when you don't have"
759.4,763.66," an incentive to tell others or ask others for help, or that you'll be embarrassed to"
763.66,765.2," ask others for help. Rather, on be embarrassed to ask others for help."
769.92,775.28, Rather on our side at the point in which you can read that book in your own room you can like about self-help and get these tips you'll be able to solve these issues on your own. But sadly we say
775.28,780.88, that you can solve these subjective problems that only you can solve. This looks like for example
780.88,785.52, just being insecure. We think that stuff like insecurity can only be solved
785.52,790.8, through self-examination. You have to ask yourself problems like why do I feel insecure? What are the
790.8,796.16, best ways to combat the deep-seated conceptions that I have that led to this insecurity? Obviously
796.16,801.68, this kind of issue is something that only you can solve. We think that we can uniquely solve this on
801.68,806.0," our side at the point to which you're able to read self-help books and watch these videos,"
806.0,812.0," and internalize these tips on how to get better, and process how you fix yourself."
812.0,813.0, No thank you.
813.0,820.0, The fourth reason is that we simply have increased accessibility to solving your problems and getting self-help.
820.0,825.58, We think that there are many problems that you have on a daily basis that pop up very unexpectedly.
831.28,831.52," This looks like having an unexpected fight with your friends, or suddenly getting nervous 20 minutes before a football match."
839.28,839.58," On that side, you simply cannot go and access these self-help because you can't call yourself to a hospital 20 minutes before your match, right?"
840.1,840.32, No thank you.
848.0,848.22," We think that on our side, comparatively, you can take out your phone in that world locker room room and watch a 5 minute video on how to not be nervous and how to help yourself."
849.66,850.3, This is unique to our side.
854.92,855.24," But fifthly, we say that you are able to improve yourself and not just fix your problems."
857.34,857.72, This is important because of mainly two things.
866.12,867.76," Firstly, we say that public hospitals and therapists only solve your problems and only solve your problems after the harm occurs, right? After you fail that job interview"
867.76,869.54, and get severely depressed.
869.54,871.9," Rather, on our side, we're able to preemptively"
871.9,874.3, make people immune to these kinds of problems.
874.3,877.46, At the point at which you watch self-help videos
877.46,880.12, on a daily basis about how to deal with failure
880.12,882.24," and internalize that failure isn't bad,"
882.24,883.72," when you fail that job interview,"
883.72,888.28, you'll be able to deal with it much better. But the second impact of this is that no one teaches
888.28,892.96," you or no institution really teaches you about how to make yourself better, right?"
892.96,896.62, About how to tidy your room. It's not something that is taught by other people
896.62,900.82, and other institutions on a daily basis. Only self-help books are able to deal
900.82,907.14, with this. Onto my second argument then. Even if the self-help culture in and of itself is
907.14,913.98," harmful and unhelpful, we think the ideas that it promotes are good. We think that there are three reasons for this."
913.98,921.9," Firstly, because self-help culture actually promotes you to care about yourself and to care about your own mental health."
921.9,926.4, That means that you define the capitalistic narratives that exist in this stage of school
926.4,929.8," that tell you to work hard, to work 24-7 constantly."
929.8,934.1," What that means is that you'll be able to take a day off work to be able to look after yourself,"
934.1,938.4, even if you do not opt fully into the culture in and of itself.
938.4,943.4," But secondly, we think that people are more likely to opt into institutions and therapists and hospitals"
943.4,944.8, on our side of the house.
944.8,949.44, Because people now uniquely know what depression looks like they know through their self-help books
949.44,954.24, that staying in your room for 15 days isn't normal that means that on our side you can uniquely
954.8,958.72, actually like make yourself go realize that you have something for the problem and cut yourself
958.72,964.56, therapy thirdly we think that a lot of things that have been stigmatized such as depressed people
964.56,967.36," will be able to decrease the stigmatization against them historically we think that a lot of things that have been stigmatized, such as depressed people, will be able to decrease the stigmatization against them."
967.9,971.56," Historically, we think that stuff like mental health has been very stigmatized"
971.56,977.1, simply because people and the general public don't know about it and don't understand how important it is.
977.5,982.94," However, on our side, when you get influencers talking about how depression is a real problem that you have to solve,"
983.12,988.7, you get normalization because these narratives exist. We think that the stigma is most vulnerable that it decreases
988.7,993.34," on our side, which allows them to access help and access help from their friends. We think"
993.34,997.56, that because we are able to provide help for the most general public and for the most vulnerable
997.56,999.64," people, we're so proud of us."
1000.2,1006.56," Dear panel, oneself is of utmost importance, And when faced with our mortality, when faced with our well-being,"
1006.56,1009.12, we do not act as rational actors.
1009.12,1012.4," We are more open to things that are promised to us, even when there is a proof,"
1012.4,1014.48," because the idea of not being sick anymore,"
