start,end,speaker
0.79,12.5,SPEAKER_03
12.57,17.6,SPEAKER_03
17.73,25.9,SPEAKER_03
26.56,47.15,SPEAKER_03
47.52,71.29,SPEAKER_03
71.75,87.76,SPEAKER_03
88.03,94.99,SPEAKER_03
95.59,107.39,SPEAKER_03
107.64,109.06,SPEAKER_03
109.38,115.03,SPEAKER_03
113.41,113.8,SPEAKER_05
115.27,141.22,SPEAKER_03
125.41,126.31,SPEAKER_00
141.63,200.29,SPEAKER_03
200.44,212.79,SPEAKER_03
212.39,212.86,SPEAKER_05
212.86,213.03,SPEAKER_03
213.04,278.62,SPEAKER_03
278.62,279.18,SPEAKER_05
279.19,279.21,SPEAKER_05
279.21,327.59,SPEAKER_03
327.73,343.03,SPEAKER_03
349.97,354.2,SPEAKER_00
354.2,358.88,SPEAKER_03
359.22,370.5,SPEAKER_03
370.79,390.89,SPEAKER_03
391.31,399.04,SPEAKER_03
399.18,400.24,SPEAKER_03
400.58,406.06,SPEAKER_03
406.25,447.62,SPEAKER_03
432.2,432.84,SPEAKER_05
446.04,446.75,SPEAKER_05
448.01,464.41,SPEAKER_03
462.44,462.59,SPEAKER_05
464.73,467.82,SPEAKER_03
466.49,466.54,SPEAKER_05
468.18,481.41,SPEAKER_03
468.82,468.85,SPEAKER_05
469.11,469.26,SPEAKER_02
481.76,494.03,SPEAKER_03
494.03,494.06,SPEAKER_01
494.06,494.16,SPEAKER_03
494.16,494.18,SPEAKER_01
494.65,494.72,SPEAKER_03
494.72,657.03,SPEAKER_01
530.88,531.49,SPEAKER_00
533.65,533.89,SPEAKER_02
545.65,546.04,SPEAKER_00
546.04,546.31,SPEAKER_05
551.2,551.24,SPEAKER_00
554.04,555.47,SPEAKER_00
555.47,556.4,SPEAKER_05
556.4,556.62,SPEAKER_00
566.93,567.5,SPEAKER_05
597.88,598.47,SPEAKER_00
599.01,599.4,SPEAKER_00
600.6,600.66,SPEAKER_00
601.03,601.25,SPEAKER_05
603.08,603.41,SPEAKER_05
603.41,603.5,SPEAKER_00
603.5,603.68,SPEAKER_05
603.68,603.84,SPEAKER_00
653.67,653.73,SPEAKER_05
653.73,653.77,SPEAKER_02
653.77,653.87,SPEAKER_05
663.98,664.03,SPEAKER_01
664.97,670.17,SPEAKER_01
670.31,671.08,SPEAKER_01
672.21,673.16,SPEAKER_01
673.41,676.03,SPEAKER_01
676.25,676.89,SPEAKER_01
678.39,678.96,SPEAKER_01
678.96,679.92,SPEAKER_05
682.62,684.33,SPEAKER_01
684.87,884.65,SPEAKER_01
717.1,718.03,SPEAKER_00
720.22,720.73,SPEAKER_00
721.4,721.69,SPEAKER_00
734.03,734.52,SPEAKER_05
754.82,755.31,SPEAKER_05
758.17,758.46,SPEAKER_05
778.63,779.05,SPEAKER_00
796.46,796.53,SPEAKER_00
796.53,796.9,SPEAKER_05
796.9,797.09,SPEAKER_00
855.96,856.03,SPEAKER_00
856.03,856.22,SPEAKER_05
884.91,909.48,SPEAKER_01
890.29,893.29,SPEAKER_05
909.48,924.93,SPEAKER_00
924.97,925.02,SPEAKER_00
926.25,997.58,SPEAKER_01
999.47,1004.97,SPEAKER_01
1004.97,1006.52,SPEAKER_03
1006.71,1010.13,SPEAKER_03
1010.37,1018.13,SPEAKER_03
1011.92,1011.97,SPEAKER_00
1011.97,1012.78,SPEAKER_05
1012.78,1012.97,SPEAKER_00
1015.6,1015.97,SPEAKER_05
1015.97,1016.18,SPEAKER_00
1018.47,1028.51,SPEAKER_03
1029.03,1042.25,SPEAKER_03
1037.19,1037.74,SPEAKER_02
1037.74,1037.76,SPEAKER_05
1037.76,1037.86,SPEAKER_00
1043.04,1045.81,SPEAKER_03
1046.06,1061.72,SPEAKER_03
1056.54,1057.76,SPEAKER_00
1061.91,1076.98,SPEAKER_03
1077.2,1117.14,SPEAKER_03
1085.65,1085.94,SPEAKER_05
1099.69,1099.71,SPEAKER_00
1099.72,1099.76,SPEAKER_00
1100.31,1100.52,SPEAKER_00
1117.39,1195.22,SPEAKER_03
1148.29,1148.8,SPEAKER_00
1150.21,1150.57,SPEAKER_00
1166.5,1166.63,SPEAKER_00
1192.72,1193.16,SPEAKER_05
1193.16,1193.21,SPEAKER_00
1195.88,1208.69,SPEAKER_03
1202.81,1202.85,SPEAKER_00
1208.72,1212.23,SPEAKER_03
1209.46,1209.83,SPEAKER_00
1212.79,1223.67,SPEAKER_03
1223.87,1314.21,SPEAKER_03
1249.0,1249.59,SPEAKER_05
1249.59,1249.61,SPEAKER_00
1255.78,1256.29,SPEAKER_00
1257.02,1257.13,SPEAKER_00
1266.25,1266.65,SPEAKER_00
1267.44,1268.47,SPEAKER_00
1280.66,1281.32,SPEAKER_00
1295.46,1296.71,SPEAKER_00
1314.53,1427.47,SPEAKER_03
1334.62,1334.83,SPEAKER_00
1346.18,1346.25,SPEAKER_00
1346.27,1346.37,SPEAKER_05
1365.59,1366.01,SPEAKER_05
1389.52,1389.82,SPEAKER_05
1428.45,1450.77,SPEAKER_03
1435.37,1435.79,SPEAKER_00
1451.06,1480.46,SPEAKER_03
1459.47,1459.58,SPEAKER_05
1480.59,1498.55,SPEAKER_03
1491.93,1492.22,SPEAKER_00
1493.16,1493.37,SPEAKER_00
1498.85,1503.31,SPEAKER_03
1500.94,1501.05,SPEAKER_05
1504.08,1504.29,SPEAKER_04
1504.56,1508.03,SPEAKER_04
1512.98,1708.88,SPEAKER_04
1561.24,1562.1,SPEAKER_00
1578.15,1578.16,SPEAKER_00
1578.16,1578.97,SPEAKER_05
1597.35,1597.71,SPEAKER_00
1602.72,1602.97,SPEAKER_00
1604.08,1604.64,SPEAKER_00
1606.13,1606.31,SPEAKER_00
1620.39,1620.54,SPEAKER_00
1620.6,1620.89,SPEAKER_00
1629.4,1629.7,SPEAKER_05
1668.77,1669.31,SPEAKER_00
1670.42,1671.2,SPEAKER_05
1674.99,1675.16,SPEAKER_00
1677.2,1677.3,SPEAKER_05
1692.85,1693.29,SPEAKER_00
1707.24,1707.73,SPEAKER_00
1709.06,1787.3,SPEAKER_04
1732.59,1733.18,SPEAKER_05
1734.53,1734.58,SPEAKER_00
1784.88,1785.36,SPEAKER_00
1786.67,1787.09,SPEAKER_00
1787.55,1924.03,SPEAKER_04
1796.24,1796.61,SPEAKER_00
1884.23,1884.45,SPEAKER_00
1924.41,1996.97,SPEAKER_04
1928.42,1928.89,SPEAKER_00
1939.1,1939.71,SPEAKER_00
