start,end,text
0.0,6.0, The status quo in Western liberal democracies is a world where religious minorities live in fear.
6.0,12.0, They live in fear of discrimination. They live in fear of majorities encroaching on their very own ideas.
12.0,17.0, Straight state secularism is the only way to solve this. We have two arguments to contend for here.
17.0,21.0," First, all of our intertwining of religion and politics is uniquely harmful."
21.0,29.12," Second, all of our minority religions are better off under straight state secularism. Before our meditation, three pieces of grant."
29.12,34.8," First, strict secularism looks like one where the state remains neutral and doesn't endorse"
34.8,38.64, or discriminate against any particular religion. This looks like three things.
38.64,42.72," One, the state cannot take a stance on a particular religion. There will not be a"
42.72,46.92, official state religion. The state will not provide funding to any religious schools or charities.
46.92,52.7, 2. Individuals are not allowed to do religious hypocrisy in public. You cannot hold posters
52.7,55.38, of religious symbols. You cannot call the site to release emblems.
55.38,60.4," 3. Individuals will be prohibited from reading any religious symbols. For instance, schools"
60.4,62.44, cannot display a cross inside a crosswalk.
62.44,65.0, 4. Individuals that do not appear to be full
65.0,70.0, face criminal punishment. This can range from fines to incarceration depending on the severity
70.0,72.0, of the violation of it.
72.0,76.0," Secondly, people can still practice religion in their private spaces on our side. For instance,"
76.0,80.0, they can still pray at their homes. The church and mosque that is in the existing status
80.0,84.0, quo will not be torn down to support the emotion of their mission. The implication of this
84.0,88.0, is that the benefits of religion in daily life still exist on our side.
88.0,95.0," Thirdly, what is the burden of opposition? The world opposition needs to defend is the status quo. They cannot support the prototype of the new world."
95.0,107.0," Moving on to the first part of my mention, as to why inter-trafficking to a religion of alt-ism is immediately harmful. The thesis of which we'll admit is that strength secularism is essential to ensure a biased political discourse and equal access to public services."
107.0,109.0, There are two layers to this argument.
109.0,113.0," First layer, then, is why strength secularism is necessary to eliminate the intertwining"
113.0,114.0, of original politics.
114.0,115.0, No major.
115.0,119.0, We think anything apart from it results in heavy intertwining of original politics.
119.0,121.0, This is due to three reasons.
121.0,125.24," One, politicians have massive political incentive to capture these votes."
125.24,127.32," And note here that not only open voters,"
127.32,128.78, religious supporters still identify with
128.78,130.5, politicians' support because they are
130.5,131.72, the most loyal voters.
131.72,134.52," For instance, today, about 25% of the US"
134.52,136.62," do identify themselves with evangelicals,"
136.62,139.44, and most of them back Donald Trump in the 2016 election
139.44,141.74, and took the scales in his favor.
141.74,144.12," Two, religious organizations have vote-based"
144.12,146.0," incentive to pass change-loving government. We want a first-ever policy, and both been extended with the capacity to lobby government."
146.0,149.0," We want a first-ever policy, and they also have lots of capital to lobby."
149.0,153.0," They acquire funding from foundations, from their followers, and use it to hire lobbyists"
153.0,154.0, to form broad-minded campaigns.
154.0,159.0," This looks like NNE, No Me Too, National Association of Evangelicals, Lobbying and Abortion, or"
