start,end,speaker
0.69,114.71,SPEAKER_01
115.05,317.97,SPEAKER_01
317.97,327.71,SPEAKER_04
327.71,406.03,SPEAKER_01
407.22,490.13,SPEAKER_01
490.17,509.88,SPEAKER_01
510.06,511.02,SPEAKER_01
511.02,514.25,SPEAKER_05
514.58,529.69,SPEAKER_05
529.97,559.4,SPEAKER_05
556.2,556.57,SPEAKER_06
559.86,585.76,SPEAKER_05
580.14,580.72,SPEAKER_00
585.85,627.76,SPEAKER_05
618.3,618.33,SPEAKER_06
628.22,665.11,SPEAKER_05
665.11,665.31,SPEAKER_06
665.33,665.34,SPEAKER_06
665.38,734.58,SPEAKER_05
732.19,732.83,SPEAKER_06
736.81,742.18,SPEAKER_05
742.6,773.33,SPEAKER_05
773.85,811.4,SPEAKER_05
784.77,784.82,SPEAKER_00
784.82,784.85,SPEAKER_06
784.85,784.87,SPEAKER_00
785.02,785.65,SPEAKER_00
801.81,801.83,SPEAKER_06
811.55,828.27,SPEAKER_02
827.83,893.14,SPEAKER_05
842.38,842.62,SPEAKER_00
857.89,858.24,SPEAKER_00
893.41,926.42,SPEAKER_05
912.85,912.95,SPEAKER_00
912.95,913.0,SPEAKER_06
913.0,913.24,SPEAKER_00
926.82,947.28,SPEAKER_05
927.63,927.97,SPEAKER_00
928.38,928.81,SPEAKER_00
947.41,989.7,SPEAKER_05
950.58,950.6,SPEAKER_00
950.6,950.97,SPEAKER_06
950.97,951.0,SPEAKER_00
990.09,999.42,SPEAKER_05
999.96,1265.98,SPEAKER_02
1000.82,1001.31,SPEAKER_05
1266.87,1279.97,SPEAKER_02
1279.97,1285.03,SPEAKER_03
1285.03,1464.29,SPEAKER_02
1464.83,1495.14,SPEAKER_02
1497.72,1497.75,SPEAKER_02
1497.75,1587.56,SPEAKER_03
1564.29,1564.53,SPEAKER_00
1587.73,1607.73,SPEAKER_03
1608.0,1712.86,SPEAKER_03
1713.52,1723.91,SPEAKER_02
1723.91,1847.52,SPEAKER_03
1724.01,1724.67,SPEAKER_02
1847.89,1855.4,SPEAKER_03
1855.56,1992.18,SPEAKER_03
1868.58,1868.97,SPEAKER_06
1905.52,1905.57,SPEAKER_06
1905.57,1905.72,SPEAKER_02
1943.04,1943.52,SPEAKER_00
1945.99,1946.01,SPEAKER_00
1992.55,2223.45,SPEAKER_00
2092.51,2093.16,SPEAKER_01
2175.93,2176.25,SPEAKER_01
2176.25,2176.3,SPEAKER_06
2176.3,2176.45,SPEAKER_01
2223.94,2495.2,SPEAKER_00
2346.65,2347.01,SPEAKER_01
2416.01,2416.02,SPEAKER_01
2416.02,2416.04,SPEAKER_06
2416.04,2416.29,SPEAKER_01
2495.2,2659.06,SPEAKER_04
2588.37,2589.03,SPEAKER_00
2590.23,2590.8,SPEAKER_00
2654.99,2655.33,SPEAKER_02
2659.46,2680.78,SPEAKER_02
2680.78,2940.94,SPEAKER_04
2715.02,2715.13,SPEAKER_00
2715.13,2715.17,SPEAKER_06
2715.17,2715.49,SPEAKER_00
2715.89,2715.99,SPEAKER_00
2716.38,2716.53,SPEAKER_00
2744.55,2744.65,SPEAKER_00
2747.08,2747.58,SPEAKER_00
2757.27,2757.95,SPEAKER_00
2763.08,2763.09,SPEAKER_06
2763.11,2763.23,SPEAKER_06
2780.19,2780.31,SPEAKER_00
2780.39,2780.47,SPEAKER_00
2780.47,2780.52,SPEAKER_06
2780.52,2780.96,SPEAKER_00
2816.76,2816.77,SPEAKER_05
2816.77,2817.18,SPEAKER_06
2841.63,2842.1,SPEAKER_00
2870.18,2870.72,SPEAKER_03
2879.24,2879.6,SPEAKER_03
2941.26,2991.02,SPEAKER_04
2944.48,2944.6,SPEAKER_06
2991.02,2991.63,SPEAKER_03
2992.24,2992.26,SPEAKER_04
2992.26,3020.71,SPEAKER_03
3021.06,3026.34,SPEAKER_03
3026.65,3056.03,SPEAKER_03
3056.13,3077.58,SPEAKER_03
3078.0,3116.73,SPEAKER_03
3116.96,3172.89,SPEAKER_03
3173.1,3245.03,SPEAKER_03
3185.32,3185.39,SPEAKER_06
3185.41,3185.47,SPEAKER_06
3245.03,3246.21,SPEAKER_02
3246.44,3266.04,SPEAKER_02
3266.49,3328.32,SPEAKER_02
3328.61,3377.76,SPEAKER_02
3378.19,3505.26,SPEAKER_02
