start,end,text
0.0,10.0," The brutality of the Yugoslav war left us with an aftermath that can only be characterized as individuals losing access to basic social and economic rights,"
10.0,18.0," fragile peace that lacks sustainability, and people not knowing where their loved ones are after the chaos of the war has unveiled."
18.0,29.94," Instead of prioritizing the reconciliation of the region and the rehabilitation of the most vulnerable in the region, we see the ICTY to fully focus and fixate on the weakest form of quote-unquote justice, which"
29.94,34.32," is the punitive form. We stand for a more effective form of justice, a more reformative"
34.32,41.32," form of justice. We also value the betterment of civil society, incredibly proud to propose."
41.32,51.12," Before I get into my argumentation, a few points of framing and setup. First, what does our world look like? Our world is one where there are eight"
51.12,56.12, national TRCs in each country within the Yugoslavian region. They report back to one regional TRC.
56.4,60.46, These TRCs are going to be implemented by a local decree with the help and support of
60.46,66.24," the UN, similar to Syria and Union. Those TRCs are going to be non-judicial internal"
66.24,69.16, bodies created from the people and not to the people.
69.6,72.02, We see those TRCs to be made out of three fundamental committees.
72.3,78.2, The first is one that receives and processes applications for amnesty and conducting public
78.2,78.52, hearings.
78.88,82.9, The second is one that is responsible for compensating and rehabilitating victims of
82.9,87.0," the war and the most vulnerable, similar to the R&R within South Africa."
87.0,91.0, And the third and final one is a committee that is responsible for giving out recommendations.
91.0,93.0, Recommendations in three different ways.
93.0,100.0, The first is recommendations of reparation actions to be adopted by the UN and local governments that seek to help and reconciliate.
100.0,105.42, The second is recommendations of prosecutions to national courts.
105.78,109.72," And thirdly, publishing a joint historical record every two or three years"
109.72,111.98, to continuously update the historical record of the war
111.98,114.32, and to not miss any details of atrocities or crimes that are committed.
115.86,120.08," Second idea is, what are the conditions of the amnesty that will be given or asked of the House?"
120.3,121.86, We see three conditions.
122.24,126.12," First, full disclosure on all atrocities or crimes committed and or witnessed."
126.5,129.0," Secondly, the crimes that are committed will have to be politically motivated."
129.8,136.18, An individual has to have a certain level of authority forcing him to do that crime in order for amnesty to be valid and to be granted in the first place.
136.5,148.42," Thirdly and finally, agreeing on doing public hearings and giving our testimonies to the public and giving the public full access to the testimonies that are given by individuals who got amnesty. Thirdly, we think that the implementation of those TRCs is likely to"
148.42,152.64," be effective on our side of the House because of local and presidential decree, funds and"
152.64,156.78," administrative power that is given by the UN, and the fact that the commissioners of"
156.78,161.18," the TRC in the first place are likely to be individuals who are civil society leaders,"
161.18,170.0, are likely to be experts of diplomacy and reconciliation. Fourthly and finally is the fact that the kind of justice that we're explicitly following and pursuing on our side of the house
170.0,174.5, is a reformative type of justice and not the punitive kind that ICTY supports.
174.5,180.5, Our stand is victim-oriented. We don't think that victims get justice when they see a leader who's committed multiple genocides
180.5,189.3," being put behind bars for eight years. We don't think that that's the kind of justice that victims seek on our side of the house. When it comes to argumentation, three arguments."
189.66,194.36," First, on how TRCs lead to better victim satisfaction. Secondly, on how we establish peace in the"
194.36,199.9," region. Thirdly and finally, on how TRCs on our side of the house achieve better governance"
199.9,203.2," in the region. When it comes to the first argument, we prove this in three ways. The"
203.2,207.36, first idea is compensation and access to mental health facilities. It's very important to
207.36,210.72, know for a fact that the incentives of the UN to participate in the region will likely
210.72,215.4, remain the same on our side of the house. We see any kind of financial support from
215.4,221.14, the UN to be reallocated towards establishing the necessary facilities and to provide mental
221.14,228.32, health support for victims and individuals who are most vulnerable of the war and we also see direct financial compensation being given to such people.
228.32,234.92," Secondly, we see scores from NGOs and donors because of more information that we get through"
234.92,241.16," accessing more testimonies, because we are able to record and report on more atrocities"
241.16,247.2," and crimes that are likely to happen, we accumulate records for such crimes and atrocities that happen,"
247.2,250.74," we get a better understanding and a better record on what actually happened,"
250.74,254.28, this is fundamentally important because it gets the region more
254.28,257.58, attention from NGOs who will likely support the civil society. And with the
257.58,261.28, fact that we get victim testimonies and the fact that we allow victims to
261.28,264.48, access the necessary platform in the first place to share their
264.48,266.22," stories and to share these experiences,"
266.6,270.82, this mobilizes individuals that are more sympathetic on our side of the house
