start,end,speaker
0.59,1.74,SPEAKER_03
2.21,5.46,SPEAKER_03
6.14,10.32,SPEAKER_03
10.8,14.04,SPEAKER_03
14.21,17.02,SPEAKER_03
17.11,17.18,SPEAKER_03
17.31,17.33,SPEAKER_03
17.34,17.83,SPEAKER_03
18.42,19.18,SPEAKER_03
19.59,19.77,SPEAKER_03
19.86,29.06,SPEAKER_03
29.07,61.15,SPEAKER_03
61.66,68.97,SPEAKER_03
69.44,72.04,SPEAKER_03
79.97,80.17,SPEAKER_03
80.96,83.34,SPEAKER_03
83.75,84.03,SPEAKER_03
84.64,85.03,SPEAKER_03
86.7,87.04,SPEAKER_03
87.97,88.03,SPEAKER_03
97.97,98.02,SPEAKER_03
112.92,115.03,SPEAKER_03
115.46,120.03,SPEAKER_03
120.37,121.06,SPEAKER_03
121.23,121.36,SPEAKER_03
121.45,121.58,SPEAKER_03
121.72,121.97,SPEAKER_03
121.99,122.0,SPEAKER_03
130.96,132.03,SPEAKER_03
132.28,139.0,SPEAKER_03
149.97,161.09,SPEAKER_03
161.17,163.38,SPEAKER_03
165.57,168.81,SPEAKER_03
169.08,176.46,SPEAKER_03
177.79,189.03,SPEAKER_03
189.42,200.03,SPEAKER_03
201.35,203.04,SPEAKER_03
203.05,203.58,SPEAKER_03
204.03,204.79,SPEAKER_03
204.94,255.54,SPEAKER_03
255.81,270.25,SPEAKER_03
260.31,260.75,SPEAKER_00
270.74,284.61,SPEAKER_03
284.97,285.03,SPEAKER_03
285.74,286.03,SPEAKER_03
292.22,292.24,SPEAKER_03
292.29,303.04,SPEAKER_03
310.97,315.09,SPEAKER_03
315.15,321.03,SPEAKER_03
322.73,323.04,SPEAKER_03
323.09,325.03,SPEAKER_03
325.09,325.23,SPEAKER_03
325.38,326.06,SPEAKER_03
326.71,327.03,SPEAKER_03
327.41,327.73,SPEAKER_03
328.6,328.71,SPEAKER_03
350.95,361.51,SPEAKER_03
360.58,360.92,SPEAKER_00
361.8,372.58,SPEAKER_03
372.68,382.15,SPEAKER_03
382.37,387.95,SPEAKER_03
387.95,388.04,SPEAKER_01
388.46,396.96,SPEAKER_01
390.27,390.54,SPEAKER_03
396.96,405.12,SPEAKER_03
405.23,407.43,SPEAKER_03
407.7,420.03,SPEAKER_03
445.95,447.37,SPEAKER_03
447.42,460.43,SPEAKER_03
461.28,462.03,SPEAKER_03
470.27,492.17,SPEAKER_03
493.17,512.2,SPEAKER_00
506.48,506.55,SPEAKER_06
512.52,538.16,SPEAKER_00
538.53,546.98,SPEAKER_00
547.35,567.82,SPEAKER_00
568.28,588.21,SPEAKER_00
588.97,617.99,SPEAKER_00
603.31,604.04,SPEAKER_01
604.04,604.11,SPEAKER_06
604.11,604.19,SPEAKER_01
618.5,628.08,SPEAKER_00
628.08,634.67,SPEAKER_04
635.41,650.07,SPEAKER_00
650.43,665.04,SPEAKER_00
655.61,655.69,SPEAKER_01
655.69,656.13,SPEAKER_06
665.53,673.33,SPEAKER_00
673.51,695.85,SPEAKER_00
696.19,703.45,SPEAKER_00
702.03,702.44,SPEAKER_06
704.11,724.37,SPEAKER_00
724.96,749.33,SPEAKER_00
739.92,740.03,SPEAKER_01
740.03,740.17,SPEAKER_06
749.33,755.85,SPEAKER_05
756.2,761.9,SPEAKER_00
762.22,817.19,SPEAKER_00
817.81,831.09,SPEAKER_00
828.32,828.83,SPEAKER_01
831.46,851.59,SPEAKER_00
852.2,915.25,SPEAKER_00
856.67,856.88,SPEAKER_01
887.39,887.4,SPEAKER_06
915.75,917.88,SPEAKER_00
917.93,937.08,SPEAKER_00
937.57,948.98,SPEAKER_00
949.4,960.93,SPEAKER_00
961.43,975.63,SPEAKER_00
977.01,1356.04,SPEAKER_05
1106.51,1106.59,SPEAKER_00
1106.59,1106.71,SPEAKER_02
1106.71,1106.85,SPEAKER_00
1211.35,1211.64,SPEAKER_00
1257.79,1257.83,SPEAKER_06
