start,end,text
0.0,6.0," Since the 1980s, the influx of tourists travelling to Barcelona has only increased."
6.0,10.0, It has been unchecked and not really regulated because of the illusion of economic benefit.
10.0,19.0, Over-tourism is something that is inherently harmful because it means that locals are pushed out of their own communities because of rapid gentrification.
19.0,25.8, Suppose that dollar signs that the opposition might tell you about clearly don't matter at the point at which individuals are marching in the streets of
25.8,30.4," Santorini and Barcelona telling tourists to go home, proud to propose."
30.4,32.4, A few arguments come into the problem.
32.4,36.2," The first is on why we benefit the economy, the second is on culture, and the third argument"
36.2,38.8, in the second speech is an argument around the environment.
38.8,40.4," Before that, what's our stance?"
40.4,42.8," One, we aren't banning tourism, that's absurd."
42.8,44.8, We're rather limiting the numbers in the industry.
44.8,54.0," We believe that any industry can have economic benefit, but it is the duty of the state to regulate against unchecked growth in order to ensure that the possible harms don't outweigh the possible benefits."
54.0,59.0," For clarity, we want tourism to not overshadow the carrying capacity that currently exists."
59.0,61.0, What then does our model look like? Five things.
61.0,67.8," A. It looks like establishing quarters, particularly during peak season. So for example, limiting the number of individuals that can access something"
67.8,72.68," like a tourist visa. It looks like how Greece's admins has put a cap to 20,000 individuals"
72.68,76.76," per day, down from historically with their number of 40,000. This significant reduction"
76.76,81.28, is going to be determined by states alongside relevant experts in the field. B. We're looking
81.28,84.82, to impose restrictions on tourist-centered accommodation. So this looks like how Berlin
84.82,91.0, has put a regulation on short-term rentals requiring a permit to be signed when you are apportioning the apartment in residential areas at a time.
91.0,96.0, C. We're looking to also support the implementation of additional premiums for specific areas.
96.0,101.0, So this looks like how Venice has an increased five-year fine for visiting Venice on day trips if individuals want to live in there.
101.0,105.28, D. We're also willing to support all other reasonable initiatives
105.28,107.76, to limit the number of tourists within these major destinations
107.76,110.4, and also prevent the inflation impact that currently exists.
110.4,114.0," Lastly, this cap would be determined from country to country basis,"
114.0,118.92, but it would be a cap determined on the basis of reducing the country's dependency on tourism.
118.92,121.6, That's what the most important thing in this debate is.
121.6,122.92, Second part of the strategy.
122.92,126.0, We're willing to trade off the constant influx of money for tourism
126.0,130.0," because of three reasons. One, government's responsibility to support local populations"
130.0,134.0, first and foremost because of social contracts. Hyper-tourism uniquely has a blanket form
134.0,137.0," to its individuals, and most instances the money from tourism doesn't actually go to"
137.0,140.0," locals and we're the ones who put the silver back into it. But two, tourists are still"
140.0,145.0," able to visit on our side, we're not completely undergoing the economic benefit that exists,"
145.0,147.0, we're just maintaining a lack of sustainability.
147.0,151.5," Third, access to tourism creates a dependency that forces governments to have pervasive interests."
151.5,155.5, So the idea that the government of Brazil is now likely to not have an incentive to face your vendors
155.5,159.5, because they have a reliance on slum tourism is something that they can never trade off on their side.
159.5,161.5, Arguing then as to how we benefit the economy.
161.5,163.5," Before I preach, I want to take a P.O.I."
165.44,169.04," Arguing then as to why we benefit the economy. Before I preach the argument, let's take a P.O.I. Arguing that as to why we benefit the economy. The framing here is very simple."
169.04,174.0, Unchanged tourism has led to harms to the domestic economy because oftentimes there is a prioritization
174.0,178.64, around the needs and comforts of wealthy tourists over the poor population. Why then do we have more
178.64,183.44," economy? Firstly, the allure of tourism is certainly that politicians often don't take the necessary"
183.44,189.0," means to regulating it until there's a critical tipping point, so private interest overshadows the domestic population's well-being."
189.0,208.0," Air gain across the world has led to increased demand for short-term rentals, increasing the general cost of living in city centres, which leads to a real human cost, at the point at which pensioners and local individuals can't out-compete with tourists in terms of like on a many reasons. That means then, it should likely do harm to these individuals and increase the prices of food in that area."
208.0,212.16," The minimum wage in Spain is a little over a thousand euros a week, but on average tourists"
212.16,217.6, in Madrid spend about a thousand euros. This leads to an enemy out-of-place and very veganization
217.6,222.08," impact out of volume. Secondly, there's a seasonality around the world. So tourism centers"
222.08,226.0, are in peak seasons where markets pop up and there's accommodation that's putting tourists out.
226.0,231.0," The seasonality is harmful because when tourism is allowed to grow unchecked, you create a dependency on the tourism."
231.0,234.0, That means then that out of season there's no real economic benefit.
234.0,238.0," This is especially important because even in the best case when they do provide jobs, those jobs are still on steam."
238.0,242.0, Particularly pernicious in the instances when the government needs incentivised mass training.
242.0,246.74, Because those are the types of things like hospitality training that are short-term in nature and they're very volatile.
247.14,250.76," Third, the massive gains from tourism on their side just leak out of the country."
251.0,255.56, Because MNCs are the largest corporations that have the ability to create large results on tourist destinations.
255.92,259.58, 70% of all of the money tourists spend in Thailand ends up leaving their country.
259.58,265.72," Because international allies don't benefit the local economy, local vendors often get bought out by MNCs looking to gentrify."
265.72,270.72, The reason as to why MNCs and leakage are inherent to scale and are a hand to mass tourism
270.72,275.18," is because they enable MNCs to gain more economies of scale, to keep prices low, and fundamentally"
275.18,277.8, is a greater likelihood of that happening on their side.
277.8,281.52," But even if leakage exists on either side, it is far worse on their side, because more"
281.52,287.84," and more people come into these local communities, making those economic issues far worse. Especially important in all points is going to make any"
287.84,291.12, argument about developing world economies that are worse for the opinion that they're likely to
291.12,295.68," be talking about. On our side, however, destinations in particular don't get overwhelmed. There's less"
295.68,299.84," inflation pressure on the poor and the middle class comparatively. One, locals are always going"
299.84,304.56, to outnumber tourists but they need to be able to live in cities that can have economic economy
304.56,308.8," to help the broader economy grow. Two, on our side, states can invest into more long-term,"
308.8,312.72," durable economic opportunities because when tourism decreases, it's likely other industries"
312.72,316.96, can grow because there's more utility that's provided. Even if gentrification occurs on our
316.96,321.28," side, it is still likely to be better because that gentrification is going to happen organically and"
321.28,328.0, not to be needed to have a lot of tourists. So you don't have MLCs pushing for rapid development and things like high-rise buildings. It's going to happen head-to-head to global.
328.0,334.0," On their side eventually, the appeal of the novelties is going to be let off. The country is going to be let off. No other means is sublimating that value."
334.0,347.0," Tourists are going to move on and the trade is going to be over, like we've seen in the Spanish islands. So that means then that you don't have the capacity for the country to build again. The impact of this argument is twofold. Firstly, we see this home existence in wealthy countries,"
347.0,349.0, and I think now regulation is an especially important
349.0,351.0, empowerment for developing nations that are
351.0,353.0, looking to become tourist hotspots.
353.0,355.0," Cape Town, a city in South Africa, has the most"
355.0,357.0, ABM visa in the world because of pro-business
357.0,359.0, government who want MNCs to buy up and construct new
359.0,361.0," tourist accommodations, leading to a vast"
