start,end,speaker
0.67,6.51,SPEAKER_00
6.93,13.45,SPEAKER_00
13.94,18.0,SPEAKER_00
18.24,37.9,SPEAKER_00
38.98,50.74,SPEAKER_00
51.09,53.49,SPEAKER_00
53.93,58.2,SPEAKER_00
58.57,131.5,SPEAKER_00
131.94,146.37,SPEAKER_00
146.4,165.46,SPEAKER_00
161.64,162.01,SPEAKER_01
165.68,177.49,SPEAKER_00
166.74,166.81,SPEAKER_06
177.84,201.03,SPEAKER_00
201.42,312.91,SPEAKER_00
201.43,201.79,SPEAKER_01
206.9,207.14,SPEAKER_01
313.21,314.31,SPEAKER_00
314.46,316.18,SPEAKER_00
316.59,317.1,SPEAKER_00
317.6,319.66,SPEAKER_00
319.9,329.06,SPEAKER_00
329.3,431.47,SPEAKER_00
412.78,413.4,SPEAKER_01
421.79,422.18,SPEAKER_01
431.54,482.66,SPEAKER_00
483.09,504.37,SPEAKER_00
505.93,554.04,SPEAKER_02
557.78,559.03,SPEAKER_02
559.23,559.25,SPEAKER_02
559.66,589.46,SPEAKER_02
590.5,670.04,SPEAKER_02
677.97,686.73,SPEAKER_02
686.81,687.03,SPEAKER_02
696.97,709.62,SPEAKER_02
710.16,710.87,SPEAKER_02
711.23,730.03,SPEAKER_02
733.03,771.72,SPEAKER_02
771.98,782.04,SPEAKER_04
782.04,814.1,SPEAKER_02
814.4,853.03,SPEAKER_02
853.1,877.85,SPEAKER_02
878.12,950.45,SPEAKER_02
950.85,999.28,SPEAKER_02
1003.1,1027.04,SPEAKER_04
1027.38,1103.35,SPEAKER_04
1103.64,1129.04,SPEAKER_04
1130.67,1273.98,SPEAKER_04
1208.89,1209.38,SPEAKER_00
1273.98,1281.82,SPEAKER_05
1281.82,1281.84,SPEAKER_04
1282.58,1306.81,SPEAKER_04
1307.02,1369.47,SPEAKER_04
1316.08,1316.16,SPEAKER_00
1357.05,1357.47,SPEAKER_00
1360.07,1360.71,SPEAKER_00
1361.25,1361.32,SPEAKER_00
1369.61,1408.59,SPEAKER_04
1377.05,1377.52,SPEAKER_00
1406.95,1407.27,SPEAKER_05
1409.6,1418.04,SPEAKER_05
1418.04,1418.05,SPEAKER_04
1418.05,1418.07,SPEAKER_05
1418.07,1418.09,SPEAKER_04
1418.09,1418.86,SPEAKER_05
1418.86,1418.88,SPEAKER_04
1419.07,1438.03,SPEAKER_04
1431.64,1431.91,SPEAKER_06
1438.22,1488.1,SPEAKER_04
1489.03,1489.6,SPEAKER_01
1489.65,1517.87,SPEAKER_01
1518.07,1561.46,SPEAKER_01
1562.07,1629.73,SPEAKER_01
1595.36,1596.66,SPEAKER_00
1596.86,1597.35,SPEAKER_00
1630.53,1679.06,SPEAKER_01
1679.73,1680.93,SPEAKER_01
1681.44,1710.75,SPEAKER_01
1710.97,1757.02,SPEAKER_01
1757.28,1762.37,SPEAKER_01
1762.78,1793.91,SPEAKER_01
1794.64,1802.2,SPEAKER_01
1802.42,1825.23,SPEAKER_01
1825.79,1869.43,SPEAKER_01
1869.88,1879.03,SPEAKER_04
1879.03,1879.45,SPEAKER_01
1879.45,1879.64,SPEAKER_04
1879.64,1932.69,SPEAKER_01
1933.06,1979.4,SPEAKER_01
1979.99,1980.03,SPEAKER_01
1980.3,1980.36,SPEAKER_01
1987.94,1988.02,SPEAKER_03
1988.13,1990.08,SPEAKER_03
1990.23,2012.05,SPEAKER_03
2012.14,2013.54,SPEAKER_03
2017.02,2018.96,SPEAKER_03
2019.12,2101.04,SPEAKER_03
2100.24,2100.31,SPEAKER_06
2101.24,2139.04,SPEAKER_03
2146.97,2147.05,SPEAKER_03
2147.41,2147.48,SPEAKER_03
2148.0,2148.72,SPEAKER_03
2148.98,2203.67,SPEAKER_03
2172.05,2172.21,SPEAKER_00
2185.17,2185.28,SPEAKER_06
2194.02,2194.03,SPEAKER_00
2194.03,2194.37,SPEAKER_06
2203.72,2262.19,SPEAKER_03
2218.33,2218.71,SPEAKER_00
2249.92,2250.28,SPEAKER_00
2261.23,2262.02,SPEAKER_01
2262.77,2267.37,SPEAKER_01
2267.66,2477.74,SPEAKER_03
2314.86,2315.23,SPEAKER_00
2317.64,2317.98,SPEAKER_00
2318.32,2318.52,SPEAKER_00
2347.11,2347.24,SPEAKER_00
2347.24,2347.28,SPEAKER_06
2347.28,2347.46,SPEAKER_00
2459.92,2460.14,SPEAKER_06
2479.0,2488.08,SPEAKER_05
2488.28,2490.04,SPEAKER_05
2491.05,2491.12,SPEAKER_05
2496.92,2497.02,SPEAKER_05
2499.96,2501.02,SPEAKER_05
2505.82,2551.02,SPEAKER_05
2539.03,2539.08,SPEAKER_00
2542.32,2542.64,SPEAKER_00
2559.97,2560.04,SPEAKER_05
