start,end,text
0.0,7.0," Art is a source of expression, a source of happiness for artists and people."
7.0,14.0," But at the same time, in the status quo, art is an inherently extremely fragile profession."
14.0,20.0," Because under the status quo, when there are only grants and fellowships, art is a lucky opportunity"
20.0,26.54," that is only granted to the richest, most lucky individuals who manage to get through these applications."
26.96,30.34," We believe on side proposition that art should be accessible,"
30.34,36.1," it should be enjoyed by all individuals, including those at the bottom of the social ladder."
36.5,37.7, So proud to propose.
38.88,43.28," My arguments for today is firstly on increased accessibility of art,"
43.7,45.56," and secondly, why fellowships hurt"
45.56,49.76, minorities disproportionately and why we're able to benefit those minorities
49.76,55.18," on our side. But before that two pieces on framing. Firstly, what does the"
55.18,60.12, implementation of this basic income policy look like? We think that this
60.12,64.38, basically looks like providing less than the basic income and only the basic
64.38,67.14, living expenses for these people.
67.6,73.48, The implication of this is that there will be no irrational opt-in from actors who don't really want to pursue art.
73.48,75.42, Because this is not a huge grant.
75.52,79.4, We are providing them with the basic necessities that they need to keep on living.
79.54,90.56," The people who will benefit from this policy are the people in the status quo who want to pursue art. But secondly, what is the definition of artist and who are the artists who will be funding?"
90.56,95.84," We think that there are two criteria. Firstly, that these people will basically have to have"
95.84,101.68," some, be making some sort of income from art. But secondly, that they have to be making art"
101.68,109.44, at some level of consistency. The implication of this is that this person who just made one song like 20 years ago
109.44,115.4, and has not made any songs since is simply not going to be able to continuously get money from this policy.
115.92,120.5," With that then, on to our first argument of increased accessibility on art."
120.5,122.48, There are two layers to this argument.
123.0,125.62," First layer, why under fellowship and grant"
125.62,132.32," programs in the status quo, not many people can access art in the first place. This is"
132.32,137.22," simply due to the fact that currently the art industry is very, very competitive, and"
137.22,141.98, you have to take down lots of competition in order to even get these grants in the first
141.98,146.6," place, which are incredibly limited. You do not know who gets these grants,"
146.6,151.6," because, especially so, since in order to get a grant,"
151.66,154.18, you need to pass these application processes.
154.18,155.92," What that means is that inherently,"
155.92,158.68," people who had access to money to go to art schools,"
158.68,161.76," who had money to access good paint brushes, good paint,"
161.76,164.18, who had money to be able to have the capacity
164.18,169.3, to have time to even create these art pieces or create great art pieces to send to the
169.3,173.56, application process. Only those rich and very privileged individuals can get
173.56,178.68, access to these grants and fellowships on our side of the house. We think this
178.68,183.38, is also extremely difficult for people to just balance the application
183.38,186.16, process with other things like applying for
186.16,190.24," your side jobs for example. So the implication of this is that poor people, especially those"
190.24,195.04," who need to do multiple jobs at the same time, are very very disadvantaged when it comes"
195.04,199.4, to applying for these applications because they cannot produce good enough quality art
199.4,204.6," to be the people at the top. Note that there's also no guarantee, again, even if you as a"
204.6,208.24," poor person are able to get a grant the first time, there's no guarantee that you'll be"
208.24,212.36, able to get a grant the second time and the third time because it is so competitive.
212.36,216.68," On that side, no thank you, we think that because of this, on that side, many"
216.68,219.92, people have to quit art in the first place because their paintings do not go
219.92,223.18, through the application process and they're not even able to get out into
223.18,228.92," the public sphere. We think that there are also people who pursue art because they're so passionate about art,"
229.1,233.5," but because they continue to pursue this, they are only depleting money from their pockets"
233.5,238.44," and going into the cycle of eternal poverty, not being able to get any money whatsoever."
238.86,243.04, This looks like the people who create mangas in Japan. We think that there are many people
243.04,249.36, who like to pursue mangas but simply cannot get enough income to sustain their basic necessities and they
249.36,254.94," keep but and yet they still keep on going. On the comparative, on our side, under our policy,"
254.94,259.88, everyone is able to get money. Every single artist is able to get money. So
259.88,264.26," on to later to them. What is the impact of this? The impact of this is twofold. Firstly,"
264.26,268.16, everyone who wants to pursue art can pursue art. And note that this is
268.16,272.54," incredibly important, Josh, because the characterization of these"
272.54,276.68, artists are that these people inherently want to pursue art because you wouldn't
276.68,281.18," be an artist if you didn't like doing art, right? So on that side, when we're"
281.18,284.8," actively taking away the opportunities to succeed, it's incredibly"
284.8,290.56, mentally harming and an inherent contradiction to that entire identity as an artist when
290.56,295.16, we think that we are able to give them the opportunities that they deserve to be given
295.16,296.72, on our side of the house.
296.96,301.32," But secondly, we think that we also are able to give money to those who continue to pursue"
301.32,301.62, art.
301.82,308.04," We think that on either side, due to passion, people will continue to pursue art. We think that we are uniquely able to give them the money"
308.04,311.94, and give them the basic necessities to be able to sustain themselves on our
311.94,318.42," side of the house. Before I go into my second argument, what do you mean by"
318.42,323.4, accessing art? We think that accessing art is basically the ability for artists
323.4,325.1," to be able to make profit from art,"
328.74,329.32," to be able to succeed from art, to be able to get self-sustainability from art."
332.62,333.32," Second argument then, why fellowships hurt minorities disproportionately."
335.04,335.36, There are three mechanisms of this.
339.96,343.6," Firstly, we think that in this stage, the government and the people who grant these fellowships is an amalgamation from people from majority communities, right?"
343.6,347.72, These people have intrinsic biases that lean towards that majority community.
348.04,351.42," For example, in Japan, that would be the very rich elitist at the top."
351.8,356.38," But you think that secondly, the fact that there's no objective metric"
356.38,359.46, to decide whether one piece of art is good or bad
359.46,363.68, means that people can very easily weaponize this lack of objectivity
363.68,365.38, and discriminate against minority
365.38,370.1," artists. This looks like, for example, in a very white-centric community, we think that"
370.1,375.6," if you can have a portrait of an Asian with a portrait of a white person, even if the"
375.6,379.84," skills and the art style that were used were the same, we think that the white person or"
379.84,389.04," the portrait of the white person is more likely to be granted access and to be granted fellowship. But thirdly, we think that even if the minorities are able to get"
389.04,393.32," through this application process, we think that they'll still cater to the majority"
393.32,398.84, perspective. We think that this is because they're dependent on the majority people
398.84,409.32," for that funding. What that means is that when people want to make movies about rape victims, they will not really depict the full brutality of it,"
409.32,414.0," and will not really blame men for it, and we think that they will downplay this to a significant extent."
414.22,426.16," This also looks like whitewashed paintings of racism that exist in the state's core, and can only get publicity under that brutal policy. The implication of this is that minorities cannot get runs,"
426.16,431.44," and even if they do, it's only for artists who downplay their social message."
431.44,433.44, So what is the importance of this?
433.44,435.44, The importance of this is twofold.
435.44,438.16," Firstly, on principle, we think that this is principally wrong."
438.16,441.36," We think that this is an inherently arbitrary way you are born,"
441.36,443.04," and what status you are born,"
443.04,449.28, so it is wrong for the state to actively endorse discrimination against certain groups of people. Just in the same way it is not
449.28,453.4, good for the state to actively fund white schools over black schools or white schools
453.4,457.84, over Latino schools. We think that it is simply wrong to take this policy or to further the
457.84,462.64," continuation of this policy. This policy should be for all. But secondly, we think that minority"
462.64,469.68," art in and of itself is extremely important, especially for those minorities, because it is simply very liberating for them"
469.68,473.86," to be able to express their anger, to express their oppression. We think that at the point"
473.86,477.58," in which the state is not allowing them to do this, we think that we should take this"
477.58,481.76, policy that allows minorities to at least be able to self-express themselves and make
481.76,491.12," an income from it. But lastly, we think that there are many societal implications of this. The fact that literary arts like the colour purple or"
491.12,497.04," music from artistic choice of art spread huge societal messages to the rest of society, we think"
497.04,501.04," that on that side, that is at the point in which you're not able to get the societal narratives out"
501.04,506.0," in the open. For all those reasons, proud to propose. Thank you."
512.2,516.3," Panel, their side falls because their own characterization and their own model rebut their own whole case. That's why I'm so proud to oppose. Before going to the setup and before going to the rebuttal,"
516.3,520.8," there's too many arguments to debate. Firstly, about how the government should be able to finance art"
520.8,525.68," with an extra social feedback, but secondly, about how we in our cyber are"
525.68,528.14, able to better help the artist.
528.14,531.94," Before going to a piece of setup, I'd like to introduce a piece of setup."
531.94,536.88," What they bring in their model is that for the person to be able to enter their program,"
536.88,542.08," this person needs to already be able to sustain itself in art, needs to already be able to"
542.08,545.76, make some profit out of the art. And then they claim to me
545.76,551.04, that they would be helping poor people and they would be helping those minorities because those
551.04,554.8," are the minorities and those are the poor people who are not able to produce art, because they are"
554.8,558.72," not able to sustain themselves, because they are poorer than they would be to actually have access"
558.72,563.44," to those things. I believe that this own model, this own characterization go against, because"
563.44,565.0," go against their own case, because"
565.0,569.0, now those people are already sustaining themselves and are already able to gain profit out of
569.0,572.0, the art they are producing. They don't necessarily need the help that the other side of the house
572.0,575.0," is giving, because they are already sustaining themselves, they are already gaining something"
575.0,581.0," out of their art. But secondly, their whole argument tries to prove to me about two things."
581.0,585.48," Firstly, about how art is a source of happiness, but secondly, about the other side of the house,"
585.48,589.54," and it's very, the market of art is actually very limited."
590.56,592.48, But they never explained to me why exactly
592.48,595.04, the government should give money to those people
595.04,596.8, because of those two reasons.
596.8,598.32," Because look, there's a lot of things"
598.32,599.76, who can bring happiness to people.
599.76,601.42," When debate brings happiness to me,"
601.42,603.48, that's not why and that's not a reason
603.48,608.8," that's why the government would give me money for me to be able to continue debating for the rest of my life. But secondly,"
608.8,613.4," they never proved to me why a market, a specific market being very limited and has a very high"
613.4,618.6," barrier of entry, the government should give money to those people to produce that. I think"
618.6,622.8," there's a lot of sectors in the economy, there's a lot of sectors in the workplace that are"
622.8,627.04, very limited and that have very high barriers of entry to the sources of art.
627.04,630.04, And I don't think that the government should be able to give money to all of those people
630.04,633.82, so they can actually enter those type of things in the market.
634.04,637.7, So let's actually understand how the comparative debate looks like.
637.88,640.64," The difference between the words, their role is about the artists."
640.92,644.66," They are now giving money to all of those artists, independent if their art are good"
644.66,646.0, or if their art are bad.
646.0,653.0," But secondly, our rule is about the artist's self. It is about the value that the art can aggregate to the role."
653.0,665.0," Because it is our sign that with more selective process, people are actually able to analyze the art and actually understand if the art is able to produce some social impact to society."
665.0,672.0," So let's understand why would that be affecting our side of the house, and who would be analyzing this art in our side of the house."
672.0,675.0," We believe that our government and organization, why does this mean?"
675.0,678.0," When we talk about government, it's not the president who would be analyzing that."
678.0,683.0," We're talking about colleges, universities, professionals inside the ministries of education, inside ministries of art,"
683.0,685.7, but we're also talking about independent organizations
685.7,692.7," who also have an interest in producing art, in supporting those artists. We're talking about independent organizations funded by other people."
692.7,699.7," All of that is who is funding the art on our side of the house, and all those people will be analyzing the quality of their art on their side of the house."
699.7,707.1," It's very difficult for them to be able to claim that they will be able to analyze the quality of the art and the social impact that art has, because as the new infoslide says, they"
707.1,709.44, will be financing all artists in their side of the house.
711.24,714.6, And how is the process in our side of the house and why is it so effective?
714.74,718.96," They will be analyzing which project this is, how does this project look like, is it"
718.96,722.48," a theater, what is the social impact of that theater, how much money will it cost?"
722.58,726.5, All of those things will be analyzed in order to be able to analyze the quality of their life.
726.5,731.5," So now let's understand about in our side of the house, we are actually able to generate more social impact."
731.5,737.5, Why? We believe that art in our side of the house and the art that the government is putting should necessarily have a social impact.
737.5,743.5," Because the money that the government is giving to the art is the money that comes from the people, comes from the thanks of the people,"
743.5,748.0," and the money that people are giving and the public, the general public, is giving to the government."
748.0,754.0," Therefore, the money that the government allocates must generate some social impact to the general public as well."
754.0,760.0," If their point is based on the fact that art is a passion of someone, and therefore someone is producing art at their house"
760.0,764.0," and is producing a paint in their house and is not generating any social impact,"
764.0,766.4," I don't see why the government in Australia should give money to that,"
766.4,769.2, since the government would not be taking money from the general population
769.2,771.8," and giving it to a very specific thing, yes, except for POI."
