start,end,speaker
0.89,12.03,SPEAKER_02
1.16,2.02,SPEAKER_00
12.15,39.15,SPEAKER_02
39.94,49.2,SPEAKER_02
42.74,42.81,SPEAKER_00
49.68,54.12,SPEAKER_02
54.39,68.1,SPEAKER_02
54.49,55.2,SPEAKER_00
56.65,56.75,SPEAKER_00
68.17,69.57,SPEAKER_02
68.27,68.63,SPEAKER_00
69.79,82.62,SPEAKER_02
74.01,74.03,SPEAKER_00
74.03,74.6,SPEAKER_06
74.6,74.65,SPEAKER_00
75.38,75.99,SPEAKER_06
77.39,77.59,SPEAKER_00
83.11,134.86,SPEAKER_02
135.06,138.03,SPEAKER_02
138.03,138.09,SPEAKER_01
138.42,144.8,SPEAKER_01
144.8,146.93,SPEAKER_02
147.55,166.52,SPEAKER_02
147.69,147.91,SPEAKER_01
167.33,269.09,SPEAKER_02
178.26,178.32,SPEAKER_00
178.33,178.8,SPEAKER_00
185.37,186.03,SPEAKER_00
186.63,186.97,SPEAKER_00
188.79,188.96,SPEAKER_00
189.03,189.08,SPEAKER_00
202.28,202.63,SPEAKER_00
209.72,210.63,SPEAKER_00
229.29,230.48,SPEAKER_06
230.48,230.54,SPEAKER_00
248.48,248.79,SPEAKER_03
256.75,256.89,SPEAKER_00
261.76,262.03,SPEAKER_00
269.47,273.25,SPEAKER_02
273.56,367.45,SPEAKER_02
276.48,276.53,SPEAKER_06
294.62,295.83,SPEAKER_00
298.52,299.04,SPEAKER_00
299.07,299.09,SPEAKER_00
316.74,317.06,SPEAKER_00
360.84,361.97,SPEAKER_00
367.91,434.76,SPEAKER_02
388.11,388.48,SPEAKER_01
434.83,495.14,SPEAKER_02
434.92,434.93,SPEAKER_06
434.93,435.27,SPEAKER_00
446.16,446.53,SPEAKER_00
460.09,460.92,SPEAKER_06
495.41,505.42,SPEAKER_05
505.89,529.72,SPEAKER_05
530.04,653.26,SPEAKER_05
532.25,532.47,SPEAKER_04
572.14,572.92,SPEAKER_00
577.02,577.34,SPEAKER_00
577.8,577.97,SPEAKER_00
579.59,580.02,SPEAKER_00
580.02,580.16,SPEAKER_06
580.16,580.19,SPEAKER_00
580.19,580.23,SPEAKER_06
580.23,580.45,SPEAKER_00
644.81,645.25,SPEAKER_00
651.34,651.96,SPEAKER_02
653.33,653.45,SPEAKER_05
653.45,653.65,SPEAKER_02
653.65,653.73,SPEAKER_05
653.73,653.77,SPEAKER_02
653.77,653.79,SPEAKER_05
653.79,653.82,SPEAKER_02
654.17,661.29,SPEAKER_02
661.01,844.49,SPEAKER_05
683.03,683.05,SPEAKER_00
683.05,683.65,SPEAKER_06
694.44,695.03,SPEAKER_00
717.13,717.15,SPEAKER_00
718.21,718.55,SPEAKER_00
718.97,719.8,SPEAKER_00
743.7,743.76,SPEAKER_06
772.32,773.06,SPEAKER_00
781.92,782.44,SPEAKER_00
798.88,799.48,SPEAKER_00
801.26,801.42,SPEAKER_06
801.42,801.64,SPEAKER_00
845.1,860.72,SPEAKER_05
860.98,893.53,SPEAKER_05
870.88,871.17,SPEAKER_00
881.29,881.94,SPEAKER_00
889.14,889.73,SPEAKER_06
892.53,892.58,SPEAKER_06
894.19,901.17,SPEAKER_05
894.59,895.35,SPEAKER_06
898.34,900.41,SPEAKER_06
901.39,1003.42,SPEAKER_05
902.03,903.94,SPEAKER_00
907.21,907.7,SPEAKER_06
915.43,915.67,SPEAKER_00
925.39,925.56,SPEAKER_00
954.53,954.7,SPEAKER_00
954.97,955.07,SPEAKER_00
955.07,955.26,SPEAKER_06
955.26,955.39,SPEAKER_00
961.6,962.48,SPEAKER_06
964.54,964.59,SPEAKER_00
964.61,965.21,SPEAKER_00
965.21,965.3,SPEAKER_06
965.3,965.45,SPEAKER_00
990.07,990.21,SPEAKER_00
990.21,990.22,SPEAKER_06
990.22,991.37,SPEAKER_00
991.59,993.58,SPEAKER_00
995.34,995.52,SPEAKER_00
1004.14,1004.23,SPEAKER_05
1004.23,1006.73,SPEAKER_04
1007.11,1017.14,SPEAKER_04
1017.83,1021.74,SPEAKER_04
1022.23,1025.47,SPEAKER_04
1025.56,1028.75,SPEAKER_04
1029.91,1031.26,SPEAKER_04
1032.48,1047.24,SPEAKER_04
1047.73,1050.43,SPEAKER_04
1049.42,1049.54,SPEAKER_00
1049.54,1049.71,SPEAKER_06
1049.71,1049.79,SPEAKER_00
1050.74,1056.64,SPEAKER_04
1056.88,1063.88,SPEAKER_04
1064.37,1066.72,SPEAKER_04
1067.24,1070.97,SPEAKER_04
1071.59,1153.05,SPEAKER_04
1153.47,1213.55,SPEAKER_04
1159.33,1159.93,SPEAKER_06
1211.18,1211.93,SPEAKER_00
1213.63,1232.07,SPEAKER_04
1232.43,1235.84,SPEAKER_04
1236.28,1268.29,SPEAKER_04
1269.08,1280.44,SPEAKER_04
1280.69,1298.04,SPEAKER_04
1292.4,1292.42,SPEAKER_06
1298.11,1298.51,SPEAKER_04
1298.38,1299.03,SPEAKER_06
1299.03,1299.07,SPEAKER_04
1299.09,1320.94,SPEAKER_04
1304.92,1305.21,SPEAKER_06
1317.82,1317.85,SPEAKER_06
1321.36,1326.63,SPEAKER_04
1327.22,1356.12,SPEAKER_04
1354.0,1354.05,SPEAKER_00
1354.05,1354.2,SPEAKER_06
1354.2,1354.38,SPEAKER_00
1356.93,1359.08,SPEAKER_04
1358.37,1358.54,SPEAKER_06
1359.26,1385.1,SPEAKER_04
1385.37,1395.21,SPEAKER_04
1395.96,1399.74,SPEAKER_04
1399.9,1466.03,SPEAKER_04
1429.5,1430.24,SPEAKER_00
1439.08,1439.1,SPEAKER_06
1439.15,1439.25,SPEAKER_06
1444.63,1445.05,SPEAKER_06
1449.32,1449.85,SPEAKER_06
1466.15,1501.08,SPEAKER_04
1501.4,1522.63,SPEAKER_01
1523.08,1532.21,SPEAKER_01
1532.3,1567.48,SPEAKER_01
1538.29,1539.01,SPEAKER_00
1539.93,1539.94,SPEAKER_00
1561.27,1561.76,SPEAKER_00
1567.75,1669.32,SPEAKER_01
1603.51,1604.05,SPEAKER_00
1604.61,1604.66,SPEAKER_00
1635.59,1635.69,SPEAKER_00
1669.37,1742.34,SPEAKER_01
1685.98,1686.01,SPEAKER_00
1702.11,1702.53,SPEAKER_00
1702.85,1703.02,SPEAKER_00
1742.8,1758.29,SPEAKER_01
1755.25,1755.64,SPEAKER_02
1758.54,1766.25,SPEAKER_01
1766.37,1857.66,SPEAKER_01
1775.75,1775.8,SPEAKER_06
1793.71,1794.47,SPEAKER_00
1798.32,1798.37,SPEAKER_00
1798.48,1798.5,SPEAKER_00
1798.65,1798.69,SPEAKER_00
1798.75,1798.77,SPEAKER_00
1815.85,1816.41,SPEAKER_00
1822.01,1822.16,SPEAKER_00
1839.52,1839.57,SPEAKER_00
1839.57,1839.63,SPEAKER_06
1839.63,1839.69,SPEAKER_00
1842.9,1843.03,SPEAKER_06
1843.03,1843.44,SPEAKER_03
1846.26,1846.27,SPEAKER_06
1846.27,1846.7,SPEAKER_03
1846.7,1846.73,SPEAKER_06
1858.0,1871.37,SPEAKER_04
1870.83,1969.65,SPEAKER_01
1951.98,1952.1,SPEAKER_00
1952.1,1952.15,SPEAKER_06
1952.15,1952.23,SPEAKER_00
1959.74,1959.76,SPEAKER_00
1965.26,1965.65,SPEAKER_00
1969.71,2006.99,SPEAKER_01
2007.09,2007.14,SPEAKER_03
2007.14,2007.26,SPEAKER_01
2007.26,2007.9,SPEAKER_03
2007.9,2007.97,SPEAKER_01
2007.97,2211.26,SPEAKER_03
2015.63,2015.95,SPEAKER_06
2016.58,2016.86,SPEAKER_06
2027.95,2028.14,SPEAKER_00
2033.35,2033.54,SPEAKER_01
2036.57,2036.79,SPEAKER_01
2038.94,2039.26,SPEAKER_01
2075.66,2076.58,SPEAKER_01
2106.0,2106.27,SPEAKER_00
2116.56,2117.07,SPEAKER_06
2117.07,2117.13,SPEAKER_00
2118.75,2118.87,SPEAKER_00
2118.89,2118.92,SPEAKER_00
2119.68,2120.1,SPEAKER_00
2122.35,2122.43,SPEAKER_00
2132.58,2132.63,SPEAKER_00
2132.63,2132.96,SPEAKER_02
2143.26,2144.17,SPEAKER_00
2150.19,2150.29,SPEAKER_00
2152.44,2152.45,SPEAKER_00
2152.45,2152.59,SPEAKER_06
2152.59,2152.69,SPEAKER_00
2160.35,2160.49,SPEAKER_05
2169.16,2169.36,SPEAKER_00
2202.45,2203.97,SPEAKER_06
2203.97,2204.33,SPEAKER_00
2204.58,2204.8,SPEAKER_00
