start,end,text
0.0,5.0, It is merely a myth that colonialism is a relic of the past.
5.0,12.0," France continues to exploit and steal from the pockets of West African citizens, forcing them to work below minimum wage."
12.0,18.0, Pre-colonial French tendencies continue to suck up uranium in Niger and plunder crude oil in Gabon.
18.0,24.0," It pulls the strings of West African politics through overthrowing democratically elected leaders,"
24.0,25.24," orchestrating coups, and"
25.24,30.64, paying bribes in favour of pro-French leaders like Ali Gawang in exchange for control and
30.64,35.32," natural resources. On Team Japan, we say it is time to tell them that we are no longer"
35.32,38.9, going to tolerate this exploitation. We are extremely proud of those.
39.66,44.32," A few points on set-up before we finish up three arguments. First, on principle. Secondly,"
44.44,47.68," on how we get economic development, thirdly on how we get"
47.68,49.8, regional stability in the region.
49.8,51.04, A few points on set up.
51.04,54.48, What does the French exit look like and what is the French exit?
54.48,59.68," France's exit from West Africa is a combination of military exit, political exit and economic"
59.68,63.52, exit that has occurred since Macron's admissions office in 2017.
63.52,66.42," This is independence, this is kicking out French corporations."
66.42,68.32, This is removing the French military.
68.32,69.92, What is the comparative then?
69.92,72.24," In Proposition's world, after the French exit,"
72.24,74.44," we think that power over politics, the economy,"
74.44,77.16, and the military falls into the hands of local governments
77.16,79.5, who actually affect citizens' interests.
79.5,80.7," This is factually true,"
80.7,83.16, but what are the structural reasons for this?
83.16,88.14," Firstly, West African citizens value democracy above anything else, driven by generational"
88.14,93.12, trauma from colonial rule and a strong desire for autonomy and dignity following their recent
93.12,94.12, independence.
94.12,98.62, Look how 67% of West Africans say they prefer democracy over any type of rule.
98.62,102.44," Secondly, but even in countries with weaker democracies, they are likely to transition"
102.44,106.56," to civilian rule because a general general international pressure, b."
106.56,111.2," ECOWAS military interventions, all military juntas in West Africa have set up plans to"
111.2,114.32," transition to civilian rules in the next five years, c."
114.32,118.96," when one country democratizes, it opens up its democratic media and imposes a trickling"
118.96,122.88, which can force other countries to transition into civilian rule as well.
122.88,124.64, What do we support on our side then?
124.64,128.56," Firstly, we still support trade with other countries including France, but secondly,"
128.56,132.64, what we do not support on our side is the military presence of France and countries
132.64,136.56," having governments avoided by France. Two arguments from the proposition then,"
136.56,140.48," but for that I'll take your view on it. If it is so true that people know what they want,"
140.48,145.24, why is there an increase in the number of of military juntas who always claim that they're half-Japans?
145.24,151.62," Yeah, so the thing is that not only the military juntas reflect the people's opinions, people"
151.62,155.38," sometimes form military juntas instead, but the fact of the matter is that people want"
155.38,158.26, democracy over anything else in the first instance.
158.26,161.88," First argument then, on why the continued presence of France in West Africa is principally"
161.88,162.88, unjust.
162.88,167.24, The first thing is that status quo is an extension of colonialism.
167.24,171.84, France continues to exploit West Africa by sucking up resources and staying inside the country.
171.84,175.84," Most importantly, citizens of West Africa deeply resent France's colonial legacy."
175.84,181.5," For decades, they have demanded France's exit, elected anti-French leaders, and protested outside French embassies."
181.5,185.24, France's continuous dominance against their will is by definition full of illicit.
185.24,188.24, But why does this principally necessitate France to exit West Africa?
188.24,193.24," There are two independent reasons why France's presence is principally wrong, if either of"
193.24,195.24," them stands, France ought to be."
195.24,198.24," Firstly, France possesses something that is not rightfully deserved."
198.24,201.24, We think when France benefits heavily from things which they have unfairly gained from
201.24,203.24," West Africa, that is theft."
203.24,207.76," We think theft is inherently unjust, regardless of whatever benefits side opposition may want"
207.76,209.76, to talk about their two implications.
209.76,213.88," A. Analogously, we don't take so much talent away from them because we can take care of"
213.88,214.88, the talent better.
214.88,219.24," In the case of France, it is an inmate breach of property rights that is euphemized by economic"
219.24,220.24, growth.
220.24,224.24, But B. Speculative future impact is irrelevant consideration from repugnation.
224.24,225.62, Any future consideration
225.62,230.32," like the potential of corrupt whacking group, which may you want to talk about, is hypothetical"
230.32,235.96," and is not critically legitimate grounds to undo any past damage. For example, all companies"
235.96,240.24, would not be excused from compensating disliked villagers just because there is a potential
240.24,244.12, that someone else that is evil might do the same. Given that France's mere presence in
244.12,246.34," West Africa and other countries was unjustly acquired,"
246.56,248.2, it is only fair that they exit altogether.
248.52,250.58, Note that this principal reason is not contingent
250.58,251.8, on any practical outcomes.
252.1,254.74," This, in and of itself, requires France to forfeit"
254.74,256.22, its rule because it is not deferred.
256.4,258.12, The second reason is that France exiting
258.12,261.22, is the best method to maximize the agency of individuals.
261.8,264.22, West African countries are currently mere puppets
264.22,269.56," whose strengths are controlled by France, and the best way for them to be free is to be cut those strings."
269.56,274.56, France has systematically maintained a power imbalance within the citizens of West Africa
274.56,280.76," for two reasons. A, massive military capabilities, political lobby to endorse specific politicians,"
280.76,285.94," selfless incentives to select which projects to do, uniquely makes the voting power, taxing benefits,"
285.94,288.2, and voices of the citizens not be heard.
288.2,290.48," Therefore, the best form of reciprocal power"
290.48,294.04, that citizens can obtain by France exiting West Africa
294.04,296.34, and then being able to channel their voting rights
296.34,298.42, and political preference into actual action
298.42,301.66, by deciding which local political party to stand behind.
301.66,304.5," For those reasons, France must be West Africa."
304.5,309.0," Moving on to the second argument then, on why we get economic development in West Africa."
309.0,314.0," This comes in two layers. First layer, why the presence of France has stunted West African"
314.0,318.0," economic development. During the colonial era, France set up economic systems that enabled"
318.0,323.0, it to dominate West African countries' economies and make West African countries overly reliant
323.0,327.8, on France. France has created a system that never allows for these countries to grow in any way whatsoever.
327.8,331.2," After the French exit, we get economic development for two main reasons."
331.2,334.7," One, though, the abolition of the CFA-Franc."
334.7,338.3, There are three main problems with the CFA-Franc that still linger to this day.
338.3,346.34," A. France requires a massive portion, nearly 70% of Africa's nation's reserves, to be stored in a French treasury, inaccessible to African nations."
346.34,348.04," B, it instills instability,"
348.04,350.5, because nations cannot control their own currency.
350.5,352.0, They cannot control interest rates
352.0,354.04, and control inflation and stuff like that.
354.04,356.12," C, the currency is tied to the Euro,"
356.12,357.92," which leads to extreme appreciation,"
357.92,360.84, and therefore decreased exports and more expensive imports.
360.84,363.18, This is like when Senegal couldn't export their rice
363.18,367.24, anymore because the price of them increased so much that Thai rice outcompeted them.
367.62,374.12, The abolishment of the CFA franc and the shift to a more local currency can change this as they get more control over their own currency
374.12,380.24, and have a currency that is more proximate to their area. Also due to mounting anti-trust sentiment in West African countries and
380.56,385.78," multiple regress from West African regimes, France abolished the French Foreign Reserve Policy."
385.78,390.0, This led to countries like Senegal being able to enact huge macroeconomic policies worth
390.0,393.08, more than $2 billion during the COVID-19 crisis.
393.08,396.76," The implication is that countries have more access and control of their own money, which"
396.76,399.18, wouldn't have happened without the exit of France.
399.18,403.32, The second reason is the exit of exploitative French companies.
403.32,406.18, Numerous French MNCs take advantage of the systems
406.18,408.34, that they established during the colonial era
408.34,409.78, to extract disportionate benefits
409.78,411.18, from West African countries.
411.18,413.78," For instance, the French-owned state-owned company"
413.78,416.48, ran away more than Niger's entire annual budget
416.48,418.18, by selling off Niger's uranium.
418.18,419.62, This means that French companies
419.62,422.18, use a pre-established industrial dominance
422.18,424.66, to block competitions like foreign direct investment.
424.66,428.76, This also means that French companies create cheaper and better products which stamp out
428.76,429.76, local industries.
429.76,434.12, This is terrible for West African countries as it is uncertain when France will stop funding
434.12,435.12, the region.
435.12,439.16," In the comparative, there is decreased exploitation as there is increased competition."
439.16,443.76," Under French rule, the French do not allow for any competition and block other countries"
443.76,445.8, from coming in using the first movement of the package.
446.08,450.56," In the comparative, we think that West African countries can pick and choose from which country"
450.56,451.46, to cooperate with.
451.62,454.3, This is because there is likely to be competition between nations.
454.64,458.72," Most Western nations and countries like China have incentive to come in due to, one, the"
458.72,462.38," abundance of resources, and secondly, the incentive to block each other's influence."
462.38,466.76," In the past, France created a dictatorship where countries could only obey."
466.76,470.88," Uniquely on our side, we give West African countries more choices to choose from."
470.88,475.38, It is obviously whichever option that these West African countries take is the one that
475.38,476.38, we'd best offer.
476.38,480.24, Look how ivory coast has a GDP of one-third of that in 1978.
480.24,484.62, Cameroon and Congo have never reached this high GDP since the 80s due to their problem
484.62,485.5, on their side.
485.5,490.3," To conclude, in the past, colonisation used to come through tanks, but now it comes through banks."
490.3,494.5, We are extremely proud to stand for the side that cares about people. So proud.
495.5,498.5, The Bank's opposition's name here is simple.
498.5,505.0," France has a reparative obligation, and they think that the only way to fulfill that obligation is for them to"
505.0,510.0, leave West Africa entrenched in its current problems and just let go.
510.0,512.0, We think that this is simply unfair.
512.0,517.0, You being able to escape the ramifications of the problems that you have caused is not
517.0,518.0, justice.
518.0,519.0, It only benefits you.
519.0,524.0, We think that instead the only way to fulfill this reparative obligation is to stay there
524.0,525.0, and fix the mess
525.0,530.0, that you've made because it is your mess to fix and it exclusively belongs to you.
530.0,534.0," First, I'll be starting with some responses. In the context of responses, I want to forward"
534.0,538.0, two broad ideas. The first being that the comparative that side proposition is going
538.0,542.0, to end up with is worse. The second being that the only way to fulfill Francis' obligation
542.0,547.0, is for them to stay if their messaging doesn't look good anyway. Starting. Statenburg is proving that they can bear it in this verse.
547.36,551.72, Their first claim to victory here is that this is merely speculation and none of this
551.72,552.54, is likely to happen.
552.9,554.8, We tell you this is not merely speculation.
555.14,557.06, It has already begun to happen in Mali.
557.34,559.04, It has already begun to happen in Niger.
559.4,562.72, As the military government has sought ties with the Russian government to support their
562.72,567.0," regime, we've already seen some of these effects measures which means that this year lots of"
567.0,568.0, whom are hypotheticals or speculations.
568.0,573.0, This is dangerous and we are seeing these countries become dependent on Russia for military
573.0,574.0, support.
574.0,575.0, What happens in this scenario?
