id,start_sentence_index,end_sentence_index,text,role,start_time,end_time,confidence
1,0,7,"All right, before my speech, my name is Ahisa Chow, I'm from EDI, I'm an institution, so nice to meet you guys. And my gender pronoun is Shihua, and if I have any viewpoints, please stand up, I'm not forcing out. All right. I'm going to start my speech in three, two, one, start. Social media gave us a voice, and this is going to help the weakest people in the society. Very happy to oppose this motion. So I'm going to start with some rebuttal against the government side, and then I will move on to my extension of our House.",introduction,13.7,50.7,
2,8,24,"So firstly, on how they are mentioning about how this echo chamber is going to harm most of the people, I want to mention one thing first. So first of all, most of the people are not using social media for 18 hours a day. Most of them are not influencers. Most of the people are ordinary. They are using social media in a very ordinary way. Maybe they're texting to their family, maybe they're texting to their friends, maybe they're sending them Snapchat or Instagram or TikTok or something like that. But most of the people do not use it like that. So that's one thing. And second of all, I want to say that how different is that echo chamber going to be from the society which has been existing for years, right? So government's argumentation was like, this is an enforced echo chamber, so you're not going to accept any other opinions or any other point of view. But I believe that that is a total lie, because let's say even without social media, you're still only going to interact with a very small amount of people. It could be your family member, it could be your community member, it could be your friends or someone like that. And I do not think they have that much diversity during their daily conversation. If you live in, let's say, a conservative area, probably your idea will be followed with a conservative idea. And I do not think this social media is going to make it worse. I believe that it's actually going to have a better perspective for that person. And I'm going to add some more points on my argumentation later.",independent_rebuttal,51.2,135.6,
3,25,39,"And my second rebuttal is about the misinformation. So even though I'm mentioning that, they do not like censorship, that kind of like all the fake news, so we can't stop it from spreading and stuff like that. However, since social media has happened only 10 years or something, it's still on its way to improvement. Let's say censorship is getting better and better every year. For example, there was no censorship maybe five years ago or something. But now, when you look at some extreme content, there's always this report button. And when you push that button, maybe they have like, is it sexual content? Is it hate speech? Is it too political? Is it extreme? Is it bullying content or something like that? And when you push the button, there are so many other people who do that as well. And that kind of content is supposed to be deleted in this status quo. So you can't say censorship is not enough because it's getting better and better. And you have to actually think about what is the benefit that social media has brought to us in the past 10 years.",independent_rebuttal,136.0,193.4,
4,40,51,"And my third rebuttal is about this superficial communication, which is going to rain rod or maybe superficial communication that is going to be less quality of human relationship. Yes, meta meta point about how this is going to make this world a little bit shabbier, I would say. But first of all, it's better than nothing. Let's say you're an immigrant, let's say you're bullied at school, let's say you're a sexual minority at school, so you do not have anyone to talk to. In that case, this kind of superficial communication would be better than nothing. And second of all, like la booboo or matra kind of things, you're going to feel left out if you don't follow the content. Yes, there could be something like that. But that kind of thing is mostly coming from mass consumption kind of culture. So even without this kind of social media, there will be TV, there will be a newspaper or something like that. And they will also show you that kind of advertisement. And this kind of trend will still exist. So I believe that even without social media, la booboo would still exist.",independent_rebuttal,193.4,258.2,
5,52,63,"OK, let me move on to my extension. So my little opposition has proved you how this is going to make a change to society. You can gain more knowledge, you can get more social movement or something like that. And I'm going to add some more points about it. So first of all, the safe space. So as I mentioned in a previous rebuttal, let's say you're bullied at school. Let's say you're a sexual minority in a conservative area. Let's say you're an immigrant, freshly come to Japan from Korea, have no one in your area or something like that. And you are going to feel extreme loneliness and significant anxiety every day of your life. And in these cases, feeling no one will understand you is significant. This is going to kill you. So in these cases, just having someone who's someone you can talk to or maybe you can connect to your family or maybe like private conversation, like because you can use an anonymous account or something like that, will be an extreme relief from your pain on daily levels.",point_of_main_argument,258.4,314.6,
6,64,71,"And second of all, about the social movement. So without the social media, if you're not going to use social media, but you still want to do social movement, probably you have to have some physical campaigning. Probably you have to do some lobbying, spending money. Or maybe you have to have some connection towards mass media, like newspapers or something like that. And for the people who want to make some changes, let's say young or painful, very angry people, these kind of things are extremely hard physically. You do not have connection. You do not have money.",point_of_main_argument,314.9,345.1,
7,72,81,"So three mechanisms here. Why is it going to be easier for us to make some social movement? First of all, it's easier to spread. It's easier to raise up on because now you have social media to ask people to give you more fundraising or something like that. It's really easier to gain followers or supporters because for people, it's much lower to join in that kind of social movement, as Gatong-san has mentioned. So you do not have to pay the money or something. You do not have to join the riot or something. You actually have to just push the follow button and push some nice comments. And that will be really easier for people to spread.",point_of_main_argument,346.7,379.9,
8,83,85,"For every minority social media content, there's probably 10 times more conservative populist content to actually help the discourse. Your spread benefit also works for the majority. Why is it going to be beneficial?",poi,381.0,390.7,
9,86,86,"Yes, actually, thank you for my introduction for my next point.",point_of_main_argument,390.7,394.6,
10,87,94,"So second of all, it's easier to acknowledge the movement. Let's say, yes, exactly, conservative content. There's a lot of conservative content that is kind of accusing the LGBT movements or something. However, what's so different about in the real situation? The thing is, let's say you saw some Me Too movement on the contents. Maybe the number of the people who's joining the Me Too movement will be small in a real life. However, at least you know that there's people who's protesting against this injustice. And that is going to be a huge help for the people who's already suffered in a daily life. And this kind of acknowledgement would be great relief for those people who's already suffering as a minority on a daily basis.",point_of_main_argument,394.6,435.2,
11,95,98,"And third of all, this is going to lead to a quicker movement. What do I mean by this? So without social movement, using social movement, it's really hard to even spread your idea or even gain a fundraiser or something like that. However, with the social media, it's going to be much easier for you to actually achieve the movement or it's going to be much easier for you to let the politicians know, let your citizens know about this kind of things.",point_of_main_argument,435.2,457.3,
12,99,103,"So the impact of this argument is clear. First of all, it enables change because now more and more people can easily get this kind of information. And second of all, this is going to emotionally support the minorities and that is going to have a mental benefit for the people who's always suffering in society and the weakest people in the world. Very happy to have those. Thank you.",point_of_main_argument,457.3,479.2,
