start,end,text
4.26,4.34, A
4.34,4.66, debate
4.66,5.08, is
5.08,5.22, a
5.22,5.68, discussion
5.68,6.0, of
6.0,6.12, a
6.12,6.4, theme
6.4,6.72, or
6.72,7.22, question
7.22,7.7, between
7.7,8.14, two
8.14,8.48, or
8.48,8.82, more
8.82,9.94, interlocutors.
11.02,11.14, In
11.14,11.28, a
11.28,11.62, formal
11.62,12.38," debate,"
12.38,12.8, the
12.8,13.14, theme
13.14,13.4, or
13.4,13.86, question
13.86,14.3, is
14.3,14.52, called
14.52,14.72, a
14.72,15.34, motion.
16.0,16.14, The
16.14,16.46, motion
16.46,16.74, is
16.74,17.22, usually
17.22,18.02, controversial
18.02,18.94, and
18.94,19.16, has
19.16,19.44, no
19.44,19.86, clear
19.86,20.18, or
20.18,20.58, correct
20.58,21.36, answer.
22.22,22.36, An
22.36,22.8, example
22.8,23.0, of
23.0,23.14, a
23.14,23.48, motion
23.48,23.78, might
23.78,24.14, be
24.14,25.24, everybody
25.24,25.86, should
25.86,26.1, get
26.1,26.8, universal
26.8,27.42, basic
27.42,28.26, income.
29.5,29.58, The
29.58,29.74, two
29.74,30.2, teams
30.2,30.46, will
30.46,30.66, then
30.66,31.2, argue
31.2,31.62, for
31.62,31.98, or
31.98,32.44, against
32.44,32.74, the
32.74,33.64, motion.
34.18,34.28, The
34.28,34.64, party
34.64,35.12," for,"
35.12,35.66, or
35.66,35.88, in
35.88,36.24, favour
36.24,36.66," of,"
36.66,36.74, the
36.74,37.14, motion
37.14,37.7, is
37.7,37.98, called
37.98,38.2, the
38.2,39.22, proposition.
39.78,39.88, The
39.88,40.26, party
40.26,40.92," against,"
40.92,41.6, or
41.6,42.16, opposed
42.16,42.72," to,"
42.72,42.8, the
42.8,43.22, motion
43.22,43.78, is
43.78,44.0, called
44.0,44.16, the
44.16,45.54, opposition.
46.16,46.38, Each
46.38,46.66, team
46.66,46.9, is
46.9,47.32, usually
47.32,47.62, given
47.62,48.12, equal
48.12,48.58, time
48.58,48.92, to
48.92,49.28, present
49.28,49.58, their
49.58,50.46," argument,"
50.46,51.08, which
51.08,51.52, usually
51.52,52.02, includes
52.02,52.22, an
52.8,53.36," introduction,"
53.36,54.36, reasons
54.36,54.58, with
54.58,55.1, examples
55.1,55.4, or
55.4,56.14," evidence,"
56.14,56.8, and
56.8,56.9, a
56.9,58.0, conclusion.
59.1,59.1, At
59.1,59.22, the
59.22,59.42, end
59.42,59.52, of
59.52,59.64, the
59.64,60.32," debate,"
60.32,60.74, a
60.74,61.14, neutral
61.14,61.48, third
61.48,62.22," party,"
62.22,62.88, usually
